direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2024-01-16,16.34,2024-02-16,16.78,1556.85,685.45,2.7,signal_decay
LONG,2024-02-22,16.77,2024-03-28,16.84,1413.52,103.72,0.44,signal_decay
LONG,2024-04-01,16.82,2024-04-03,16.92,569.18,57.43,0.6,signal_decay
LONG,2024-04-04,16.87,2024-04-15,16.42,567.96,-255.27,-2.66,disaster_stop
LONG,2024-04-19,16.7,2024-07-05,18.37,5721.21,9557.78,10.0,signal_decay
LONG,2024-07-08,18.31,2024-07-09,18.43,571.55,69.4,0.66,signal_decay
LONG,2024-08-01,18.16,2024-08-05,17.35,4204.93,-3417.2,-4.48,disaster_stop
LONG,2024-08-14,18.25,2024-09-23,20.9,5558.84,14694.75,14.48,signal_decay
LONG,2024-09-27,20.8,2024-10-14,20.63,769.06,-129.31,-0.81,signal_decay
LONG,2024-10-15,20.45,2024-12-04,21.53,1361.93,1475.72,5.3,signal_decay
LONG,2024-12-13,21.42,2024-12-18,20.86,544.85,-306.04,-2.62,disaster_stop
LONG,2024-12-19,20.86,2025-02-25,22.36,5581.29,8399.04,7.22,signal_decay
LONG,2025-03-03,22.29,2025-03-05,23.13,1754.25,1479.69,3.78,signal_decay
LONG,2025-03-06,22.83,2025-03-19,22.78,1359.84,-65.17,-0.21,signal_decay
LONG,2025-04-03,22.42,2025-04-04,20.93,5608.18,-8332.0,-6.63,disaster_stop
LONG,2025-04-22,22.54,2025-08-19,26.97,5226.07,23151.8,19.65,signal_decay
LONG,2025-08-21,27.01,2025-08-25,27.42,517.57,212.14,1.52,signal_decay
LONG,2025-09-24,27.73,2025-09-26,27.67,681.03,-39.88,-0.21,signal_decay
LONG,2025-10-10,27.65,2025-10-13,27.89,2590.27,631.97,0.88,signal_decay
LONG,2025-10-14,27.73,2025-10-20,27.7,2024.01,-59.26,-0.11,signal_decay
SHORT,2025-10-20,27.7,2025-10-21,27.45,507.36,123.78,0.88,signal_decay
SHORT,2025-10-23,27.6,2025-11-04,27.44,552.85,86.32,0.57,signal_decay
LONG,2025-11-10,27.99,2025-11-20,26.92,2117.91,-2273.57,-3.84,disaster_stop
LONG,2025-12-23,27.57,2026-03-06,27.26,2953.86,-915.7,-1.12,end_of_backtest
