direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2022-12-02,50.3,2022-12-02,50.62,1888.67,604.37,0.64,eod
LONG,2022-12-05,50.57,2022-12-05,50.36,1889.94,-396.89,-0.42,eod
SHORT,2022-12-07,49.37,2022-12-07,49.39,1928.24,-38.56,-0.04,eod
LONG,2022-12-08,49.53,2022-12-08,49.53,1921.27,0.0,0.0,eod
SHORT,2022-12-13,42.5,2022-12-13,41.94,2239.07,1253.88,1.32,eod
LONG,2022-12-14,42.24,2022-12-14,42.02,2281.05,-501.83,-0.52,eod
SHORT,2022-12-16,41.12,2022-12-16,40.9,2331.31,524.54,0.55,eod
SHORT,2022-12-19,41.03,2022-12-19,40.9,2348.85,305.35,0.32,eod
LONG,2022-12-20,40.66,2022-12-20,40.61,2377.36,-118.87,-0.12,eod
LONG,2022-12-21,40.67,2022-12-21,41.09,2373.7,973.22,1.01,eod
LONG,2022-12-29,40.52,2022-12-29,40.66,2405.6,336.78,0.35,eod
LONG,2023-01-04,40.79,2023-01-04,40.95,2397.52,371.62,0.38,eod
SHORT,2023-01-05,40.65,2023-01-05,40.63,2414.46,48.29,0.05,eod
LONG,2023-01-09,42.91,2023-01-09,42.62,2288.37,-663.63,-0.68,eod
LONG,2023-01-10,42.85,2023-01-10,43.0,2276.86,341.53,0.35,eod
SHORT,2023-01-12,42.8,2023-01-12,43.34,2286.83,-1212.02,-1.24,eod
LONG,2023-01-13,43.06,2023-01-13,43.24,2246.55,404.38,0.42,eod
LONG,2023-01-19,43.47,2023-01-19,43.37,2234.2,-223.42,-0.23,eod
LONG,2023-01-23,44.68,2023-01-23,44.84,2168.94,336.19,0.35,eod
LONG,2023-02-01,45.35,2023-02-01,45.73,2143.94,825.42,0.85,eod
SHORT,2023-02-02,45.85,2023-02-02,45.9,2137.66,-106.88,-0.11,eod
LONG,2023-02-03,45.4,2023-02-03,45.06,2156.61,-722.47,-0.74,eod
SHORT,2023-02-08,45.12,2023-02-08,44.95,2154.79,355.54,0.37,eod
SHORT,2023-02-10,44.86,2023-02-10,44.88,2174.8,-43.5,-0.04,eod
