symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
EWT,,,base,LONG,2026-01-26,69.705,2026-01-27,70.3777,717.3086,482.53,0.9651,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-01-27,70.42,2026-01-28,71.4421,713.4517,729.22,1.4514,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-01-28,71.51,2026-01-29,70.17,707.6755,-948.29,-1.8739,0.0,0.0,disaster_stop,
EWT,,,base,LONG,2026-01-29,70.23,2026-01-29,69.0186,713.8222,-864.73,-1.7249,0.0,0.0,disaster_stop,
EWT,,,base,LONG,2026-01-29,68.95,2026-01-30,68.6488,720.8031,-217.1,-0.4368,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-01-30,68.83,2026-01-30,67.7193,720.4826,-800.24,-1.6137,0.0,0.0,disaster_stop,
EWT,,,base,LONG,2026-01-30,67.8,2026-02-02,68.9836,725.5265,858.73,1.7457,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-02-02,69.045,2026-02-03,68.1391,537.1007,-486.56,-1.312,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-02-03,68.2,2026-02-04,67.9592,723.9998,-174.34,-0.3531,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-02-04,68.06,2026-02-05,67.9292,724.2083,-94.72,-0.1922,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-02-05,68.02,2026-02-06,69.7881,723.9379,1280.0,2.5994,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-02-06,69.87,2026-02-09,70.8824,448.6612,454.22,1.449,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-02-09,70.87,2026-02-10,71.5021,481.9913,304.67,0.8919,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-02-10,71.565,2026-02-11,73.2958,306.5391,530.56,2.4185,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-02-11,73.405,2026-02-12,72.2566,441.3148,-506.81,-1.5645,0.0,0.0,disaster_stop,
EWT,,,base,LONG,2026-02-12,72.35,2026-02-13,72.5315,694.8662,126.12,0.2509,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-02-13,72.64,2026-02-17,71.3472,692.9602,-895.86,-1.7797,0.0,0.0,disaster_stop,
EWT,,,base,LONG,2026-02-17,71.69,2026-02-18,73.0661,695.8948,957.62,1.9195,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-02-18,73.18,2026-02-19,72.47,688.2688,-488.67,-0.9702,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-02-19,72.38,2026-02-20,73.3809,692.5004,693.13,1.3828,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-02-20,73.56,2026-02-23,73.5209,686.103,-26.82,-0.0532,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-02-23,73.57,2026-02-24,75.3747,685.8275,1237.71,2.453,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-03-02,74.89,2026-03-03,70.7775,682.0027,-2804.74,-5.4914,0.0,0.0,disaster_stop,
EWT,,,base,LONG,2026-03-09,69.28,2026-03-10,71.2023,716.9864,1378.26,2.7747,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-03-16,71.91,2026-03-17,72.7064,700.3469,557.75,1.1075,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-03-17,72.84,2026-03-18,72.3516,663.9903,-324.29,-0.6705,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-03-18,72.4,2026-03-19,70.3378,697.2193,-1437.81,-2.8483,0.0,0.0,disaster_stop,
EWT,,,base,LONG,2026-03-19,70.48,2026-03-20,70.99,706.0127,360.06,0.7236,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-03-20,71.34,2026-03-20,70.1579,700.0253,-827.5,-1.657,0.0,0.0,disaster_stop,
EWT,,,base,LONG,2026-03-20,70.38,2026-03-23,72.1967,703.6951,1278.4,2.5813,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-03-23,72.555,2026-03-23,71.2372,691.4101,-911.14,-1.8163,0.0,0.0,disaster_stop,
EWT,,,base,LONG,2026-03-23,71.27,2026-03-24,70.008,697.4841,-880.22,-1.7707,0.0,0.0,disaster_stop,
EWT,,,base,LONG,2026-03-24,69.96,2026-03-25,72.0567,704.2536,1476.61,2.997,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-03-25,71.91,2026-03-26,71.615,695.4232,-205.15,-0.4102,0.0,0.0,max_hold,
EWT,,,base,LONG,2026-03-26,71.585,2026-03-26,70.4527,697.1475,-789.38,-1.5818,0.0,0.0,disaster_stop,
