symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
EWU,,,base,LONG,2026-01-26,45.9,2026-01-27,46.3538,1089.3246,494.33,0.9887,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-01-27,46.385,2026-01-28,46.2438,1083.2633,-152.95,-0.3044,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-01-28,46.26,2026-01-29,46.855,1084.5372,645.3,1.2862,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-01-29,46.77,2026-01-30,46.35,1079.6096,-453.44,-0.898,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-01-30,46.28,2026-02-02,46.5387,795.9868,205.92,0.559,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-02,46.435,2026-02-03,46.3188,1084.7331,-126.05,-0.2502,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-03,46.35,2026-02-04,47.1885,1085.3627,910.08,1.8091,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-04,47.2297,2026-02-05,46.2738,1074.7813,-1027.38,-2.0239,0.0,0.0,disaster_stop,
EWU,,,base,LONG,2026-02-05,46.385,2026-02-06,46.6037,1083.2793,236.91,0.4715,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-06,46.62,2026-02-09,46.6437,1080.3596,25.61,0.0508,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-09,46.6,2026-02-10,46.7386,1081.098,149.84,0.2974,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-10,46.785,2026-02-11,47.1985,830.7266,343.51,0.8838,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-11,47.23,2026-02-12,47.2727,1071.9001,45.77,0.0904,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-12,47.32,2026-02-13,46.9636,526.4745,-187.64,-0.7532,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-13,47.05,2026-02-17,47.0835,932.9276,31.25,0.0712,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-17,47.0011,2026-02-18,48.0019,1075.9437,1076.81,2.1293,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-18,47.99,2026-02-19,47.3584,1064.9914,-672.65,-1.3161,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-19,47.38,2026-02-20,47.9532,1071.6043,614.24,1.2098,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-20,47.97,2026-02-23,48.0232,955.7066,50.84,0.1109,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-23,47.985,2026-02-24,48.0582,868.1543,63.55,0.1525,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-24,48.04,2026-02-25,48.3931,365.8097,129.17,0.735,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-25,48.4,2026-02-26,48.5907,1006.5165,191.94,0.394,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-26,48.635,2026-02-27,48.7529,314.4308,37.07,0.2424,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-02-27,48.75,2026-03-02,47.8333,425.3467,-389.92,-1.8804,0.0,0.0,disaster_stop,
EWU,,,base,LONG,2026-03-02,47.84,2026-03-03,46.2438,1068.5841,-1705.67,-3.3365,0.0,0.0,disaster_stop,
EWU,,,base,LONG,2026-03-03,46.36,2026-03-04,46.9536,1084.3017,643.64,1.2804,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-03-04,46.96,2026-03-05,46.5387,1077.3008,-453.87,-0.8971,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-03-05,46.63,2026-03-05,45.8889,1080.0581,-800.43,-1.5893,0.0,0.0,disaster_stop,
EWU,,,base,LONG,2026-03-05,45.92,2026-03-06,46.0739,418.7575,64.45,0.3352,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-03-06,46.08,2026-03-09,45.3241,413.7584,-312.76,-1.6404,0.0,0.0,disaster_stop,
EWU,,,base,LONG,2026-03-09,45.325,2026-03-10,46.53,1099.5861,1325.0,2.6586,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-03-10,46.53,2026-03-11,46.0739,1085.348,-495.03,-0.9802,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-03-11,46.17,2026-03-12,45.8889,1088.4498,-305.96,-0.6088,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-03-12,45.99,2026-03-13,45.859,1089.3834,-142.71,-0.2848,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-03-13,45.82,2026-03-16,46.1239,999.1422,303.64,0.6632,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-03-16,46.135,2026-03-17,46.4737,1087.7038,368.41,0.7342,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-03-17,46.49,2026-03-18,45.8739,1083.3601,-667.46,-1.3252,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-03-18,45.88,2026-03-19,44.6144,1090.49,-1380.13,-2.7585,0.0,0.0,disaster_stop,
EWU,,,base,LONG,2026-03-19,44.685,2026-03-20,44.9143,1104.2099,253.19,0.5131,0.0,0.0,max_hold,
EWU,,,base,LONG,2026-03-20,45.05,2026-03-20,44.3145,1098.0737,-807.63,-1.6326,0.0,0.0,disaster_stop,
EWU,,,base,LONG,2026-03-20,44.29,2026-03-23,44.8543,1107.7986,625.13,1.2741,0.0,0.0,max_hold,
