symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
FARTCOIN-USD,,,base,LONG,2026-01-26,0.2609,2026-01-27,0.2633,95822.1541,229.97,0.9199,0.0,0.0,signal_decay,
FARTCOIN-USD,,,base,LONG,2026-01-27,0.2649,2026-01-27,0.3081,94592.2737,4086.39,16.308,0.0,0.0,signal_decay,
FARTCOIN-USD,,,base,SHORT,2026-01-27,0.3081,2026-01-28,0.3118,84644.8875,-313.19,-1.2009,0.0,0.0,signal_decay,
FARTCOIN-USD,,,base,LONG,2026-01-28,0.3109,2026-01-29,0.2691,83630.728,-3495.76,-13.4448,0.0,0.0,disaster_stop,
FARTCOIN-USD,,,base,LONG,2026-01-29,0.2707,2026-01-29,0.2691,92821.7666,-148.51,-0.5911,0.0,0.0,signal_decay,
FARTCOIN-USD,,,base,SHORT,2026-01-29,0.2691,2026-01-30,0.3217,93235.6875,-4904.2,-19.5466,0.0,0.0,disaster_stop,
FARTCOIN-USD,,,base,SHORT,2026-01-30,0.3197,2026-01-30,0.3217,74643.9607,-149.29,-0.6256,0.0,0.0,max_hold,
FARTCOIN-USD,,,base,SHORT,2026-01-30,0.3197,2026-01-30,0.3218,74527.22,-156.51,-0.6569,0.0,0.0,signal_decay,
FARTCOIN-USD,,,base,LONG,2026-01-30,0.3218,2026-01-30,0.3197,73919.2836,-155.23,-0.6526,0.0,0.0,signal_decay,
FARTCOIN-USD,,,base,SHORT,2026-01-30,0.3197,2026-02-01,0.3213,74283.4464,-118.85,-0.5005,0.0,0.0,signal_decay,
FARTCOIN-USD,,,base,LONG,2026-02-01,0.3213,2026-02-01,0.2097,73821.0534,-8238.43,-34.7339,0.0,0.0,disaster_stop,
FARTCOIN-USD,,,base,LONG,2026-02-01,0.2109,2026-02-02,0.1994,102698.4213,-1181.03,-5.4528,0.0,0.0,disaster_stop,
FARTCOIN-USD,,,base,LONG,2026-02-02,0.2006,2026-02-02,0.1736,106499.6964,-2875.49,-13.4596,0.0,0.0,disaster_stop,
FARTCOIN-USD,,,base,LONG,2026-02-02,0.1741,2026-02-02,0.1495,118581.0807,-2917.09,-14.1298,0.0,0.0,disaster_stop,
FARTCOIN-USD,,,base,LONG,2026-02-02,0.1504,2026-02-02,0.17,132418.1682,2595.4,13.0319,0.0,0.0,signal_decay,
FARTCOIN-USD,,,base,SHORT,2026-02-02,0.1695,2026-02-03,0.1706,121324.7288,-133.46,-0.649,0.0,0.0,signal_decay,
FARTCOIN-USD,,,base,LONG,2026-02-03,0.1706,2026-02-03,0.1696,120346.8771,-120.35,-0.5862,0.0,0.0,signal_decay,
FARTCOIN-USD,,,base,SHORT,2026-02-03,0.2099,2026-02-03,0.2307,97670.7504,-2031.55,-9.9095,0.0,0.0,disaster_stop,
FARTCOIN-USD,,,base,SHORT,2026-02-03,0.2293,2026-02-03,0.1756,87192.3358,4682.23,23.4191,0.0,0.0,signal_decay,
FARTCOIN-USD,,,base,LONG,2026-02-03,0.1756,2026-02-05,0.2193,120522.5496,5266.84,24.8861,0.0,0.0,signal_decay,
FARTCOIN-USD,,,base,LONG,2026-02-14,0.1201,2026-02-15,0.1924,187181.2537,13533.2,60.1998,0.0,0.0,signal_decay,
FARTCOIN-USD,,,base,LONG,2026-02-22,0.1741,2026-02-22,0.1731,148556.9772,-148.56,-0.5744,0.0,0.0,signal_decay,
FARTCOIN-USD,,,base,LONG,2026-03-01,0.1348,2026-03-01,0.1307,191592.2143,-785.53,-3.0415,0.0,0.0,disaster_stop,
FARTCOIN-USD,,,base,LONG,2026-03-13,0.1341,2026-03-17,0.1993,191127.8782,12461.54,48.6204,0.0,0.0,signal_decay,
FARTCOIN-USD,,,base,SHORT,2026-03-21,0.1613,2026-03-21,0.1856,178212.2311,-4330.56,-15.0651,0.0,0.0,disaster_stop,
