symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
FBTC,,,base,LONG,2026-01-26,76.5101,2026-01-27,76.6182,653.5085,70.64,0.1413,0.0,0.0,max_hold,
FBTC,,,base,LONG,2026-01-27,76.395,2026-01-28,78.1127,654.9555,1125.02,2.2485,0.0,0.0,max_hold,
FBTC,,,base,LONG,2026-01-28,78.055,2026-01-28,78.0627,648.2331,4.99,0.0099,0.0,0.0,signal_decay,
FBTC,,,base,LONG,2026-01-28,78.075,2026-01-28,77.7628,365.5277,-114.12,-0.3999,0.0,0.0,signal_decay,
FBTC,,,base,LONG,2026-01-28,77.97,2026-01-29,76.2833,648.2399,-1093.39,-2.1633,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-01-29,76.36,2026-01-29,74.8238,654.7482,-1005.82,-2.0118,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-01-29,74.185,2026-01-29,72.9844,667.1654,-801.0,-1.6184,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-01-29,72.87,2026-01-30,71.515,673.7088,-912.88,-1.8595,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-01-30,71.395,2026-02-02,68.2488,681.2344,-2143.3,-4.4067,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-02-02,68.4204,2026-02-03,67.6663,695.1885,-524.24,-1.1022,0.0,0.0,max_hold,
FBTC,,,base,LONG,2026-02-03,67.81,2026-02-03,66.7366,697.5808,-748.78,-1.5829,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-02-03,66.82,2026-02-03,65.697,702.3131,-788.7,-1.6806,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-02-03,65.385,2026-02-03,64.1176,711.6956,-902.0,-1.9384,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-02-03,63.77,2026-02-04,62.778,722.6472,-716.87,-1.5556,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-02-04,63.24,2026-02-05,61.1786,723.0357,-1490.47,-3.2596,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-02-05,61.4901,2026-02-05,60.2789,731.4925,-885.98,-1.9697,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-02-05,59.93,2026-02-05,58.6795,743.1429,-929.3,-2.0866,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-02-05,58.09,2026-02-05,57.16,758.6832,-705.58,-1.601,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-02-05,57.36,2026-02-05,55.8604,762.1882,-1142.98,-2.6144,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-02-05,55.711,2026-02-05,54.391,774.4903,-1022.33,-2.3694,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-02-05,55.445,2026-02-06,60.9787,768.9867,4255.34,9.9805,0.0,0.0,max_hold,
FBTC,,,base,LONG,2026-02-13,58.7699,2026-02-17,59.2742,761.6847,384.12,0.8581,0.0,0.0,max_hold,
FBTC,,,base,LONG,2026-02-20,58.47,2026-02-23,57.4199,768.8762,-807.4,-1.796,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-02-27,57.39,2026-03-02,58.0297,776.3111,496.61,1.1147,0.0,0.0,max_hold,
FBTC,,,base,LONG,2026-03-06,59.58,2026-03-09,60.0389,751.9436,345.07,0.7702,0.0,0.0,max_hold,
FBTC,,,base,LONG,2026-03-13,63.255,2026-03-13,62.1782,710.9846,-765.59,-1.7023,0.0,0.0,disaster_stop,
FBTC,,,base,LONG,2026-03-20,60.73,2026-03-23,62.2232,734.2423,1096.37,2.4588,0.0,0.0,max_hold,
