direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2026-02-01,1.06,2026-02-01,1.04,17861.14,444.74,2.34,signal_decay
LONG,2026-02-01,1.04,2026-02-01,1.08,28486.31,1333.16,4.51,signal_decay
SHORT,2026-02-01,1.09,2026-02-01,1.04,46859.07,2197.69,4.32,signal_decay
LONG,2026-02-01,1.04,2026-02-01,1.0,50132.88,-1604.25,-3.09,disaster_stop
LONG,2026-02-01,1.01,2026-02-01,1.08,50528.8,3223.74,6.3,signal_decay
SHORT,2026-02-01,1.08,2026-02-01,1.06,48931.92,826.95,1.57,signal_decay
LONG,2026-02-01,1.06,2026-02-01,1.02,18304.89,-787.11,-4.06,disaster_stop
LONG,2026-02-01,1.02,2026-02-02,1.02,48195.75,-96.39,-0.2,signal_decay
SHORT,2026-02-02,1.02,2026-02-02,1.07,33332.46,-1736.62,-5.11,disaster_stop
SHORT,2026-02-02,1.07,2026-02-02,1.02,27487.08,1429.33,4.86,signal_decay
LONG,2026-02-02,1.02,2026-02-02,1.05,51736.1,1702.12,3.24,signal_decay
SHORT,2026-02-02,1.05,2026-02-02,1.07,30353.78,-670.82,-2.1,signal_decay
LONG,2026-02-02,1.06,2026-02-02,1.05,22993.98,-94.28,-0.39,signal_decay
SHORT,2026-02-02,1.09,2026-02-02,1.04,24916.85,1367.94,5.03,signal_decay
LONG,2026-02-02,1.03,2026-02-02,1.09,51949.85,2846.85,5.29,signal_decay
SHORT,2026-02-02,1.09,2026-02-03,1.09,50541.69,293.14,0.53,signal_decay
SHORT,2026-02-03,1.09,2026-02-03,1.07,16076.57,352.08,2.0,signal_decay
LONG,2026-02-03,1.07,2026-02-03,1.12,23088.87,1103.65,4.47,signal_decay
SHORT,2026-02-03,1.12,2026-02-03,1.09,50103.62,1493.09,2.66,signal_decay
LONG,2026-02-03,1.09,2026-02-03,1.06,16627.84,-433.99,-2.4,disaster_stop
LONG,2026-02-03,1.06,2026-02-03,1.1,53241.3,2065.76,3.65,signal_decay
SHORT,2026-02-03,1.1,2026-02-03,1.1,52199.63,41.76,0.07,signal_decay
SHORT,2026-02-03,1.1,2026-02-03,1.05,18395.71,1028.32,5.08,signal_decay
LONG,2026-02-03,1.04,2026-02-03,1.04,55765.51,-5.58,-0.01,signal_decay
SHORT,2026-02-03,1.04,2026-02-03,1.05,24293.39,-51.02,-0.2,signal_decay
SHORT,2026-02-03,1.11,2026-02-04,1.1,47562.58,799.05,1.51,signal_decay
LONG,2026-02-04,1.08,2026-02-04,1.08,23237.1,134.78,0.54,signal_decay
SHORT,2026-02-04,1.08,2026-02-04,1.06,25009.94,722.79,2.66,signal_decay
LONG,2026-02-04,1.05,2026-02-04,1.02,32079.87,-933.52,-2.76,disaster_stop
SHORT,2026-02-04,1.05,2026-02-04,1.05,26019.14,26.02,0.1,signal_decay
SHORT,2026-02-04,1.07,2026-02-04,1.07,40311.93,76.59,0.18,signal_decay
SHORT,2026-02-04,1.07,2026-02-04,1.04,21303.34,530.45,2.33,signal_decay
LONG,2026-02-04,1.04,2026-02-05,1.02,56551.16,-1300.68,-2.21,disaster_stop
LONG,2026-02-05,1.02,2026-02-05,1.06,36725.25,1685.69,4.5,signal_decay
SHORT,2026-02-05,1.07,2026-02-05,1.02,44126.14,2029.8,4.31,signal_decay
LONG,2026-02-05,1.02,2026-02-05,0.99,58901.49,-1767.04,-2.94,disaster_stop
LONG,2026-02-05,0.99,2026-02-05,1.02,59674.16,1551.53,2.62,signal_decay
SHORT,2026-02-05,1.02,2026-02-05,0.99,21471.51,536.79,2.46,signal_decay
LONG,2026-02-05,0.99,2026-02-05,1.01,44536.29,935.26,2.12,signal_decay
LONG,2026-02-05,0.99,2026-02-05,1.02,61199.68,1652.39,2.72,signal_decay
SHORT,2026-02-05,1.02,2026-02-05,0.99,37889.18,1212.45,3.14,signal_decay
LONG,2026-02-05,0.97,2026-02-05,0.95,24676.89,-540.42,-2.26,disaster_stop
LONG,2026-02-05,0.95,2026-02-05,0.95,65064.31,-188.69,-0.31,signal_decay
SHORT,2026-02-05,0.95,2026-02-05,0.93,35361.94,604.69,1.8,signal_decay
SHORT,2026-02-05,0.95,2026-02-05,0.9,25010.63,1155.49,4.86,signal_decay
LONG,2026-02-05,0.9,2026-02-05,0.88,69484.7,-1723.22,-2.76,disaster_stop
LONG,2026-02-05,0.88,2026-02-05,0.91,70393.65,2618.64,4.24,signal_decay
SHORT,2026-02-05,0.92,2026-02-05,0.9,48408.2,881.03,1.99,signal_decay
SHORT,2026-02-05,0.92,2026-02-05,0.92,46807.98,-84.25,-0.2,signal_decay
SHORT,2026-02-05,0.92,2026-02-06,0.87,20782.74,858.33,4.51,signal_decay
LONG,2026-02-06,0.86,2026-02-06,0.81,74097.57,-3601.14,-5.64,disaster_stop
LONG,2026-02-06,0.8,2026-02-06,0.87,77589.41,5609.71,9.04,signal_decay
LONG,2026-02-06,0.86,2026-02-06,0.88,33795.54,513.69,1.76,signal_decay
LONG,2026-02-06,0.88,2026-02-06,0.88,24886.9,-19.91,-0.09,signal_decay
SHORT,2026-02-06,0.87,2026-02-06,0.91,68452.51,-2313.69,-3.87,disaster_stop
SHORT,2026-02-06,0.91,2026-02-06,0.9,70603.13,720.15,1.13,signal_decay
LONG,2026-02-06,0.89,2026-02-06,0.91,58405.59,829.36,1.59,signal_decay
SHORT,2026-02-06,0.91,2026-02-06,0.88,48647.75,1566.46,3.54,signal_decay
LONG,2026-02-06,0.88,2026-02-06,0.91,26261.71,976.94,4.25,signal_decay
SHORT,2026-02-06,0.92,2026-02-06,0.89,60402.49,1703.35,3.08,signal_decay
LONG,2026-02-06,0.89,2026-02-06,0.93,75553.17,3475.45,5.2,signal_decay
SHORT,2026-02-06,0.93,2026-02-06,0.91,73022.79,1329.01,1.95,signal_decay
LONG,2026-02-06,0.91,2026-02-06,0.94,26063.59,862.7,3.63,signal_decay
SHORT,2026-02-06,0.96,2026-02-06,0.95,41274.24,334.32,0.85,signal_decay
LONG,2026-02-06,0.95,2026-02-07,0.95,27915.31,114.45,0.43,signal_decay
SHORT,2026-02-07,0.95,2026-02-07,0.95,34414.23,3.44,0.01,signal_decay
SHORT,2026-02-07,0.98,2026-02-07,0.95,24579.55,789.0,3.28,signal_decay
LONG,2026-02-07,0.94,2026-02-07,0.99,74411.38,3050.87,4.34,signal_decay
SHORT,2026-02-07,0.99,2026-02-07,0.99,68003.21,-136.01,-0.2,signal_decay
SHORT,2026-02-07,0.99,2026-02-07,0.99,23275.45,-46.55,-0.2,signal_decay
LONG,2026-02-08,0.97,2026-02-08,0.94,30741.79,-1072.89,-3.58,disaster_stop
LONG,2026-02-08,0.94,2026-02-08,0.96,55987.67,1293.32,2.45,signal_decay
SHORT,2026-02-08,0.97,2026-02-08,0.94,49136.48,1184.19,2.49,signal_decay
LONG,2026-02-08,0.94,2026-02-08,0.95,69366.42,700.6,1.07,signal_decay
LONG,2026-02-08,0.92,2026-02-09,0.94,59415.37,1610.16,2.96,signal_decay
SHORT,2026-02-09,0.95,2026-02-09,0.92,77469.18,2029.69,2.77,signal_decay
LONG,2026-02-09,0.92,2026-02-09,0.91,36596.05,-322.05,-0.96,signal_decay
SHORT,2026-02-09,0.91,2026-02-09,0.91,40843.15,-73.52,-0.2,signal_decay
LONG,2026-02-09,0.86,2026-02-09,0.94,86342.99,6311.67,8.48,signal_decay
SHORT,2026-02-09,0.94,2026-02-10,0.95,53836.22,-748.32,-1.48,signal_decay
LONG,2026-02-10,0.95,2026-02-10,0.93,32911.91,-687.86,-2.2,disaster_stop
LONG,2026-02-10,0.93,2026-02-10,0.92,38218.22,-267.53,-0.75,signal_decay
LONG,2026-02-11,0.89,2026-02-11,0.88,86215.32,-1017.34,-1.33,signal_decay
LONG,2026-02-11,0.87,2026-02-11,0.88,50110.28,60.13,0.14,signal_decay
SHORT,2026-02-11,0.88,2026-02-11,0.88,31561.77,-183.06,-0.66,signal_decay
SHORT,2026-02-11,0.89,2026-02-11,0.87,28163.96,402.74,1.61,signal_decay
LONG,2026-02-11,0.87,2026-02-11,0.87,84092.94,-142.96,-0.2,signal_decay
SHORT,2026-02-12,0.9,2026-02-12,0.95,67287.02,-3021.19,-4.98,disaster_stop
SHORT,2026-02-12,0.94,2026-02-12,0.9,79133.13,3418.55,4.57,signal_decay
LONG,2026-02-15,1.02,2026-02-15,0.97,29729.15,-1575.65,-5.2,disaster_stop
LONG,2026-02-15,0.97,2026-02-15,0.96,78366.73,-697.46,-0.92,signal_decay
SHORT,2026-02-15,0.96,2026-02-15,0.96,25179.75,78.06,0.32,signal_decay
LONG,2026-02-15,0.94,2026-02-16,0.98,32315.0,1454.17,4.8,signal_decay
SHORT,2026-02-16,0.98,2026-02-16,0.99,77357.36,-618.86,-0.81,signal_decay
SHORT,2026-02-19,0.94,2026-02-20,0.9,60472.76,2068.17,3.65,signal_decay
SHORT,2026-02-22,0.94,2026-02-22,0.85,25155.16,2346.98,9.94,signal_decay
SHORT,2026-02-25,1.09,2026-02-26,1.09,58162.24,-127.96,-0.2,signal_decay
SHORT,2026-02-28,0.96,2026-02-28,0.96,81201.88,-154.28,-0.2,signal_decay
SHORT,2026-03-03,1.01,2026-03-04,1.02,29344.11,-205.41,-0.69,signal_decay
LONG,2026-03-07,0.94,2026-03-07,0.99,83091.84,4736.23,6.09,signal_decay
LONG,2026-03-10,0.88,2026-03-10,0.9,84736.22,1965.88,2.64,signal_decay
LONG,2026-03-14,0.88,2026-03-14,0.9,30281.03,702.52,2.65,signal_decay
SHORT,2026-03-14,0.9,2026-03-14,0.89,38367.06,544.81,1.57,signal_decay
LONG,2026-03-14,0.89,2026-03-15,0.89,60958.34,-48.77,-0.09,signal_decay
SHORT,2026-03-15,0.89,2026-03-16,0.9,36384.23,-502.1,-1.56,signal_decay
SHORT,2026-03-16,0.92,2026-03-16,0.92,42208.74,135.07,0.35,signal_decay
SHORT,2026-03-16,0.94,2026-03-16,0.96,77494.97,-1774.63,-2.43,disaster_stop
SHORT,2026-03-16,0.96,2026-03-16,0.93,32664.77,983.21,3.13,signal_decay
LONG,2026-03-16,0.93,2026-03-16,0.94,87252.76,1221.54,1.51,signal_decay
SHORT,2026-03-16,0.94,2026-03-16,0.96,48964.91,-729.58,-1.58,signal_decay
SHORT,2026-03-16,0.98,2026-03-16,0.96,44719.8,585.83,1.34,signal_decay
LONG,2026-03-16,0.96,2026-03-16,0.99,62742.38,1694.04,2.81,signal_decay
SHORT,2026-03-16,0.99,2026-03-16,0.98,79378.18,1270.05,1.61,signal_decay
LONG,2026-03-16,0.98,2026-03-16,0.97,75463.85,-150.93,-0.2,end_of_backtest
