symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
FIL-USD,,,base,LONG,2026-01-25,1.2745,2026-01-25,1.2695,19615.5355,-98.08,-0.3923,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-01-25,1.2415,2026-01-25,1.2176,20117.1813,-480.8,-1.9251,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-25,1.253,2026-01-26,1.2164,19836.6165,726.02,2.921,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-26,1.2635,2026-01-26,1.2796,19815.4218,-319.03,-1.2742,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-01-26,1.2365,2026-01-26,1.2844,20183.6057,966.79,3.8738,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-26,1.2844,2026-01-26,1.2535,19619.065,606.23,2.4058,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-01-26,1.2535,2026-01-27,1.2485,20223.6014,-101.12,-0.3989,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-27,1.2485,2026-01-27,1.2816,20284.3451,-671.41,-2.6512,0.0,0.0,disaster_stop,
FIL-USD,,,base,SHORT,2026-01-27,1.2764,2026-01-27,1.2535,19709.4578,451.35,1.7941,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-01-27,1.2475,2026-01-27,1.2764,20256.5038,585.41,2.3166,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-27,1.279,2026-01-27,1.2786,19872.042,7.95,0.0313,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-27,1.28,2026-01-27,1.2465,19858.0695,665.25,2.6172,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-01-27,1.2465,2026-01-27,1.2844,20525.1828,777.9,3.0405,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-27,1.2844,2026-01-27,1.2986,20070.9408,-285.01,-1.1056,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-01-28,1.286,2026-01-29,1.2944,19990.5634,167.92,0.6532,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-01-29,1.2345,2026-01-29,1.2425,20858.5215,166.87,0.648,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-01-29,1.1523,2026-01-29,1.1916,22382.6797,879.64,3.4106,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-29,1.1916,2026-01-29,1.2024,21829.0296,-235.75,-0.9063,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-30,1.2046,2026-01-30,1.1423,21544.5237,1342.22,5.1718,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-30,1.1826,2026-01-30,1.1663,22229.0624,362.33,1.3783,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-01-30,1.1523,2026-01-30,1.1896,22892.1918,853.88,3.237,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-30,1.191,2026-01-31,1.1583,22327.5754,730.11,2.7456,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-01-31,1.1583,2026-01-31,1.1846,23115.4884,607.94,2.2706,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-31,1.1846,2026-01-31,1.1523,22730.588,734.2,2.7267,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-01-31,1.1523,2026-01-31,1.152,23527.0364,-7.06,-0.026,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-31,1.1487,2026-01-31,1.1423,23599.2335,151.04,0.5572,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-31,1.139,2026-01-31,1.1252,23833.3611,328.9,1.2116,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-01-31,1.1252,2026-01-31,1.1178,24198.7411,-179.07,-0.6577,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-31,1.0768,2026-01-31,1.0551,25244.8512,547.81,2.0152,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-31,1.1018,2026-01-31,1.023,24796.3415,1953.95,7.1519,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-01-31,1.009,2026-01-31,1.016,27561.0476,192.93,0.6938,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-01-31,0.9529,2026-01-31,1.016,29234.2626,1844.68,6.6219,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-01-31,1.016,2026-01-31,1.0321,27872.5387,-448.75,-1.5846,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-02-01,1.0661,2026-02-01,1.0619,26457.4734,-111.12,-0.394,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-02-01,1.0619,2026-02-01,1.0391,26535.9563,605.02,2.1471,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-02-01,1.037,2026-02-01,1.086,27318.9845,1338.63,4.7252,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-02-01,1.0391,2026-02-01,1.007,27585.8383,-885.51,-3.0892,0.0,0.0,disaster_stop,
FIL-USD,,,base,LONG,2026-02-01,1.015,2026-02-01,1.0768,28022.7273,1731.8,6.0887,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-02-01,1.0768,2026-02-01,1.0621,26816.5112,394.2,1.3652,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-02-01,1.0621,2026-02-01,1.019,27280.4538,-1175.79,-4.058,0.0,0.0,disaster_stop,
FIL-USD,,,base,LONG,2026-02-01,1.021,2026-02-02,1.017,28090.718,-112.36,-0.3918,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-02-02,1.017,2026-02-02,1.0711,28173.5815,-1524.19,-5.3196,0.0,0.0,disaster_stop,
FIL-USD,,,base,SHORT,2026-02-02,1.0669,2026-02-02,1.019,26498.7203,1269.29,4.4896,0.0,0.0,signal_decay,
FIL-USD,,,base,LONG,2026-02-02,1.019,2026-02-02,1.0499,28055.7477,866.92,3.0324,0.0,0.0,signal_decay,
FIL-USD,,,base,SHORT,2026-02-02,1.0619,2026-02-02,1.0741,27126.4126,-330.94,-1.1489,0.0,0.0,signal_decay,
