direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2024-01-02,30.01,2024-01-17,26.99,999.81,-3010.31,-10.03,disaster_stop
LONG,2024-03-04,27.99,2024-04-16,32.39,1039.44,4572.61,15.72,profit_lock_trail
LONG,2024-04-17,32.94,2024-05-22,34.77,924.94,1686.9,5.54,profit_lock_trail
LONG,2024-05-23,34.12,2024-07-19,36.67,907.83,2313.24,7.47,profit_lock_trail
LONG,2024-07-23,36.77,2024-08-01,36.55,357.04,-78.76,-0.6,signal_decay
LONG,2024-08-09,35.19,2024-08-13,36.66,899.27,1320.13,4.17,signal_decay
LONG,2024-09-03,36.59,2024-09-06,35.62,572.89,-558.91,-2.67,signal_decay
SHORT,2024-09-10,36.5,2024-09-11,36.71,366.27,-77.21,-0.58,signal_decay
LONG,2024-09-11,36.71,2024-09-12,38.45,483.32,841.36,4.74,signal_decay
LONG,2024-10-09,38.09,2024-10-10,39.12,793.88,823.18,2.72,signal_decay
SHORT,2024-11-04,39.13,2024-11-05,39.36,303.81,-69.73,-0.59,signal_decay
LONG,2024-11-05,39.38,2024-11-11,36.02,446.52,-1501.16,-8.54,disaster_stop
LONG,2025-01-15,36.48,2025-01-16,36.33,873.93,-124.97,-0.39,signal_decay
LONG,2025-05-12,46.31,2025-05-22,48.8,687.54,1708.18,5.36,signal_decay
LONG,2025-06-30,51.72,2025-07-07,52.75,233.49,242.67,2.01,signal_decay
LONG,2025-07-08,50.45,2025-07-21,52.61,642.69,1383.13,4.27,signal_decay
LONG,2025-10-21,72.31,2025-10-23,73.21,454.18,411.26,1.25,signal_decay
LONG,2025-10-24,72.32,2025-11-10,75.39,398.61,1223.1,4.24,signal_decay
SHORT,2025-11-21,73.08,2025-11-28,82.68,456.13,-4380.81,-13.14,disaster_stop
