symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
GDXJ,,,base,LONG,2026-01-26,150.9,2026-01-26,148.483,331.3453,-800.86,-1.6017,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-01-26,148.77,2026-01-26,146.1238,333.3977,-882.24,-1.7787,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-01-26,146.5,2026-01-27,143.8096,335.5526,-902.77,-1.8365,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-01-27,145.125,2026-01-27,141.2855,335.6215,-1288.62,-2.6457,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-01-27,141.12,2026-01-28,150.1274,340.5808,3067.75,6.3828,0.0,0.0,max_hold,
GDXJ,,,base,LONG,2026-01-28,147.535,2026-01-29,145.5341,336.1686,-672.64,-1.3562,0.0,0.0,max_hold,
GDXJ,,,base,LONG,2026-01-29,144.785,2026-01-29,141.0606,340.2308,-1267.16,-2.5724,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-01-29,140.9506,2026-01-30,134.163,344.9913,-2341.67,-4.8156,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-01-30,134.31,2026-01-30,131.8538,353.3311,-867.85,-1.8288,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-01-30,132.96,2026-01-30,130.7842,353.655,-769.48,-1.6364,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-01-30,130.32,2026-01-30,128.0852,357.867,-799.76,-1.7149,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-01-30,128.05,2026-01-30,125.4261,361.0882,-947.46,-2.0491,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-01-30,125.8401,2026-01-30,123.7767,363.6648,-750.39,-1.6397,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-01-30,123.13,2026-02-02,121.7474,368.622,-509.66,-1.1229,0.0,0.0,max_hold,
GDXJ,,,base,LONG,2026-02-02,122.02,2026-02-03,126.4757,369.8869,1648.11,3.6516,0.0,0.0,max_hold,
GDXJ,,,base,LONG,2026-02-03,126.73,2026-02-04,126.3358,362.6422,-142.95,-0.3111,0.0,0.0,max_hold,
GDXJ,,,base,LONG,2026-02-04,126.18,2026-02-05,123.9866,363.6565,-797.64,-1.7383,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-02-05,126.01,2026-02-05,123.0869,360.9821,-1055.19,-2.3197,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-02-05,123.73,2026-02-05,121.5474,363.3699,-793.09,-1.764,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-02-05,121.41,2026-02-06,126.9256,367.0473,2024.48,4.543,0.0,0.0,max_hold,
GDXJ,,,base,LONG,2026-02-06,127.57,2026-02-09,134.9977,357.2584,2653.61,5.8225,0.0,0.0,max_hold,
GDXJ,,,base,LONG,2026-02-13,135.09,2026-02-17,131.1891,347.1927,-1354.36,-2.8876,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-02-20,137.86,2026-02-23,145.3291,335.3045,2504.42,5.4179,0.0,0.0,max_hold,
GDXJ,,,base,LONG,2026-02-27,154.8,2026-03-02,151.6219,306.7008,-974.73,-2.053,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-03-06,136.89,2026-03-09,133.0534,343.2678,-1316.98,-2.8027,0.0,0.0,disaster_stop,
GDXJ,,,base,LONG,2026-03-13,125.03,2026-03-16,123.2816,370.5625,-647.89,-1.3984,0.0,0.0,max_hold,
GDXJ,,,base,LONG,2026-03-20,106.27,2026-03-20,104.2935,432.9302,-855.69,-1.8599,0.0,0.0,disaster_stop,
