symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
GLD,swing,medium,base,LONG,2024-01-02,190.7868,2024-02-13,184.4654,62.8974,-397.6,-3.3133,0.3004,-3.3843,disaster_stop,safety
GLD,swing,medium,base,LONG,2024-02-28,188.4059,2024-03-12,199.7201,63.439,717.76,6.0052,7.9053,0.0,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2024-03-13,201.2604,2024-04-22,215.4946,59.8151,851.42,7.0725,11.8402,-1.1529,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2024-04-23,215.1153,2024-05-22,220.033,56.4376,277.54,2.2861,4.9019,-2.0479,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2024-05-23,215.7955,2024-06-07,211.5259,48.8102,-208.4,-1.9785,1.9345,-1.972,breakeven_ratchet,breakeven
GLD,swing,medium,base,LONG,2024-06-20,218.2364,2024-07-19,221.6524,55.6685,190.16,1.5653,5.2299,-2.8027,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2024-07-22,221.8776,2024-08-05,222.4021,54.8578,28.77,0.2364,3.1019,-1.964,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2024-08-06,220.7772,2024-09-30,242.9749,55.1468,1224.13,10.0543,12.0451,-0.1935,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2024-10-01,245.696,2024-10-31,253.4213,50.1516,387.44,3.1443,4.8898,-2.0619,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2024-11-01,252.5584,2024-11-11,242.0553,22.5429,-236.77,-4.1587,0.5668,-4.5528,disaster_stop,safety
GLD,swing,medium,base,LONG,2024-11-21,246.7463,2024-12-13,244.2045,50.0114,-127.12,-1.0301,1.8293,-2.1343,breakeven_ratchet,breakeven
GLD,swing,medium,base,LONG,2025-01-08,245.9461,2025-02-14,266.1968,50.1121,1014.81,8.2338,9.9387,-0.3237,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2025-02-18,270.7948,2025-04-04,279.6221,45.9634,405.73,3.2598,6.7709,-3.5247,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2025-04-08,275.2963,2025-04-23,303.5437,45.3887,1282.11,10.2607,15.3775,0.0,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2025-04-24,308.1778,2025-05-08,304.5234,41.0451,-150.0,-1.1858,2.4149,-4.1722,breakeven_ratchet,breakeven
GLD,swing,medium,base,LONG,2025-05-09,306.9474,2025-05-14,293.0574,41.151,-571.59,-4.5252,0.0,-4.8827,disaster_stop,safety
GLD,swing,medium,base,LONG,2025-05-15,297.9442,2025-05-27,304.3934,42.1643,271.93,2.1646,4.1302,-2.0689,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2025-05-28,303.9163,2025-06-06,305.0732,41.4431,47.95,0.3807,2.7257,-0.7951,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2025-06-09,306.7273,2025-06-18,310.1514,41.0821,140.67,1.1163,3.5447,-0.286,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2025-06-20,310.2386,2025-07-25,307.2924,40.6715,-119.83,-0.9497,1.9344,-3.3357,breakeven_ratchet,breakeven
GLD,swing,medium,base,LONG,2025-08-01,309.2182,2025-10-09,365.3021,40.7592,2285.94,18.1373,20.8111,-1.3027,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2025-10-10,369.2492,2025-10-17,388.8538,34.8757,683.72,5.3093,7.5913,0.0,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2025-10-20,403.2911,2025-10-21,377.108,32.1352,-841.4,-6.4924,0.0,-6.8539,disaster_stop,safety
GLD,swing,medium,base,LONG,2025-10-22,377.412,2025-11-14,375.8284,34.0712,-53.96,-0.4196,2.8531,-4.5817,breakeven_ratchet,breakeven
GLD,swing,medium,base,LONG,2025-11-17,371.7801,2025-12-29,398.4605,34.5699,922.34,7.1764,12.5531,-0.0431,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2025-12-30,399.0296,2026-01-30,444.7943,32.4865,1486.74,11.469,27.7349,-0.862,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2026-02-02,427.2795,2026-02-05,441.7253,22.3805,323.3,3.3809,8.3834,0.0,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2026-02-06,455.6194,2026-02-12,451.232,23.8053,-104.44,-0.963,2.8512,-1.6591,breakeven_ratchet,breakeven
GLD,swing,medium,base,LONG,2026-02-13,462.7819,2026-02-25,473.2543,27.3281,286.19,2.2629,4.036,-3.7279,profit_lock_trail,profit_lock
GLD,swing,medium,base,LONG,2026-02-26,477.6471,2026-03-03,467.9762,25.5309,-246.91,-2.0247,3.0363,-3.9186,breakeven_ratchet,breakeven
GLD,swing,medium,base,LONG,2026-03-04,471.9651,2026-03-17,459.1092,16.686,-214.51,-2.7239,1.98,-3.1941,end_of_backtest,time
