symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
GNO-USD,,,base,LONG,2026-01-27,143.2585,2026-01-28,143.0894,174.5097,-29.51,-0.118,0.0,0.0,signal_decay,
GNO-USD,,,base,SHORT,2026-01-29,135.1433,2026-01-29,136.42,184.9342,-236.11,-0.9447,0.0,0.0,signal_decay,
GNO-USD,,,base,SHORT,2026-01-29,133.3089,2026-01-29,134.6728,187.0362,-255.1,-1.0231,0.0,0.0,signal_decay,
GNO-USD,,,base,LONG,2026-01-29,134.6427,2026-01-29,133.5781,184.7098,-196.64,-0.7907,0.0,0.0,signal_decay,
GNO-USD,,,base,SHORT,2026-01-30,131.3946,2026-01-30,129.9086,188.9017,280.71,1.1309,0.0,0.0,signal_decay,
GNO-USD,,,base,SHORT,2026-01-31,122.4715,2026-01-31,120.6509,203.2378,370.01,1.4865,0.0,0.0,signal_decay,
GNO-USD,,,base,SHORT,2026-01-31,115.333,2026-01-31,115.25,216.6192,17.98,0.072,0.0,0.0,max_hold,
GNO-USD,,,base,LONG,2026-02-01,111.7643,2026-02-02,110.9561,223.5762,-180.69,-0.7231,0.0,0.0,max_hold,
GNO-USD,,,base,LONG,2026-02-02,111.7442,2026-02-02,108.7129,223.2121,-676.62,-2.7127,0.0,0.0,disaster_stop,
GNO-USD,,,base,SHORT,2026-02-02,111.4845,2026-02-02,114.9037,222.2148,-759.8,-3.067,0.0,0.0,disaster_stop,
GNO-USD,,,base,SHORT,2026-02-02,113.8474,2026-02-02,113.329,215.9343,111.94,0.4553,0.0,0.0,signal_decay,
GNO-USD,,,base,LONG,2026-02-02,117.7522,2026-02-03,117.61,209.0113,-29.72,-0.1208,0.0,0.0,signal_decay,
GNO-USD,,,base,LONG,2026-02-03,117.5014,2026-02-03,114.2263,209.3942,-685.79,-2.7873,0.0,0.0,disaster_stop,
GNO-USD,,,base,SHORT,2026-02-03,111.7238,2026-02-03,112.998,218.6881,-278.65,-1.1405,0.0,0.0,signal_decay,
GNO-USD,,,base,SHORT,2026-02-03,109.1017,2026-02-03,110.9218,223.3054,-406.44,-1.6683,0.0,0.0,signal_decay,
GNO-USD,,,base,LONG,2026-02-03,114.8636,2026-02-03,113.1894,211.2192,-353.62,-1.4576,0.0,0.0,signal_decay,
GNO-USD,,,base,SHORT,2026-02-04,111.9531,2026-02-04,112.1053,215.9207,-32.86,-0.1359,0.0,0.0,signal_decay,
GNO-USD,,,base,LONG,2026-02-04,110.7111,2026-02-05,110.3878,218.2687,-70.57,-0.292,0.0,0.0,signal_decay,
GNO-USD,,,base,LONG,2026-02-05,109.1264,2026-02-05,109.1316,221.2767,1.15,0.0048,0.0,0.0,signal_decay,
GNO-USD,,,base,SHORT,2026-02-05,115.3429,2026-02-05,107.0502,209.3533,1736.1,7.1896,0.0,0.0,signal_decay,
GNO-USD,,,base,SHORT,2026-02-12,120.9959,2026-02-12,122.8073,203.1593,-368.0,-1.4971,0.0,0.0,signal_decay,
GNO-USD,,,base,LONG,2026-02-23,117.3711,2026-02-23,116.4695,208.6497,-188.12,-0.7682,0.0,0.0,signal_decay,
GNO-USD,,,base,SHORT,2026-03-02,127.51,2026-03-02,127.7922,191.6902,-54.09,-0.2213,0.0,0.0,signal_decay,
GNO-USD,,,base,LONG,2026-03-10,127.9928,2026-03-10,126.8683,190.8614,-214.62,-0.8786,0.0,0.0,signal_decay,
GNO-USD,,,base,SHORT,2026-03-17,145.1433,2026-03-17,145.3848,167.9391,-40.56,-0.1664,0.0,0.0,signal_decay,
GNO-USD,,,base,SHORT,2026-03-25,129.3707,2026-03-25,130.4201,188.3355,-197.64,-0.8112,0.0,0.0,signal_decay,
