symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
GOMINING-USD,,,base,SHORT,2026-01-25,0.3879,2026-01-25,0.388,64449.6004,-6.44,-0.0258,0.0,0.0,signal_decay,
GOMINING-USD,,,base,LONG,2026-01-26,0.3821,2026-01-26,0.3814,65423.6817,-45.8,-0.1832,0.0,0.0,signal_decay,
GOMINING-USD,,,base,LONG,2026-01-27,0.3784,2026-01-27,0.3777,66033.1385,-46.22,-0.185,0.0,0.0,signal_decay,
GOMINING-USD,,,base,LONG,2026-01-27,0.3756,2026-01-27,0.373,66494.6321,-172.89,-0.6922,0.0,0.0,signal_decay,
GOMINING-USD,,,base,SHORT,2026-01-27,0.3829,2026-01-27,0.3832,65114.0306,-19.53,-0.0783,0.0,0.0,max_hold,
GOMINING-USD,,,base,LONG,2026-01-28,0.3762,2026-01-28,0.3747,66260.7091,-99.39,-0.3987,0.0,0.0,signal_decay,
GOMINING-USD,,,base,SHORT,2026-01-29,0.3649,2026-01-29,0.3724,68244.5355,-511.83,-2.0554,0.0,0.0,signal_decay,
GOMINING-USD,,,base,LONG,2026-01-30,0.3661,2026-01-30,0.3656,67671.3261,-33.84,-0.1366,0.0,0.0,signal_decay,
GOMINING-USD,,,base,SHORT,2026-01-31,0.3493,2026-01-31,0.3501,70901.8424,-56.72,-0.229,0.0,0.0,signal_decay,
GOMINING-USD,,,base,SHORT,2026-02-02,0.3397,2026-02-02,0.3343,72863.801,393.46,1.5896,0.0,0.0,signal_decay,
GOMINING-USD,,,base,SHORT,2026-02-02,0.3357,2026-02-02,0.3373,74025.0203,-118.44,-0.4766,0.0,0.0,signal_decay,
GOMINING-USD,,,base,LONG,2026-02-04,0.3174,2026-02-04,0.31,78199.7143,-578.68,-2.3314,0.0,0.0,disaster_stop,
GOMINING-USD,,,base,LONG,2026-02-04,0.3058,2026-02-04,0.2961,80693.0015,-782.72,-3.172,0.0,0.0,disaster_stop,
GOMINING-USD,,,base,LONG,2026-02-04,0.2898,2026-02-04,0.2748,84472.8755,-1267.09,-5.176,0.0,0.0,disaster_stop,
GOMINING-USD,,,base,LONG,2026-02-04,0.2608,2026-02-04,0.2524,92651.3268,-778.27,-3.2209,0.0,0.0,disaster_stop,
GOMINING-USD,,,base,LONG,2026-02-04,0.2627,2026-02-05,0.3264,91240.572,5812.02,24.2482,0.0,0.0,signal_decay,
GOMINING-USD,,,base,LONG,2026-02-05,0.3236,2026-02-05,0.3196,78559.655,-314.24,-1.2361,0.0,0.0,signal_decay,
GOMINING-USD,,,base,SHORT,2026-02-05,0.3181,2026-02-05,0.3163,79670.9988,143.41,0.5659,0.0,0.0,signal_decay,
GOMINING-USD,,,base,SHORT,2026-02-05,0.3117,2026-02-05,0.3113,81421.8693,32.57,0.1283,0.0,0.0,signal_decay,
GOMINING-USD,,,base,LONG,2026-02-05,0.3101,2026-02-05,0.308,81868.2323,-171.92,-0.6772,0.0,0.0,signal_decay,
GOMINING-USD,,,base,LONG,2026-02-13,0.3288,2026-02-13,0.3294,77081.3808,46.25,0.1825,0.0,0.0,signal_decay,
GOMINING-USD,,,base,LONG,2026-02-20,0.3293,2026-02-20,0.3287,76999.4541,-46.2,-0.1822,0.0,0.0,signal_decay,
GOMINING-USD,,,base,SHORT,2026-03-01,0.3119,2026-03-01,0.3097,81258.0004,178.77,0.7054,0.0,0.0,signal_decay,
GOMINING-USD,,,base,SHORT,2026-03-09,0.2973,2026-03-09,0.299,85398.7965,-145.18,-0.5718,0.0,0.0,signal_decay,
GOMINING-USD,,,base,LONG,2026-03-17,0.3071,2026-03-17,0.3072,82555.4143,8.26,0.0326,0.0,0.0,signal_decay,
GOMINING-USD,,,base,SHORT,2026-03-24,0.3001,2026-03-25,0.3027,84487.9427,-219.67,-0.8664,0.0,0.0,signal_decay,
