symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
IAU,,,base,LONG,2026-01-26,95.7446,2026-01-26,95.9932,522.2227,129.83,0.2597,0.0,0.0,signal_decay,
IAU,,,base,SHORT,2026-01-26,95.9099,2026-01-26,95.7435,198.6978,33.06,0.1735,0.0,0.0,signal_decay,
IAU,,,base,SHORT,2026-01-26,96.07,2026-01-26,95.3784,211.9271,146.57,0.7199,0.0,0.0,signal_decay,
IAU,,,base,LONG,2026-01-26,94.995,2026-01-27,95.621,527.9723,330.51,0.659,0.0,0.0,signal_decay,
IAU,,,base,SHORT,2026-01-27,95.74,2026-01-27,95.6435,146.8521,14.17,0.1008,0.0,0.0,signal_decay,
IAU,,,base,LONG,2026-01-27,95.67,2026-01-28,99.4352,172.106,648.01,3.9356,0.0,0.0,signal_decay,
IAU,,,base,SHORT,2026-01-28,99.5481,2026-01-28,99.5815,440.6907,-14.72,-0.0335,0.0,0.0,signal_decay,
IAU,,,base,LONG,2026-01-28,99.32,2026-01-29,97.6758,509.9045,-838.38,-1.6555,0.0,0.0,disaster_stop,
IAU,,,base,LONG,2026-01-29,97.18,2026-01-29,100.4348,516.8196,1682.14,3.3492,0.0,0.0,signal_decay,
IAU,,,base,SHORT,2026-01-29,100.979,2026-01-29,100.4501,505.7051,267.47,0.5238,0.0,0.0,signal_decay,
IAU,,,base,LONG,2026-01-29,100.04,2026-01-30,96.1263,511.7886,-2002.99,-3.9121,0.0,0.0,disaster_stop,
IAU,,,base,LONG,2026-01-30,95.9016,2026-01-30,93.8222,523.4306,-1088.42,-2.1683,0.0,0.0,disaster_stop,
IAU,,,base,LONG,2026-01-30,94.14,2026-01-30,92.5076,527.4445,-861.0,-1.734,0.0,0.0,disaster_stop,
IAU,,,base,LONG,2026-01-30,92.34,2026-01-30,90.6083,533.064,-923.1,-1.8753,0.0,0.0,disaster_stop,
IAU,,,base,LONG,2026-01-30,91.31,2026-01-30,89.5387,534.0223,-945.91,-1.9399,0.0,0.0,disaster_stop,
IAU,,,base,LONG,2026-01-30,88.83,2026-02-02,87.3594,543.607,-799.43,-1.6555,0.0,0.0,disaster_stop,
IAU,,,base,LONG,2026-02-02,86.97,2026-02-02,87.9692,550.637,550.2,1.1489,0.0,0.0,signal_decay,
IAU,,,base,LONG,2026-02-02,87.281,2026-02-02,88.3291,551.8268,578.37,1.2008,0.0,0.0,signal_decay,
IAU,,,base,LONG,2026-02-02,87.99,2026-02-03,92.7125,550.6669,2600.53,5.3671,0.0,0.0,signal_decay,
IAU,,,base,SHORT,2026-02-03,92.95,2026-02-03,92.7124,404.4056,96.09,0.2556,0.0,0.0,signal_decay,
IAU,,,base,SHORT,2026-02-03,93.03,2026-02-03,91.9572,324.7691,348.41,1.1532,0.0,0.0,signal_decay,
IAU,,,base,LONG,2026-02-03,92.83,2026-02-04,92.5976,538.3571,-125.12,-0.2504,0.0,0.0,signal_decay,
IAU,,,base,LONG,2026-02-04,92.225,2026-02-04,92.5376,541.2105,169.18,0.339,0.0,0.0,signal_decay,
IAU,,,base,SHORT,2026-02-04,93.13,2026-02-04,92.9075,166.4892,37.04,0.2389,0.0,0.0,signal_decay,
IAU,,,base,LONG,2026-02-04,92.7701,2026-02-05,90.7682,539.1419,-1079.31,-2.1579,0.0,0.0,disaster_stop,
IAU,,,base,LONG,2026-02-05,91.32,2026-02-05,91.293,541.7936,-14.63,-0.0296,0.0,0.0,signal_decay,
IAU,,,base,LONG,2026-02-12,92.91,2026-02-12,92.9075,532.443,-1.33,-0.0027,0.0,0.0,signal_decay,
IAU,,,base,LONG,2026-02-19,94.02,2026-02-20,94.9068,286.962,254.48,0.9432,0.0,0.0,signal_decay,
IAU,,,base,LONG,2026-02-26,97.44,2026-02-26,97.3958,168.4419,-7.45,-0.0454,0.0,0.0,signal_decay,
IAU,,,base,LONG,2026-03-05,95.38,2026-03-06,96.9561,106.2603,167.48,1.6524,0.0,0.0,signal_decay,
IAU,,,base,LONG,2026-03-12,95.685,2026-03-13,94.9068,519.1605,-404.01,-0.8133,0.0,0.0,signal_decay,
IAU,,,base,LONG,2026-03-19,87.48,2026-03-20,86.0749,565.5449,-794.65,-1.6062,0.0,0.0,disaster_stop,
IAU,,,base,LONG,2026-03-26,82.57,2026-03-26,82.0813,594.3629,-290.46,-0.5919,0.0,0.0,end_of_backtest,
