direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2025-01-15,56.66,2025-01-16,57.07,529.48,217.19,0.72,signal_decay
SHORT,2025-02-04,56.11,2025-03-05,51.46,535.82,2492.86,8.29,profit_lock_trail
SHORT,2025-03-06,50.62,2025-03-10,44.93,608.68,3467.43,11.25,signal_decay
SHORT,2025-03-24,50.16,2025-03-31,46.83,635.0,2118.37,6.65,signal_decay
LONG,2025-05-12,57.9,2025-05-19,59.97,561.12,1160.78,3.57,signal_decay
LONG,2025-05-28,60.81,2025-06-03,60.38,450.32,-194.72,-0.71,signal_decay
LONG,2025-06-04,59.66,2025-06-09,61.77,216.07,455.71,3.54,signal_decay
LONG,2025-06-12,60.72,2025-07-11,67.19,488.5,3158.32,10.65,signal_decay
LONG,2025-07-29,66.73,2025-08-06,65.49,507.43,-632.36,-1.87,signal_decay
SHORT,2025-08-19,64.17,2025-08-21,63.71,524.77,238.87,0.71,signal_decay
LONG,2025-09-18,66.77,2025-09-25,62.08,505.36,-2372.72,-7.03,disaster_stop
SHORT,2025-09-30,64.98,2025-10-03,69.83,389.38,-1891.29,-7.48,disaster_stop
SHORT,2025-10-20,62.91,2025-11-18,52.68,516.08,5279.29,16.26,signal_decay
SHORT,2025-11-26,51.01,2026-02-06,39.69,233.64,2644.4,22.19,profit_lock_trail
SHORT,2026-02-09,40.1,2026-02-23,36.56,868.98,3070.28,8.81,signal_decay
SHORT,2026-02-25,39.22,2026-02-27,37.2,911.96,1836.05,5.13,signal_decay
SHORT,2026-03-02,39.18,2026-03-06,38.61,926.83,526.26,1.45,signal_decay
SHORT,2026-03-10,39.7,2026-03-11,40.08,645.69,-250.46,-0.98,signal_decay
SHORT,2026-03-12,39.94,2026-03-13,40.38,409.16,-183.34,-1.12,end_of_backtest
