symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
IBIT,,,base,LONG,2026-01-26,49.81,2026-01-27,49.878,1003.8145,68.26,0.1365,0.0,0.0,max_hold,
IBIT,,,base,LONG,2026-01-27,49.73,2026-01-28,50.8699,1006.1156,1146.87,2.2922,0.0,0.0,max_hold,
IBIT,,,base,LONG,2026-01-28,50.8103,2026-01-28,50.8372,996.01,26.79,0.0529,0.0,0.0,signal_decay,
IBIT,,,base,LONG,2026-01-28,50.7301,2026-01-28,50.6373,296.5972,-27.52,-0.1829,0.0,0.0,signal_decay,
IBIT,,,base,LONG,2026-01-28,50.7411,2026-01-29,49.6401,726.3345,-799.69,-2.1698,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-01-29,49.695,2026-01-29,48.6979,1010.3099,-1007.38,-2.0064,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-01-29,48.28,2026-01-29,47.4752,1029.4877,-828.53,-1.6669,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-01-29,47.415,2026-01-30,46.5379,1039.5317,-911.77,-1.8498,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-01-30,46.4684,2026-02-02,44.4294,1050.8972,-2142.78,-4.3879,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-02-02,44.55,2026-02-03,44.046,1072.1015,-540.34,-1.1313,0.0,0.0,max_hold,
IBIT,,,base,LONG,2026-02-03,44.14,2026-02-03,43.4348,1075.9391,-758.75,-1.5976,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-02-03,43.4912,2026-02-03,42.765,1083.2669,-786.67,-1.6698,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-02-03,42.5599,2026-02-03,41.7304,1097.7292,-910.56,-1.949,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-02-03,41.51,2026-02-04,40.85,1114.5257,-735.59,-1.59,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-02-04,41.1308,2026-02-05,39.8411,1115.8589,-1439.12,-3.1356,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-02-05,40.05,2026-02-05,39.2413,1128.0052,-912.22,-2.0192,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-02-05,39.0014,2026-02-05,38.2066,1146.6383,-911.35,-2.0379,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-02-05,37.8179,2026-02-05,37.222,1170.4728,-697.49,-1.5757,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-02-05,37.35,2026-02-05,36.3623,1175.7987,-1161.33,-2.6444,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-02-05,36.275,2026-02-05,35.4121,1194.6357,-1030.85,-2.3788,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-02-05,36.095,2026-02-06,39.6911,1186.3135,4266.1,9.9629,0.0,0.0,max_hold,
IBIT,,,base,LONG,2026-02-13,38.28,2026-02-17,38.5765,1174.3218,348.19,0.7746,0.0,0.0,max_hold,
IBIT,,,base,LONG,2026-02-20,38.05,2026-02-23,37.3719,1185.9956,-804.22,-1.7821,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-02-27,37.365,2026-03-02,37.7718,1196.9763,486.93,1.0887,0.0,0.0,max_hold,
IBIT,,,base,LONG,2026-03-06,38.7699,2026-03-09,39.0763,1159.8813,355.39,0.7903,0.0,0.0,max_hold,
IBIT,,,base,LONG,2026-03-13,41.1899,2026-03-13,40.4758,1096.0497,-782.69,-1.7337,0.0,0.0,disaster_stop,
IBIT,,,base,LONG,2026-03-20,39.535,2026-03-23,40.4958,1132.0307,1087.66,2.4303,0.0,0.0,max_hold,
