symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
ICP-USD,,,base,LONG,2026-01-25,3.4625,2026-01-25,3.4725,7220.2166,72.2,0.2888,0.0,0.0,signal_decay,
ICP-USD,,,base,SHORT,2026-01-25,3.4096,2026-01-25,3.4164,7337.5324,-49.9,-0.1994,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-01-25,3.4174,2026-01-25,3.3377,7317.1349,-583.18,-2.3322,0.0,0.0,disaster_stop,
ICP-USD,,,base,LONG,2026-01-25,3.3353,2026-01-25,3.259,7453.5373,-568.7,-2.2877,0.0,0.0,disaster_stop,
ICP-USD,,,base,LONG,2026-01-25,3.2623,2026-01-25,3.1888,7576.7424,-556.89,-2.253,0.0,0.0,disaster_stop,
ICP-USD,,,base,LONG,2026-01-25,3.1952,2026-01-25,3.2188,7692.2834,181.54,0.7386,0.0,0.0,signal_decay,
ICP-USD,,,base,SHORT,2026-01-26,3.2607,2026-01-26,3.2042,7551.6817,426.67,1.7328,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-01-26,3.3704,2026-01-26,3.2617,7337.5374,-797.59,-3.2251,0.0,0.0,disaster_stop,
ICP-USD,,,base,LONG,2026-01-26,3.2683,2026-01-26,3.3806,7505.7487,842.9,3.436,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-01-26,3.3073,2026-01-26,3.3646,7480.9549,428.66,1.7325,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-01-26,3.3714,2026-01-26,3.347,7370.5069,-179.84,-0.7237,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-01-27,3.3503,2026-01-27,3.3287,7403.5062,-159.92,-0.6447,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-01-27,3.2623,2026-01-27,3.3437,7590.9597,617.9,2.4952,0.0,0.0,signal_decay,
ICP-USD,,,base,SHORT,2026-01-27,3.3856,2026-01-27,3.2673,7360.1323,870.7,3.4942,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-01-27,3.3343,2026-01-27,3.3457,7538.6557,85.94,0.3419,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-01-27,3.2713,2026-01-28,3.2557,7690.406,-119.97,-0.4769,0.0,0.0,signal_decay,
ICP-USD,,,base,SHORT,2026-01-28,3.2917,2026-01-28,3.2292,7633.6338,477.1,1.8987,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-01-28,3.1912,2026-01-28,3.2477,7911.4151,446.99,1.7705,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-01-29,3.1181,2026-01-29,3.1229,8132.7272,39.04,0.1539,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-01-29,3.0801,2026-01-29,3.0939,8236.2313,113.66,0.448,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-01-29,3.1001,2026-01-29,3.017,8192.2619,-680.78,-2.6806,0.0,0.0,disaster_stop,
ICP-USD,,,base,LONG,2026-01-29,3.023,2026-01-29,3.006,8344.9013,-141.86,-0.5624,0.0,0.0,signal_decay,
ICP-USD,,,base,SHORT,2026-01-29,3.003,2026-01-29,3.1521,8388.6683,-1250.75,-4.965,0.0,0.0,disaster_stop,
ICP-USD,,,base,SHORT,2026-01-29,3.1459,2026-01-30,3.1081,7908.2244,298.93,1.2016,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-01-30,3.1081,2026-01-30,3.0,8028.447,-867.88,-3.478,0.0,0.0,disaster_stop,
ICP-USD,,,base,LONG,2026-01-30,3.003,2026-01-30,2.9401,8237.1786,-518.12,-2.0946,0.0,0.0,signal_decay,
ICP-USD,,,base,SHORT,2026-01-30,2.9401,2026-01-30,3.006,8369.3472,-551.54,-2.2414,0.0,0.0,disaster_stop,
ICP-USD,,,base,SHORT,2026-01-30,3.0,2026-01-30,3.036,8156.2775,-293.63,-1.2,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-01-30,3.036,2026-01-30,3.034,8035.3841,-16.07,-0.0659,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-02-06,2.6827,2026-02-06,2.7792,9092.1118,877.39,3.5971,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-02-13,2.7247,2026-02-14,2.7722,9032.4643,429.04,1.7433,0.0,0.0,signal_decay,
ICP-USD,,,base,SHORT,2026-02-21,2.476,2026-02-21,2.4414,9983.0437,345.41,1.3974,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-02-21,2.4414,2026-02-21,2.4366,10159.8957,-48.77,-0.1966,0.0,0.0,signal_decay,
ICP-USD,,,base,SHORT,2026-02-21,2.4735,2026-02-22,2.4484,10023.1161,251.58,1.0148,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-02-22,2.4484,2026-02-22,2.5205,10151.5572,731.93,2.9448,0.0,0.0,signal_decay,
ICP-USD,,,base,LONG,2026-02-22,2.4945,2026-02-22,2.3636,10037.3038,-1313.88,-5.2475,0.0,0.0,disaster_stop,
