direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2025-12-16,106.15,2025-12-16,106.28,471.03,61.23,0.12,eod
LONG,2025-12-17,106.68,2025-12-17,104.7,468.98,-929.98,-1.86,eod
LONG,2025-12-18,106.35,2025-12-18,106.16,466.08,-86.22,-0.17,eod
LONG,2025-12-19,107.21,2025-12-19,107.71,461.92,230.96,0.47,eod
LONG,2025-12-22,108.74,2025-12-22,108.95,456.48,95.86,0.19,eod
LONG,2025-12-30,107.49,2025-12-30,106.97,462.24,-238.05,-0.48,eod
SHORT,2026-01-02,104.59,2026-01-02,102.67,473.92,909.92,1.84,eod
LONG,2026-01-07,105.75,2026-01-07,106.23,473.02,227.05,0.45,eod
SHORT,2026-01-08,104.79,2026-01-08,104.46,478.41,157.88,0.31,eod
SHORT,2026-01-09,103.9,2026-01-09,104.99,483.27,-521.93,-1.04,eod
LONG,2026-01-12,104.77,2026-01-12,105.34,476.79,271.77,0.54,eod
SHORT,2026-01-15,101.0,2026-01-15,99.76,495.93,614.96,1.23,eod
SHORT,2026-01-16,98.51,2026-01-16,98.35,511.59,81.86,0.16,eod
LONG,2026-01-20,96.47,2026-01-20,95.9,522.83,-298.01,-0.59,eod
LONG,2026-01-21,96.31,2026-01-21,95.36,522.15,-496.04,-0.99,eod
SHORT,2026-01-22,95.97,2026-01-22,96.92,521.42,-495.35,-0.99,eod
LONG,2026-01-23,97.16,2026-01-23,97.73,512.48,292.12,0.59,eod
LONG,2026-01-26,98.6,2026-01-26,98.82,506.51,113.96,0.23,eod
LONG,2026-01-28,98.72,2026-01-28,97.05,506.44,-845.76,-1.69,eod
SHORT,2026-01-29,91.69,2026-01-29,92.34,540.66,-351.43,-0.71,eod
SHORT,2026-01-30,91.25,2026-01-30,90.21,541.34,563.0,1.14,eod
SHORT,2026-02-03,86.42,2026-02-03,85.36,574.89,603.63,1.22,eod
SHORT,2026-02-05,82.08,2026-02-05,79.65,608.93,1479.69,2.96,eod
SHORT,2026-02-06,80.56,2026-02-06,82.44,629.6,-1183.65,-2.33,eod
LONG,2026-02-09,83.3,2026-02-09,85.03,601.79,1038.08,2.07,eod
LONG,2026-02-10,86.47,2026-02-10,85.42,585.69,-617.91,-1.22,eod
SHORT,2026-02-12,82.04,2026-02-12,81.01,613.59,632.0,1.26,eod
LONG,2026-02-13,82.07,2026-02-13,82.73,617.18,404.25,0.8,eod
LONG,2026-02-18,81.59,2026-02-18,82.01,623.3,259.92,0.51,eod
LONG,2026-02-19,81.92,2026-02-19,81.8,622.39,-75.31,-0.15,eod
LONG,2026-02-20,82.05,2026-02-20,80.74,620.95,-813.45,-1.6,eod
SHORT,2026-02-23,77.6,2026-02-23,76.97,651.32,407.08,0.81,eod
LONG,2026-02-24,77.59,2026-02-24,78.34,654.03,490.52,0.97,eod
LONG,2026-02-25,80.09,2026-02-25,80.82,636.68,467.96,0.92,eod
LONG,2026-02-26,82.87,2026-02-26,82.57,618.14,-182.35,-0.36,eod
LONG,2026-02-27,80.67,2026-02-27,81.56,633.87,564.14,1.1,eod
LONG,2026-03-02,82.26,2026-03-02,82.78,625.04,325.02,0.63,eod
LONG,2026-03-03,81.49,2026-03-03,84.06,632.95,1623.51,3.15,eod
LONG,2026-03-04,85.11,2026-03-04,85.7,615.56,363.73,0.69,eod
LONG,2026-03-05,88.07,2026-03-05,87.6,596.97,-280.58,-0.53,eod
SHORT,2026-03-06,86.68,2026-03-06,87.89,604.89,-731.92,-1.4,eod
LONG,2026-03-12,86.14,2026-03-12,85.05,604.44,-658.83,-1.27,eod
LONG,2026-03-13,85.24,2026-03-13,84.19,606.99,-631.27,-1.22,eod
