symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
IGV,,,base,SHORT,2026-01-26,98.33,2026-01-26,98.9946,508.4918,-337.94,-0.6759,0.0,0.0,signal_decay,
IGV,,,base,LONG,2026-01-26,98.91,2026-01-26,99.0253,259.0583,29.87,0.1166,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-01-26,99.09,2026-01-27,97.7192,297.3791,407.65,1.3834,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-01-27,97.705,2026-01-28,98.1342,358.8905,-154.04,-0.4393,0.0,0.0,signal_decay,
IGV,,,base,LONG,2026-01-28,97.82,2026-01-28,97.6308,249.4031,-47.19,-0.1934,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-01-28,97.395,2026-01-28,97.6842,293.6996,-84.94,-0.2969,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-01-28,97.3,2026-01-29,91.1169,181.6077,1122.9,6.3547,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-01-29,90.94,2026-01-29,91.2819,554.961,-189.74,-0.376,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-01-29,91.27,2026-01-30,91.402,242.3502,-31.99,-0.1446,0.0,0.0,signal_decay,
IGV,,,base,LONG,2026-01-30,91.04,2026-01-30,90.5533,117.1633,-57.02,-0.5346,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-01-30,90.415,2026-01-30,90.9218,161.0086,-81.6,-0.5605,0.0,0.0,signal_decay,
IGV,,,base,LONG,2026-01-30,90.475,2026-01-30,89.9835,174.6928,-85.86,-0.5432,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-02-02,90.86,2026-02-02,91.1319,552.9941,-150.36,-0.2993,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-02-02,90.885,2026-02-03,86.1501,373.0083,1766.16,5.2098,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-02-03,85.71,2026-02-03,84.4596,359.6729,449.73,1.4589,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-02-03,84.4599,2026-02-04,83.9994,406.8845,187.37,0.5452,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-02-04,83.055,2026-02-05,81.6436,274.4769,387.4,1.6994,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-02-05,81.25,2026-02-05,81.7986,424.068,-232.64,-0.6752,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-02-05,80.98,2026-02-05,80.8983,540.4765,44.16,0.1009,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-02-05,80.265,2026-02-06,81.8436,179.4913,-283.35,-1.9667,0.0,0.0,disaster_stop,
IGV,,,base,SHORT,2026-02-06,82.06,2026-02-06,81.1784,625.5092,551.45,1.0743,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-02-13,81.69,2026-02-13,82.9811,631.7175,-815.61,-1.5805,0.0,0.0,disaster_stop,
IGV,,,base,SHORT,2026-02-20,81.8544,2026-02-20,82.5089,625.4667,-409.37,-0.7996,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-02-27,80.65,2026-02-27,81.1484,632.2693,-315.12,-0.618,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-03-06,86.68,2026-03-06,88.0808,586.467,-821.52,-1.6161,0.0,0.0,disaster_stop,
IGV,,,base,SHORT,2026-03-13,84.125,2026-03-16,85.2298,128.1843,-141.62,-1.3133,0.0,0.0,signal_decay,
IGV,,,base,SHORT,2026-03-20,83.495,2026-03-20,83.6993,603.0707,-123.21,-0.2447,0.0,0.0,signal_decay,
