symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
IP-USD,,,base,LONG,2026-01-25,2.3327,2026-01-25,2.3134,10717.1947,-206.84,-0.8274,0.0,0.0,signal_decay,
IP-USD,,,base,SHORT,2026-01-25,2.3054,2026-01-25,2.3126,10821.675,-77.92,-0.3123,0.0,0.0,signal_decay,
IP-USD,,,base,SHORT,2026-01-25,2.3204,2026-01-25,2.0992,10743.3247,2376.42,9.5328,0.0,0.0,signal_decay,
IP-USD,,,base,LONG,2026-01-25,2.0822,2026-01-25,2.1327,12257.668,619.01,2.4253,0.0,0.0,signal_decay,
IP-USD,,,base,SHORT,2026-01-26,2.162,2026-01-26,2.2365,11876.8129,-884.82,-3.4459,0.0,0.0,disaster_stop,
IP-USD,,,base,SHORT,2026-01-26,2.2086,2026-01-26,2.3026,11526.0635,-1083.45,-4.2561,0.0,0.0,disaster_stop,
IP-USD,,,base,SHORT,2026-01-26,2.2754,2026-01-26,2.3307,11068.6478,-612.1,-2.4303,0.0,0.0,disaster_stop,
IP-USD,,,base,SHORT,2026-01-26,2.3064,2026-01-26,2.2004,10853.5281,1150.47,4.5959,0.0,0.0,signal_decay,
IP-USD,,,base,SHORT,2026-01-26,2.1846,2026-01-26,2.1804,11590.3121,48.68,0.1923,0.0,0.0,signal_decay,
IP-USD,,,base,SHORT,2026-01-26,2.1597,2026-01-26,2.1733,11729.5761,-159.52,-0.6297,0.0,0.0,signal_decay,
IP-USD,,,base,SHORT,2026-01-26,2.1607,2026-01-26,2.1563,11705.6903,51.51,0.2036,0.0,0.0,max_hold,
IP-USD,,,base,SHORT,2026-01-26,2.1467,2026-01-27,2.1954,11788.0287,-574.08,-2.2686,0.0,0.0,disaster_stop,
IP-USD,,,base,SHORT,2026-01-27,2.1946,2026-01-27,2.2465,11465.3431,-595.05,-2.3649,0.0,0.0,disaster_stop,
IP-USD,,,base,SHORT,2026-01-27,2.1866,2026-01-27,2.1553,11439.2569,358.05,1.4314,0.0,0.0,signal_decay,
IP-USD,,,base,SHORT,2026-01-27,2.1118,2026-01-27,2.1222,11886.8223,-123.62,-0.4925,0.0,0.0,max_hold,
IP-USD,,,base,SHORT,2026-01-27,2.1108,2026-01-27,2.1623,11877.812,-611.71,-2.4398,0.0,0.0,disaster_stop,
IP-USD,,,base,SHORT,2026-01-27,2.1427,2026-01-27,2.1944,11629.6069,-601.25,-2.4128,0.0,0.0,disaster_stop,
IP-USD,,,base,SHORT,2026-01-27,2.2016,2026-01-27,2.1974,11250.2026,47.25,0.1908,0.0,0.0,signal_decay,
IP-USD,,,base,SHORT,2026-01-27,2.1587,2026-01-27,2.209,11479.2509,-577.41,-2.3301,0.0,0.0,disaster_stop,
IP-USD,,,base,SHORT,2026-01-27,2.1966,2026-01-28,2.1924,11215.4727,47.1,0.1912,0.0,0.0,signal_decay,
IP-USD,,,base,SHORT,2026-02-04,1.3563,2026-02-04,1.3808,18172.7372,-445.23,-1.8064,0.0,0.0,signal_decay,
IP-USD,,,base,SHORT,2026-02-11,1.1317,2026-02-11,1.128,21680.9892,80.22,0.3269,0.0,0.0,signal_decay,
IP-USD,,,base,SHORT,2026-02-18,1.13,2026-02-18,1.1232,21731.3544,147.77,0.6018,0.0,0.0,signal_decay,
IP-USD,,,base,LONG,2026-02-25,1.02,2026-02-25,1.022,24111.1507,48.22,0.1961,0.0,0.0,signal_decay,
IP-USD,,,base,LONG,2026-03-04,0.8619,2026-03-04,0.9084,28547.8934,1327.48,5.3951,0.0,0.0,signal_decay,
IP-USD,,,base,SHORT,2026-03-11,0.7732,2026-03-11,0.7797,32252.0675,-209.64,-0.8407,0.0,0.0,signal_decay,
IP-USD,,,base,LONG,2026-03-11,0.7799,2026-03-11,0.7788,31907.7945,-35.1,-0.141,0.0,0.0,signal_decay,
IP-USD,,,base,SHORT,2026-03-11,0.7759,2026-03-11,0.7771,32060.9799,-38.47,-0.1547,0.0,0.0,signal_decay,
IP-USD,,,base,LONG,2026-03-18,0.806,2026-03-18,0.8128,30851.732,209.79,0.8437,0.0,0.0,signal_decay,
IP-USD,,,base,SHORT,2026-03-25,0.6647,2026-03-26,0.6549,37489.0085,367.39,1.4743,0.0,0.0,signal_decay,
