direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2025-12-18,250.45,2025-12-18,248.72,199.64,-345.38,-0.69,eod
LONG,2025-12-19,250.77,2025-12-19,250.77,198.7,0.0,0.0,eod
SHORT,2025-12-23,252.22,2025-12-23,252.07,197.55,29.63,0.06,eod
SHORT,2025-12-24,251.57,2025-12-24,252.62,198.13,-209.02,-0.42,eod
SHORT,2025-12-26,251.33,2025-12-26,251.39,197.9,-11.87,-0.02,eod
LONG,2025-12-29,250.27,2025-12-29,249.87,198.71,-80.48,-0.16,eod
SHORT,2025-12-30,249.59,2025-12-30,248.04,199.1,307.61,0.62,eod
SHORT,2025-12-31,247.77,2025-12-31,246.19,201.17,318.85,0.64,eod
LONG,2026-01-02,247.67,2026-01-02,248.79,201.9,225.12,0.45,eod
LONG,2026-01-06,252.43,2026-01-06,256.17,198.54,742.54,1.48,eod
LONG,2026-01-08,256.78,2026-01-08,258.29,196.62,296.9,0.59,eod
LONG,2026-01-09,260.39,2026-01-09,260.23,194.47,-31.12,-0.06,eod
SHORT,2026-01-14,260.87,2026-01-14,263.2,194.05,-452.14,-0.89,eod
LONG,2026-01-15,264.24,2026-01-15,265.48,190.71,235.69,0.47,eod
SHORT,2026-01-16,265.51,2026-01-16,265.74,190.25,-43.75,-0.09,eod
LONG,2026-01-20,262.75,2026-01-20,262.64,192.16,-21.14,-0.04,eod
LONG,2026-01-22,270.34,2026-01-22,269.81,186.73,-98.97,-0.2,eod
SHORT,2026-01-23,268.1,2026-01-23,264.82,188.11,616.99,1.22,eod
SHORT,2026-01-29,263.02,2026-01-29,263.36,192.91,-65.39,-0.13,eod
SHORT,2026-01-30,260.4,2026-01-30,259.64,194.73,147.99,0.29,eod
SHORT,2026-02-10,267.12,2026-02-10,266.17,190.11,180.6,0.36,eod
SHORT,2026-02-12,264.92,2026-02-12,259.55,192.03,1031.18,2.03,eod
SHORT,2026-02-13,260.4,2026-02-13,262.92,197.34,-497.3,-0.97,eod
LONG,2026-02-18,265.76,2026-02-18,264.0,192.42,-338.67,-0.66,eod
LONG,2026-02-19,263.09,2026-02-19,264.6,193.73,292.54,0.57,eod
LONG,2026-02-20,263.74,2026-02-20,264.63,193.81,172.49,0.34,eod
SHORT,2026-02-23,262.0,2026-02-23,260.49,195.43,295.09,0.58,eod
LONG,2026-02-24,262.18,2026-02-24,263.32,195.85,223.28,0.43,eod
SHORT,2026-02-26,264.11,2026-02-26,265.94,194.85,-356.57,-0.69,eod
SHORT,2026-02-27,260.09,2026-02-27,261.43,197.17,-264.21,-0.52,eod
LONG,2026-03-02,259.85,2026-03-02,263.81,196.85,779.57,1.52,eod
LONG,2026-03-05,260.43,2026-03-05,256.8,197.9,-718.39,-1.39,eod
SHORT,2026-03-06,250.34,2026-03-06,250.89,204.45,-113.47,-0.22,eod
LONG,2026-03-10,253.82,2026-03-10,253.37,201.42,-90.64,-0.18,eod
