symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
JTO-USD,,,base,SHORT,2026-01-25,0.347,2026-01-29,0.3912,72046.1095,-3184.44,-12.7378,0.0,0.0,disaster_stop,
JTO-USD,,,base,SHORT,2026-01-29,0.3888,2026-02-06,0.2106,62252.8048,11093.45,45.8333,0.0,0.0,signal_decay,
JTO-USD,,,base,LONG,2026-02-06,0.2106,2026-03-04,0.2792,128097.1175,8787.46,32.5736,0.0,0.0,signal_decay,
JTO-USD,,,base,SHORT,2026-03-04,0.2792,2026-03-14,0.284,104491.8285,-501.56,-1.7192,0.0,0.0,signal_decay,
JTO-USD,,,base,SHORT,2026-03-14,0.2824,2026-03-19,0.2006,102863.7688,8414.26,28.966,0.0,0.0,signal_decay,
JTO-USD,,,base,SHORT,2026-03-19,0.2,2026-03-23,0.3263,155761.4619,-19672.67,-63.15,0.0,0.0,disaster_stop,
JTO-USD,,,base,SHORT,2026-03-23,0.3243,2026-03-23,0.3466,80894.6168,-1803.95,-6.8763,0.0,0.0,disaster_stop,
JTO-USD,,,base,SHORT,2026-03-23,0.3446,2026-03-24,0.3498,74820.478,-389.07,-1.509,0.0,0.0,signal_decay,
JTO-USD,,,base,SHORT,2026-03-24,0.3478,2026-03-25,0.365,73852.4155,-1270.26,-4.9454,0.0,0.0,disaster_stop,
JTO-USD,,,base,SHORT,2026-03-25,0.3628,2026-03-26,0.3447,69923.6624,1265.62,4.989,0.0,0.0,signal_decay,
JTO-USD,,,base,SHORT,2026-03-26,0.3427,2026-03-26,0.3099,74948.0867,2458.3,9.5711,0.0,0.0,end_of_backtest,
