symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
KAS-USD,,,base,SHORT,2026-01-25,0.0417,2026-01-25,0.0415,599520.3837,91.13,0.3645,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-25,0.0413,2026-01-25,0.0413,605878.4933,0.0,0.0,0.0,0.0,signal_decay,
KAS-USD,,,base,LONG,2026-01-25,0.0401,2026-01-25,0.04,624009.5206,-68.02,-0.2718,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-25,0.039,2026-01-26,0.0397,641173.7824,-448.82,-1.7949,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-26,0.0399,2026-01-26,0.0399,624509.473,-24.36,-0.0978,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-26,0.04,2026-01-26,0.0401,622311.5407,-67.21,-0.2701,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-27,0.0398,2026-01-27,0.0403,624891.4755,-312.45,-1.2563,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-27,0.0401,2026-01-27,0.0401,617560.1377,28.41,0.1146,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-27,0.0391,2026-01-27,0.0391,634262.6913,0.0,0.0,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-27,0.0399,2026-01-27,0.0393,621545.6449,372.93,1.5038,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-27,0.0395,2026-01-27,0.0398,630200.0779,-189.06,-0.7595,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-28,0.0396,2026-01-28,0.0401,627415.1028,-313.71,-1.2626,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-28,0.0398,2026-01-28,0.0397,622291.7383,62.23,0.2513,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-28,0.0397,2026-01-28,0.0399,624251.0952,-124.85,-0.5038,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-29,0.0394,2026-01-29,0.0392,628212.0793,125.64,0.5076,0.0,0.0,signal_decay,
KAS-USD,,,base,LONG,2026-01-29,0.0382,2026-01-29,0.0379,648768.7573,-194.63,-0.7853,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-29,0.0379,2026-01-29,0.0386,652620.2868,-456.83,-1.847,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-30,0.0377,2026-01-30,0.0383,653053.0589,-400.97,-1.6286,0.0,0.0,signal_decay,
KAS-USD,,,base,LONG,2026-01-30,0.0384,2026-01-30,0.0379,638537.9343,-319.27,-1.3021,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-01-30,0.0379,2026-01-30,0.0379,644855.9217,0.0,0.0,0.0,0.0,signal_decay,
KAS-USD,,,base,LONG,2026-02-06,0.0292,2026-02-06,0.0298,836987.6518,502.19,2.0548,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-02-13,0.031,2026-02-13,0.0313,792438.3091,-237.73,-0.9677,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-02-20,0.0308,2026-02-20,0.031,795654.3736,-160.72,-0.6558,0.0,0.0,max_hold,
KAS-USD,,,base,SHORT,2026-02-27,0.03,2026-02-27,0.0301,816566.79,-112.69,-0.4606,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-03-06,0.0302,2026-03-07,0.0302,809198.7619,0.0,0.0,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-03-13,0.0304,2026-03-14,0.0304,804854.6787,-29.78,-0.1219,0.0,0.0,signal_decay,
KAS-USD,,,base,SHORT,2026-03-20,0.0381,2026-03-21,0.0378,641216.7376,192.37,0.7874,0.0,0.0,signal_decay,
