direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2025-06-01,0.85,2025-06-06,0.77,28126.1,2207.9,9.2,signal_decay
SHORT,2025-06-09,0.88,2025-06-20,0.73,27938.38,4084.59,16.65,signal_decay
SHORT,2025-07-04,0.72,2025-07-12,0.81,35303.35,-3085.51,-12.1,signal_decay
SHORT,2025-09-08,1.2,2025-09-25,1.06,20701.78,2871.34,11.59,signal_decay
SHORT,2025-09-28,1.12,2025-10-12,0.92,22818.67,4461.05,17.52,profit_lock_trail
SHORT,2025-10-20,0.91,2025-10-30,0.84,29003.44,2181.06,8.22,signal_decay
SHORT,2025-10-31,0.87,2025-11-03,0.74,31063.15,4056.97,15.0,signal_decay
SHORT,2025-11-07,0.83,2025-11-16,0.73,33677.69,3347.56,11.94,signal_decay
SHORT,2025-11-19,0.71,2025-11-29,0.65,40594.18,2374.76,8.24,signal_decay
SHORT,2025-12-08,0.6,2025-12-15,0.55,49262.62,2364.61,8.04,signal_decay
SHORT,2025-12-30,0.59,2026-01-21,0.53,51017.09,3004.91,10.03,signal_decay
SHORT,2026-01-28,0.52,2026-01-29,0.48,58745.43,2479.06,8.08,signal_decay
SHORT,2026-03-04,0.32,2026-03-15,0.31,98748.7,661.62,2.11,end_of_backtest
