direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2025-01-07,21.35,2025-01-21,26.65,1124.01,-5952.31,-24.8,disaster_stop
SHORT,2025-02-01,23.0,2025-03-02,17.45,981.28,5450.31,24.15,profit_lock_trail
SHORT,2025-03-03,14.42,2025-04-09,12.68,1655.85,2879.19,12.06,profit_lock_trail
SHORT,2025-04-12,13.12,2025-05-08,15.85,1872.7,-5111.38,-20.8,disaster_stop
SHORT,2025-05-30,13.87,2025-06-23,12.9,1682.88,1634.42,7.0,profit_lock_trail
SHORT,2025-06-24,13.38,2025-07-15,16.12,1773.77,-4865.1,-20.5,disaster_stop
SHORT,2025-09-22,21.62,2025-10-12,19.09,1044.02,2642.51,11.71,profit_lock_trail
SHORT,2025-10-14,19.08,2025-12-03,14.72,1216.38,5301.21,22.85,profit_lock_trail
SHORT,2025-12-04,14.23,2026-01-02,13.29,1508.43,1411.44,6.58,profit_lock_trail
SHORT,2026-01-12,13.04,2026-02-06,8.9,1902.51,7886.66,31.78,profit_lock_trail
SHORT,2026-02-07,8.9,2026-03-16,9.79,3002.24,-2680.5,-10.04,end_of_backtest
