symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
LINK-USD,,,base,LONG,2026-01-25,12.2144,2026-01-25,12.1656,2046.7645,-99.88,-0.3995,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-01-25,12.12,2026-01-25,12.0958,2060.646,-49.87,-0.1997,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-01-25,12.1042,2026-01-25,12.0059,2062.3059,-202.72,-0.8121,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-01-25,12.024,2026-01-25,11.7365,2071.8464,-595.66,-2.3911,0.0,0.0,disaster_stop,
LINK-USD,,,base,LONG,2026-01-25,11.7835,2026-01-25,11.7664,2101.4951,-35.94,-0.1451,0.0,0.0,signal_decay,
LINK-USD,,,base,SHORT,2026-01-25,11.5369,2026-01-25,11.4729,2145.6356,137.32,0.5547,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-01-26,11.9338,2026-01-26,11.9461,2077.1518,25.55,0.1031,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-01-27,11.9138,2026-01-27,11.8463,2081.1749,-140.48,-0.5666,0.0,0.0,signal_decay,
LINK-USD,,,base,SHORT,2026-01-27,11.8463,2026-01-27,11.9839,2090.0687,-287.59,-1.1615,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-01-27,12.014,2026-01-27,12.0758,2054.9095,126.99,0.5144,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-01-28,11.9438,2026-01-28,11.976,2069.6454,66.64,0.2696,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-01-28,11.8236,2026-01-28,11.7564,2092.0948,-140.59,-0.5684,0.0,0.0,signal_decay,
LINK-USD,,,base,SHORT,2026-01-28,11.8063,2026-01-28,11.81,2092.1834,-7.74,-0.0313,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-01-29,11.7034,2026-01-29,11.5968,2110.4132,-224.97,-0.9108,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-01-29,11.543,2026-01-29,11.11,2134.8667,-924.4,-3.7512,0.0,0.0,disaster_stop,
LINK-USD,,,base,LONG,2026-01-29,10.9919,2026-01-29,11.0379,2220.8779,102.16,0.4185,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-01-29,11.022,2026-01-29,11.0279,2217.1301,13.08,0.0535,0.0,0.0,signal_decay,
LINK-USD,,,base,SHORT,2026-01-29,10.9281,2026-01-29,10.9118,2236.4801,36.45,0.1492,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-01-30,10.9519,2026-01-30,10.6986,2232.452,-565.48,-2.3128,0.0,0.0,disaster_stop,
LINK-USD,,,base,LONG,2026-01-30,10.7615,2026-01-30,10.8882,2258.8135,286.19,1.1773,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-02-06,8.0962,2026-02-06,8.0638,3011.2608,-97.56,-0.4002,0.0,0.0,signal_decay,
LINK-USD,,,base,SHORT,2026-02-13,8.6826,2026-02-13,8.9278,2805.0789,-687.81,-2.824,0.0,0.0,disaster_stop,
LINK-USD,,,base,SHORT,2026-02-21,8.88,2026-02-21,8.9078,2723.3589,-75.71,-0.3131,0.0,0.0,signal_decay,
LINK-USD,,,base,SHORT,2026-02-28,8.2734,2026-02-28,8.3266,2920.7459,-155.38,-0.643,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-03-07,8.7675,2026-03-07,8.76,2751.7141,-20.64,-0.0855,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-03-14,9.0481,2026-03-14,9.0219,2665.8076,-69.84,-0.2896,0.0,0.0,signal_decay,
LINK-USD,,,base,LONG,2026-03-21,9.0781,2026-03-21,9.09,2655.0746,31.6,0.1311,0.0,0.0,signal_decay,
