symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
LPT-USD,,,base,LONG,2026-01-25,3.6272,2026-01-25,3.501,6892.3688,-869.82,-3.4793,0.0,0.0,disaster_stop,
LPT-USD,,,base,LONG,2026-01-25,3.515,2026-01-25,3.2714,7050.5109,-1717.5,-6.9303,0.0,0.0,disaster_stop,
LPT-USD,,,base,LONG,2026-01-25,3.2846,2026-01-25,3.6926,7414.3487,3025.05,12.4216,0.0,0.0,signal_decay,
LPT-USD,,,base,SHORT,2026-01-25,3.6437,2026-01-25,3.2846,6891.1912,2474.63,9.8554,0.0,0.0,signal_decay,
LPT-USD,,,base,LONG,2026-01-25,3.3557,2026-01-25,3.284,7666.9815,-549.72,-2.1367,0.0,0.0,disaster_stop,
LPT-USD,,,base,LONG,2026-01-25,3.2906,2026-01-25,3.495,7776.8976,1589.6,6.2116,0.0,0.0,signal_decay,
LPT-USD,,,base,LONG,2026-01-25,3.2034,2026-01-25,3.0998,8112.6487,-840.47,-3.2341,0.0,0.0,disaster_stop,
LPT-USD,,,base,LONG,2026-01-25,3.1122,2026-01-25,3.2126,8282.8678,831.6,3.226,0.0,0.0,signal_decay,
LPT-USD,,,base,SHORT,2026-01-25,3.2126,2026-01-25,3.0942,8088.726,957.71,3.6855,0.0,0.0,signal_decay,
LPT-USD,,,base,LONG,2026-01-25,3.1082,2026-01-25,3.0229,8437.4453,-719.71,-2.7444,0.0,0.0,disaster_stop,
LPT-USD,,,base,LONG,2026-01-25,3.0351,2026-01-26,3.0569,8581.3775,187.07,0.7183,0.0,0.0,signal_decay,
LPT-USD,,,base,SHORT,2026-01-26,3.1557,2026-01-26,3.2565,8268.2471,-833.44,-3.1942,0.0,0.0,disaster_stop,
LPT-USD,,,base,SHORT,2026-01-26,3.2635,2026-01-26,3.1813,7931.2847,651.95,2.5188,0.0,0.0,signal_decay,
LPT-USD,,,base,SHORT,2026-01-26,3.2724,2026-01-26,3.1964,7959.5207,604.92,2.3225,0.0,0.0,signal_decay,
LPT-USD,,,base,SHORT,2026-01-26,3.3812,2026-01-26,3.1874,7748.1268,1501.59,5.7317,0.0,0.0,signal_decay,
LPT-USD,,,base,LONG,2026-01-26,3.0882,2026-01-26,3.2106,8604.8064,1053.23,3.9635,0.0,0.0,signal_decay,
LPT-USD,,,base,LONG,2026-01-26,3.1202,2026-01-26,3.2275,8600.9455,922.88,3.4389,0.0,0.0,signal_decay,
LPT-USD,,,base,SHORT,2026-01-26,3.2974,2026-01-26,3.1994,8208.707,804.45,2.972,0.0,0.0,signal_decay,
LPT-USD,,,base,LONG,2026-01-26,3.1994,2026-01-27,3.1038,8523.0055,-814.8,-2.9881,0.0,0.0,disaster_stop,
LPT-USD,,,base,LONG,2026-01-27,3.1162,2026-01-27,3.357,8685.1948,2091.39,7.7274,0.0,0.0,signal_decay,
LPT-USD,,,base,SHORT,2026-01-27,3.3932,2026-01-27,3.1693,8130.2761,1820.37,6.5985,0.0,0.0,signal_decay,
LPT-USD,,,base,LONG,2026-01-27,3.1693,2026-01-27,3.2814,8848.2457,991.89,3.5371,0.0,0.0,signal_decay,
LPT-USD,,,base,SHORT,2026-01-27,3.2675,2026-01-27,3.1834,8658.2149,728.16,2.5738,0.0,0.0,signal_decay,
LPT-USD,,,base,LONG,2026-01-27,3.1834,2026-01-27,3.2804,8944.1339,867.58,3.0471,0.0,0.0,signal_decay,
LPT-USD,,,base,LONG,2026-01-27,3.1854,2026-01-27,3.2605,9006.6087,676.4,2.3576,0.0,0.0,signal_decay,
LPT-USD,,,base,SHORT,2026-01-27,3.2575,2026-01-28,3.2575,8859.1712,0.0,0.0,0.0,0.0,signal_decay,
