symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
LTC-USD,,,base,SHORT,2026-01-25,68.5014,2026-01-25,68.5084,364.956,-2.55,-0.0102,0.0,0.0,signal_decay,
LTC-USD,,,base,LONG,2026-01-25,68.5084,2026-01-25,68.7911,364.9094,103.16,0.4127,0.0,0.0,signal_decay,
LTC-USD,,,base,SHORT,2026-01-25,68.951,2026-01-25,68.5084,362.9411,160.64,0.6419,0.0,0.0,signal_decay,
LTC-USD,,,base,SHORT,2026-01-25,68.9909,2026-01-25,69.049,363.3133,-21.11,-0.0842,0.0,0.0,signal_decay,
LTC-USD,,,base,SHORT,2026-01-25,69.91,2026-01-25,69.5895,358.4614,114.89,0.4584,0.0,0.0,signal_decay,
LTC-USD,,,base,LONG,2026-01-25,69.4794,2026-01-25,70.1797,361.0963,252.88,1.0079,0.0,0.0,signal_decay,
LTC-USD,,,base,SHORT,2026-01-25,70.1797,2026-01-25,69.5495,358.3939,225.86,0.898,0.0,0.0,signal_decay,
LTC-USD,,,base,LONG,2026-01-25,68.2582,2026-01-25,68.3016,369.31,16.03,0.0636,0.0,0.0,signal_decay,
LTC-USD,,,base,LONG,2026-01-25,67.2372,2026-01-25,66.943,374.9776,-110.32,-0.4376,0.0,0.0,signal_decay,
LTC-USD,,,base,SHORT,2026-01-25,66.6733,2026-01-25,66.3763,377.7354,112.19,0.4455,0.0,0.0,signal_decay,
LTC-USD,,,base,SHORT,2026-01-25,67.1228,2026-01-26,67.6476,375.6237,-197.13,-0.7819,0.0,0.0,signal_decay,
LTC-USD,,,base,LONG,2026-01-26,66.9769,2026-01-26,68.0519,375.7061,403.88,1.605,0.0,0.0,signal_decay,
LTC-USD,,,base,SHORT,2026-01-26,68.0519,2026-01-26,67.4073,371.2549,239.31,0.9472,0.0,0.0,signal_decay,
LTC-USD,,,base,LONG,2026-01-26,67.4073,2026-01-26,67.5124,375.6927,39.49,0.1559,0.0,0.0,signal_decay,
LTC-USD,,,base,SHORT,2026-01-26,68.1817,2026-01-26,68.1681,371.5704,5.05,0.0199,0.0,0.0,signal_decay,
LTC-USD,,,base,LONG,2026-01-26,68.1681,2026-01-26,68.0219,371.6631,-54.34,-0.2145,0.0,0.0,signal_decay,
LTC-USD,,,base,SHORT,2026-01-26,68.7412,2026-01-26,70.1901,368.3669,-533.73,-2.1078,0.0,0.0,disaster_stop,
LTC-USD,,,base,SHORT,2026-01-26,70.0499,2026-01-26,69.1591,359.5801,320.31,1.2717,0.0,0.0,signal_decay,
LTC-USD,,,base,LONG,2026-01-26,69.4494,2026-01-26,69.1907,363.8423,-94.13,-0.3725,0.0,0.0,signal_decay,
LTC-USD,,,base,SHORT,2026-01-26,69.5804,2026-01-26,69.7096,362.8191,-46.88,-0.1857,0.0,0.0,signal_decay,
LTC-USD,,,base,LONG,2026-01-26,69.4494,2026-01-26,70.1198,363.3347,243.58,0.9653,0.0,0.0,signal_decay,
