direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2023-08-11,42.76,2023-10-20,38.17,799.44,3668.75,10.73,signal_decay
SHORT,2023-10-24,39.49,2023-11-15,41.86,519.9,-1231.76,-6.0,disaster_stop
SHORT,2023-11-29,39.57,2023-12-12,38.24,1132.37,1499.85,3.35,signal_decay
SHORT,2023-12-14,38.55,2024-01-18,35.3,1027.3,3344.57,8.45,signal_decay
SHORT,2024-01-24,36.69,2024-01-25,36.76,277.78,-18.58,-0.18,signal_decay
LONG,2024-02-16,37.07,2024-02-20,36.77,274.86,-84.06,-0.82,signal_decay
SHORT,2024-02-20,36.77,2024-04-01,38.59,483.06,-881.8,-4.96,signal_decay
LONG,2024-04-08,38.36,2024-05-03,42.79,263.23,1164.79,11.53,signal_decay
SHORT,2024-06-21,41.39,2024-07-31,39.86,989.26,1519.35,3.71,signal_decay
SHORT,2024-08-12,40.26,2024-08-28,39.42,257.17,214.77,2.07,signal_decay
LONG,2024-09-19,40.94,2024-10-01,50.86,1241.22,12307.66,24.22,signal_decay
SHORT,2024-11-12,45.94,2024-12-30,45.93,492.23,5.8,0.03,signal_decay
SHORT,2024-12-31,45.84,2025-01-03,45.38,355.51,163.46,1.0,signal_decay
LONG,2025-01-24,46.36,2025-02-06,48.05,890.95,1507.82,3.65,signal_decay
LONG,2025-02-12,50.74,2025-02-21,54.56,579.0,2209.02,7.52,signal_decay
LONG,2025-05-12,53.86,2025-07-03,54.06,327.83,64.4,0.36,signal_decay
LONG,2025-07-08,54.46,2025-07-09,53.92,218.82,-118.9,-1.0,signal_decay
SHORT,2025-10-22,62.27,2026-03-06,56.72,381.88,2119.0,8.91,end_of_backtest
