symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
MTUM,,,base,SHORT,2026-01-26,257.0044,2026-01-27,259.8409,42.3239,-120.05,-1.1037,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-01-27,259.86,2026-01-28,260.7712,65.5712,-59.75,-0.3507,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-01-28,260.21,2026-01-29,256.66,68.5945,243.51,1.3643,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-01-29,256.6451,2026-01-29,260.8613,93.3507,-393.58,-1.6428,0.0,0.0,disaster_stop,
MTUM,,,base,SHORT,2026-01-30,259.12,2026-02-02,257.9403,55.7191,65.73,0.4553,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-02-02,258.86,2026-02-03,256.9999,67.217,125.03,0.7186,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-02-03,256.79,2026-02-04,246.5963,89.6201,913.56,3.9697,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-02-04,246.79,2026-02-05,246.0761,146.1594,104.34,0.2893,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-02-05,246.085,2026-02-06,250.2225,106.9578,-442.54,-1.6813,0.0,0.0,disaster_stop,
MTUM,,,base,SHORT,2026-02-06,250.35,2026-02-09,254.5991,200.5917,-852.33,-1.6973,0.0,0.0,disaster_stop,
MTUM,,,base,SHORT,2026-02-10,257.49,2026-02-11,257.5301,46.3836,-1.86,-0.0156,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-02-11,254.96,2026-02-12,256.4397,80.0888,-118.51,-0.5804,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-02-12,255.09,2026-02-13,252.7079,96.6024,230.12,0.9338,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-02-13,251.42,2026-02-17,252.3733,99.0339,-94.41,-0.3792,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-02-17,251.88,2026-02-18,255.1503,86.1663,-281.79,-1.2984,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-02-18,253.26,2026-02-19,252.6584,39.6313,23.84,0.2375,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-02-20,253.78,2026-02-23,251.618,64.9226,140.36,0.8519,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-02-23,251.7363,2026-02-24,249.6574,102.7872,213.68,0.8258,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-02-24,249.975,2026-02-25,254.8992,116.554,-573.93,-1.9699,0.0,0.0,disaster_stop,
MTUM,,,base,SHORT,2026-02-25,255.15,2026-02-26,256.0496,55.929,-50.31,-0.3526,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-02-26,254.7,2026-02-27,252.3383,51.2525,121.04,0.9272,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-03-05,249.35,2026-03-06,242.7349,83.8606,554.75,2.6529,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-03-06,242.63,2026-03-09,239.29,205.3028,685.71,1.3766,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-03-10,250.27,2026-03-11,249.5073,99.5079,75.9,0.3048,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-03-11,249.48,2026-03-12,243.2651,40.5725,252.15,2.4911,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-03-12,243.18,2026-03-13,247.0564,138.3974,-536.48,-1.594,0.0,0.0,disaster_stop,
MTUM,,,base,SHORT,2026-03-13,246.13,2026-03-16,247.6867,97.6051,-151.94,-0.6325,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-03-16,247.13,2026-03-17,248.4219,150.6749,-194.66,-0.5228,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-03-17,248.83,2026-03-18,247.9,55.8016,51.9,0.3738,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-03-24,245.78,2026-03-25,247.5766,53.8898,-96.82,-0.731,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-03-25,247.69,2026-03-26,240.6542,82.1113,577.72,2.8406,0.0,0.0,max_hold,
MTUM,,,base,SHORT,2026-03-26,240.32,2026-03-26,238.3934,56.3487,108.56,0.8017,0.0,0.0,end_of_backtest,
