direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2024-04-12,5.79,2024-04-22,7.04,6057.69,-7523.78,-21.44,disaster_stop
SHORT,2024-04-30,6.18,2024-05-05,7.5,2751.3,-3621.49,-21.29,disaster_stop
SHORT,2024-06-07,6.88,2024-06-21,5.41,6481.66,9547.67,21.41,profit_lock_trail
SHORT,2024-06-22,5.18,2024-07-16,6.24,5830.52,-6173.29,-20.42,disaster_stop
SHORT,2024-07-25,5.42,2024-08-08,4.06,7291.02,9916.73,25.08,profit_lock_trail
SHORT,2024-08-09,4.06,2024-08-24,5.04,2942.2,-2910.14,-24.39,disaster_stop
SHORT,2024-08-26,4.78,2024-09-09,4.02,8896.05,6818.19,16.02,profit_lock_trail
SHORT,2024-09-10,4.04,2024-09-23,5.17,7002.87,-7922.23,-28.0,disaster_stop
SHORT,2024-10-25,4.17,2024-11-11,5.57,6279.11,-8771.16,-33.5,disaster_stop
SHORT,2024-12-18,5.69,2025-03-02,3.55,7877.13,16884.76,37.65,profit_lock_trail
SHORT,2025-03-03,2.97,2025-03-15,2.64,12550.62,4104.53,11.01,profit_lock_trail
SHORT,2025-03-16,2.52,2025-03-25,3.03,8059.17,-4106.24,-20.23,disaster_stop
SHORT,2025-03-29,2.57,2025-04-12,2.21,14815.53,5235.53,13.77,profit_lock_trail
SHORT,2025-04-13,2.1,2025-04-24,2.54,9776.49,-4325.68,-21.1,disaster_stop
SHORT,2025-05-03,2.42,2025-05-10,3.36,17899.84,-16675.74,-38.43,disaster_stop
SHORT,2025-05-30,2.44,2025-06-24,2.19,10628.08,2740.34,10.55,profit_lock_trail
SHORT,2025-06-25,2.14,2025-07-14,2.58,17652.49,-7774.81,-20.59,disaster_stop
SHORT,2025-08-01,2.42,2025-08-13,3.0,9418.89,-5416.96,-23.76,disaster_stop
SHORT,2025-08-18,2.58,2025-09-18,3.18,9824.81,-5982.25,-23.64,disaster_stop
SHORT,2025-09-30,2.63,2025-11-06,2.09,8900.08,4774.96,20.4,profit_lock_trail
SHORT,2025-11-13,2.45,2026-01-02,1.69,3752.88,2864.32,31.11,profit_lock_trail
SHORT,2026-01-03,1.71,2026-02-06,1.09,17084.53,10654.94,36.46,profit_lock_trail
SHORT,2026-02-07,1.07,2026-03-02,1.36,26544.25,-7696.34,-26.98,disaster_stop
SHORT,2026-03-06,1.23,2026-03-13,1.36,27960.99,-3758.93,-10.97,end_of_backtest
