symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
NEAR-USD,,,base,SHORT,2026-01-25,1.5239,2026-01-25,1.522,16405.2759,31.17,0.1247,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-25,1.488,2026-01-25,1.483,16806.3122,-84.03,-0.336,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-25,1.4629,2026-01-25,1.4301,17080.3094,-560.23,-2.2421,0.0,0.0,disaster_stop,
NEAR-USD,,,base,SHORT,2026-01-25,1.4431,2026-01-25,1.4178,17217.6052,435.61,1.7532,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-25,1.4178,2026-01-26,1.4621,17601.6557,779.75,3.1246,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-26,1.4651,2026-01-26,1.438,17166.4499,465.21,1.8497,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-26,1.4409,2026-01-26,1.479,17535.4768,668.1,2.6442,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-26,1.4529,2026-01-26,1.4461,17505.6053,-119.04,-0.468,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-27,1.484,2026-01-27,1.498,17118.6889,239.66,0.9434,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-27,1.4609,2026-01-27,1.498,17430.3852,646.67,2.5395,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-27,1.498,2026-01-27,1.4749,17106.6199,395.16,1.5421,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-27,1.4749,2026-01-28,1.491,17441.5264,280.81,1.0916,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-28,1.491,2026-01-28,1.4749,17300.2746,278.53,1.0798,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-28,1.47,2026-01-28,1.492,17594.7912,387.09,1.4966,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-29,1.497,2026-01-29,1.4749,17342.0938,383.26,1.4763,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-29,1.4519,2026-01-29,1.479,17946.7797,486.36,1.8665,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-29,1.476,2026-01-29,1.4499,17736.1239,462.91,1.7683,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-29,1.4441,2026-01-29,1.4258,18208.0515,333.21,1.2672,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-29,1.4188,2026-01-29,1.4261,18591.4498,135.72,0.5145,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-29,1.4299,2026-01-29,1.4231,18470.857,-125.6,-0.4756,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-29,1.3892,2026-01-29,1.3737,18989.4025,294.34,1.1158,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-29,1.3587,2026-01-29,1.3473,19469.8328,-221.96,-0.839,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-29,1.3613,2026-01-29,1.3838,19391.8848,-436.32,-1.6528,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-29,1.3782,2026-01-30,1.3407,19074.9481,715.31,2.7209,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-30,1.3327,2026-01-30,1.3513,19860.3745,369.4,1.3957,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-30,1.3256,2026-01-30,1.3144,20036.4151,-224.41,-0.8449,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-30,1.3144,2026-01-30,1.3397,20164.4628,-510.16,-1.9248,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-30,1.3343,2026-01-30,1.3196,19768.1403,290.59,1.1017,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-30,1.3423,2026-01-30,1.3216,19704.4458,407.88,1.5421,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-30,1.3204,2026-01-30,1.3156,20108.4884,96.52,0.3635,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-30,1.3134,2026-01-30,1.3457,20234.0325,-653.56,-2.4593,0.0,0.0,disaster_stop,
NEAR-USD,,,base,SHORT,2026-01-30,1.3403,2026-01-31,1.3106,19706.0273,585.27,2.2159,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-31,1.2876,2026-01-31,1.2774,20626.2082,-210.39,-0.7922,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-31,1.2814,2026-01-31,1.2705,20684.9609,225.47,0.8506,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-31,1.23,2026-01-31,1.253,21595.1832,496.69,1.8699,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-31,1.2505,2026-01-31,1.1503,21340.462,2138.31,8.0128,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-01-31,1.1794,2026-01-31,1.1856,23080.2325,143.1,0.5257,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-31,1.1796,2026-01-31,1.1924,23106.6469,-295.77,-1.0851,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-01-31,1.1856,2026-01-31,1.2144,22927.3443,-660.31,-2.4291,0.0,0.0,disaster_stop,
NEAR-USD,,,base,SHORT,2026-01-31,1.2096,2026-02-01,1.216,22335.9643,-142.95,-0.5291,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-01,1.1796,2026-02-01,1.1603,22873.7241,441.46,1.6361,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-02-01,1.1603,2026-02-01,1.1826,23349.3154,520.69,1.9219,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-01,1.1826,2026-02-02,1.1563,23019.0961,605.4,2.2239,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-02-02,1.1403,2026-02-02,1.1866,24005.7298,1111.47,4.0603,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-02,1.1866,2026-02-02,1.1563,23303.2193,706.09,2.5535,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-02,1.1816,2026-02-02,1.2014,23551.2203,-466.31,-1.6757,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-02,1.1966,2026-02-02,1.2275,23158.5687,-715.6,-2.5823,0.0,0.0,disaster_stop,
NEAR-USD,,,base,SHORT,2026-02-02,1.2345,2026-02-02,1.2315,22302.6678,66.91,0.243,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-03,1.2275,2026-02-03,1.2345,22443.4789,-157.1,-0.5703,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-02-03,1.1934,2026-02-03,1.1736,23051.8638,-456.43,-1.6591,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-03,1.2136,2026-02-03,1.1784,22574.1493,794.61,2.9005,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-03,1.1936,2026-02-03,1.1563,23118.8338,862.33,3.125,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-03,1.1667,2026-02-03,1.2204,23836.6531,-1280.03,-4.6027,0.0,0.0,disaster_stop,
NEAR-USD,,,base,SHORT,2026-02-03,1.2116,2026-02-03,1.1934,22689.1847,412.94,1.5021,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-03,1.191,2026-02-04,1.1743,23168.3056,386.91,1.4022,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-02-04,1.1743,2026-02-04,1.1996,23580.158,596.58,2.1545,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-02-04,1.1743,2026-02-04,1.1637,23707.1652,-251.3,-0.9027,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-04,1.1577,2026-02-04,1.1483,23992.8307,225.53,0.812,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-04,1.1427,2026-02-04,1.1703,24357.122,-672.26,-2.4153,0.0,0.0,disaster_stop,
NEAR-USD,,,base,SHORT,2026-02-04,1.1657,2026-02-04,1.1804,23732.3661,-348.87,-1.261,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-04,1.1756,2026-02-04,1.1563,23458.3214,452.75,1.6417,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-04,1.1736,2026-02-04,1.1623,23594.7419,266.62,0.9628,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-05,1.16,2026-02-05,1.1383,23928.8312,519.26,1.8707,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-05,1.1397,2026-02-05,1.1252,24468.9463,354.8,1.2723,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-02-05,1.1283,2026-02-05,1.1018,24794.7869,-657.06,-2.3487,0.0,0.0,disaster_stop,
NEAR-USD,,,base,LONG,2026-02-05,1.1062,2026-02-05,1.1048,25141.6494,-35.2,-0.1266,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-05,1.1158,2026-02-05,1.0982,24917.4521,438.55,1.5773,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-02-05,1.0531,2026-02-05,1.0828,26505.1085,787.2,2.8202,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-02-05,1.0601,2026-02-05,1.0469,26515.7346,-350.01,-1.2452,0.0,0.0,signal_decay,
NEAR-USD,,,base,SHORT,2026-02-05,1.0389,2026-02-05,1.02,26972.5944,509.78,1.8192,0.0,0.0,signal_decay,
NEAR-USD,,,base,LONG,2026-02-05,1.002,2026-02-05,0.976,28093.0876,-730.42,-2.5948,0.0,0.0,disaster_stop,
NEAR-USD,,,base,LONG,2026-02-05,0.995,2026-02-05,0.993,28107.2048,-56.21,-0.201,0.0,0.0,signal_decay,
