symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
ONDO-USD,,,base,LONG,2026-01-25,0.3397,2026-01-25,0.3312,73594.348,-625.55,-2.5022,0.0,0.0,disaster_stop,
ONDO-USD,,,base,LONG,2026-01-25,0.3326,2026-01-25,0.3495,74695.1654,1262.35,5.0812,0.0,0.0,signal_decay,
ONDO-USD,,,base,SHORT,2026-01-25,0.3495,2026-01-25,0.3492,71986.2635,21.6,0.0858,0.0,0.0,signal_decay,
ONDO-USD,,,base,LONG,2026-01-25,0.3251,2026-01-25,0.3284,77405.7153,255.44,1.0151,0.0,0.0,signal_decay,
ONDO-USD,,,base,SHORT,2026-01-25,0.3202,2026-01-25,0.3214,78789.687,-94.55,-0.3748,0.0,0.0,signal_decay,
ONDO-USD,,,base,LONG,2026-01-25,0.3214,2026-01-25,0.3101,78421.9691,-886.17,-3.5159,0.0,0.0,disaster_stop,
ONDO-USD,,,base,LONG,2026-01-25,0.3113,2026-01-26,0.3233,80254.6701,963.06,3.8548,0.0,0.0,signal_decay,
ONDO-USD,,,base,SHORT,2026-01-26,0.3277,2026-01-26,0.3311,76972.9717,-261.71,-1.0375,0.0,0.0,signal_decay,
ONDO-USD,,,base,SHORT,2026-01-26,0.3389,2026-01-26,0.3239,74236.1044,1113.54,4.4261,0.0,0.0,signal_decay,
ONDO-USD,,,base,SHORT,2026-01-26,0.3374,2026-01-26,0.3393,75391.2305,-143.24,-0.5631,0.0,0.0,signal_decay,
ONDO-USD,,,base,LONG,2026-01-27,0.3256,2026-01-27,0.3281,78013.4839,195.03,0.7678,0.0,0.0,signal_decay,
ONDO-USD,,,base,SHORT,2026-01-27,0.328,2026-01-27,0.3359,77591.3072,-612.97,-2.4085,0.0,0.0,disaster_stop,
ONDO-USD,,,base,SHORT,2026-01-27,0.3352,2026-01-27,0.3293,75467.4998,445.26,1.7601,0.0,0.0,signal_decay,
ONDO-USD,,,base,SHORT,2026-01-27,0.339,2026-01-27,0.3233,74949.913,1176.71,4.6313,0.0,0.0,signal_decay,
