symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
OP-USD,,,base,LONG,2026-01-25,0.2996,2026-01-25,0.2924,83444.5928,-600.8,-2.4032,0.0,0.0,disaster_stop,
OP-USD,,,base,SHORT,2026-01-25,0.2874,2026-01-26,0.2886,86464.1605,-103.76,-0.4175,0.0,0.0,signal_decay,
OP-USD,,,base,SHORT,2026-01-26,0.2934,2026-01-26,0.3006,84607.5681,-609.17,-2.454,0.0,0.0,disaster_stop,
OP-USD,,,base,SHORT,2026-01-26,0.2994,2026-01-27,0.2946,82403.3629,395.54,1.6032,0.0,0.0,signal_decay,
OP-USD,,,base,LONG,2026-01-27,0.2946,2026-01-27,0.3,84081.6392,454.04,1.833,0.0,0.0,signal_decay,
OP-USD,,,base,SHORT,2026-01-27,0.2994,2026-01-27,0.2936,83112.7626,482.05,1.9372,0.0,0.0,signal_decay,
OP-USD,,,base,SHORT,2026-01-27,0.3014,2026-01-28,0.2956,82961.0969,481.17,1.9244,0.0,0.0,signal_decay,
OP-USD,,,base,LONG,2026-01-28,0.2956,2026-01-28,0.299,84995.8329,288.99,1.1502,0.0,0.0,signal_decay,
OP-USD,,,base,SHORT,2026-01-28,0.2984,2026-01-28,0.2946,84440.3977,320.87,1.2735,0.0,0.0,signal_decay,
OP-USD,,,base,LONG,2026-01-28,0.2946,2026-01-28,0.2984,85801.8773,326.05,1.2899,0.0,0.0,signal_decay,
OP-USD,,,base,SHORT,2026-01-28,0.3014,2026-01-29,0.2936,84136.5124,656.26,2.5879,0.0,0.0,signal_decay,
OP-USD,,,base,LONG,2026-01-29,0.288,2026-01-29,0.2924,88620.8716,389.93,1.5278,0.0,0.0,signal_decay,
OP-USD,,,base,SHORT,2026-01-29,0.2924,2026-01-29,0.2846,87620.7045,683.44,2.6676,0.0,0.0,signal_decay,
OP-USD,,,base,LONG,2026-01-29,0.2846,2026-01-29,0.2774,90622.4679,-652.48,-2.5299,0.0,0.0,disaster_stop,
OP-USD,,,base,SHORT,2026-01-29,0.2655,2026-01-29,0.2725,96527.4347,-675.69,-2.6365,0.0,0.0,disaster_stop,
OP-USD,,,base,SHORT,2026-01-29,0.2715,2026-01-29,0.2715,93772.0475,0.0,0.0,0.0,0.0,signal_decay,
OP-USD,,,base,SHORT,2026-01-29,0.2745,2026-01-29,0.2615,92747.2164,1205.71,4.7359,0.0,0.0,signal_decay,
OP-USD,,,base,LONG,2026-01-29,0.2615,2026-01-29,0.2705,98510.6668,886.6,3.4417,0.0,0.0,signal_decay,
OP-USD,,,base,LONG,2026-01-30,0.2635,2026-01-30,0.2645,98604.1304,98.6,0.3795,0.0,0.0,signal_decay,
