symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
PDBC,,,base,LONG,2026-01-26,14.46,2026-01-26,14.4646,3457.8147,15.91,0.0318,0.0,0.0,signal_decay,
PDBC,,,base,LONG,2026-01-26,14.494,2026-01-27,14.485,849.4872,-7.65,-0.0621,0.0,0.0,max_hold,
PDBC,,,base,LONG,2026-01-27,14.49,2026-01-28,14.7198,2498.0885,574.06,1.5859,0.0,0.0,max_hold,
PDBC,,,base,LONG,2026-01-28,14.7219,2026-01-29,14.8649,1328.2086,189.93,0.9713,0.0,0.0,max_hold,
PDBC,,,base,LONG,2026-01-29,14.8878,2026-01-30,14.6355,1017.7828,-256.79,-1.6947,0.0,0.0,disaster_stop,
PDBC,,,base,LONG,2026-01-30,14.665,2026-01-30,14.4949,3427.0531,-582.94,-1.1599,0.0,0.0,signal_decay,
PDBC,,,base,LONG,2026-01-30,14.4044,2026-01-30,14.385,765.3995,-14.85,-0.1347,0.0,0.0,signal_decay,
PDBC,,,base,LONG,2026-01-30,14.475,2026-02-02,14.07,1286.1491,-520.89,-2.7979,0.0,0.0,disaster_stop,
PDBC,,,base,LONG,2026-02-02,14.1,2026-02-02,13.9601,3524.7086,-493.11,-0.9922,0.0,0.0,signal_decay,
PDBC,,,base,LONG,2026-02-02,13.95,2026-02-02,13.9251,1011.7096,-25.19,-0.1785,0.0,0.0,signal_decay,
PDBC,,,base,LONG,2026-02-02,13.92,2026-02-03,14.205,1504.1191,428.67,2.0474,0.0,0.0,max_hold,
PDBC,,,base,LONG,2026-02-03,14.245,2026-02-04,14.365,3405.0902,408.61,0.8424,0.0,0.0,max_hold,
PDBC,,,base,LONG,2026-02-04,14.3506,2026-02-05,14.1051,2646.9776,-649.83,-1.7107,0.0,0.0,disaster_stop,
PDBC,,,base,LONG,2026-02-05,14.13,2026-02-05,14.0571,3505.518,-255.55,-0.5159,0.0,0.0,signal_decay,
PDBC,,,base,SHORT,2026-02-05,14.12,2026-02-05,14.1951,1328.0378,-99.74,-0.5319,0.0,0.0,signal_decay,
PDBC,,,base,LONG,2026-02-05,14.185,2026-02-06,14.33,738.5476,107.09,1.0222,0.0,0.0,max_hold,
PDBC,,,base,LONG,2026-02-06,14.335,2026-02-09,14.39,1476.6976,81.22,0.3837,0.0,0.0,max_hold,
PDBC,,,base,LONG,2026-02-09,14.395,2026-02-10,14.3151,1999.8449,-159.79,-0.5551,0.0,0.0,signal_decay,
PDBC,,,base,LONG,2026-02-10,14.32,2026-02-11,14.4348,709.0166,81.4,0.8017,0.0,0.0,signal_decay,
PDBC,,,base,LONG,2026-02-11,14.462,2026-02-12,14.23,1662.7129,-385.75,-1.6042,0.0,0.0,disaster_stop,
PDBC,,,base,LONG,2026-02-12,14.203,2026-02-12,14.18,1090.1276,-25.07,-0.1619,0.0,0.0,signal_decay,
PDBC,,,base,LONG,2026-02-19,14.475,2026-02-20,14.5814,2565.8613,273.01,0.7351,0.0,0.0,max_hold,
PDBC,,,base,LONG,2026-02-26,14.7699,2026-02-26,14.6449,871.5271,-108.94,-0.8463,0.0,0.0,signal_decay,
PDBC,,,base,LONG,2026-03-05,15.765,2026-03-06,16.3044,1658.3307,894.5,3.4215,0.0,0.0,max_hold,
PDBC,,,base,LONG,2026-03-12,17.042,2026-03-13,17.07,2314.4907,64.81,0.1643,0.0,0.0,signal_decay,
PDBC,,,base,LONG,2026-03-19,17.3499,2026-03-19,17.2839,745.8838,-49.23,-0.3804,0.0,0.0,signal_decay,
PDBC,,,base,LONG,2026-03-26,17.1101,2026-03-26,17.009,1875.1741,-189.58,-0.5909,0.0,0.0,end_of_backtest,
