symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
PYTH-USD,,,base,SHORT,2026-01-25,0.0586,2026-01-25,0.0594,426621.1604,-341.3,-1.3652,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-01-25,0.0566,2026-01-25,0.057,440188.6178,-176.08,-0.7067,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-01-25,0.056,2026-01-25,0.0552,444039.5805,359.67,1.4462,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-01-26,0.0585,2026-01-26,0.0588,426676.4944,-128.0,-0.5128,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-01-27,0.0625,2026-01-27,0.0641,398857.1869,-638.17,-2.56,0.0,0.0,disaster_stop,
PYTH-USD,,,base,LONG,2026-01-27,0.0684,2026-01-27,0.0654,362120.3408,-1104.47,-4.4591,0.0,0.0,disaster_stop,
PYTH-USD,,,base,LONG,2026-01-27,0.0676,2026-01-27,0.0653,362321.2211,-833.34,-3.4024,0.0,0.0,disaster_stop,
PYTH-USD,,,base,LONG,2026-01-27,0.0658,2026-01-27,0.0634,369066.563,-885.76,-3.6474,0.0,0.0,disaster_stop,
PYTH-USD,,,base,SHORT,2026-01-27,0.0613,2026-01-27,0.0621,392547.1437,-314.04,-1.3051,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-01-27,0.0628,2026-01-27,0.0635,382103.401,-278.94,-1.163,0.0,0.0,signal_decay,
PYTH-USD,,,base,LONG,2026-01-27,0.0638,2026-01-27,0.0627,374841.6397,-412.33,-1.7241,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-01-27,0.0626,2026-01-28,0.062,380380.4339,232.03,0.9744,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-01-28,0.0626,2026-01-28,0.0643,381307.0795,-648.22,-2.7157,0.0,0.0,disaster_stop,
PYTH-USD,,,base,SHORT,2026-01-28,0.0635,2026-01-28,0.0653,373350.6719,-672.03,-2.8346,0.0,0.0,disaster_stop,
PYTH-USD,,,base,SHORT,2026-01-28,0.065,2026-01-28,0.0658,362038.7552,-282.39,-1.1996,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-01-28,0.0665,2026-01-28,0.0673,352919.7339,-282.34,-1.203,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-01-28,0.0647,2026-01-28,0.0647,361647.2699,0.0,0.0,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-01-28,0.0637,2026-01-28,0.0646,367324.621,-330.59,-1.4129,0.0,0.0,signal_decay,
PYTH-USD,,,base,LONG,2026-01-29,0.0667,2026-01-29,0.0646,349564.1727,-734.08,-3.1484,0.0,0.0,disaster_stop,
PYTH-USD,,,base,LONG,2026-01-29,0.0643,2026-01-29,0.0626,359757.5292,-611.59,-2.6439,0.0,0.0,disaster_stop,
PYTH-USD,,,base,SHORT,2026-01-29,0.0632,2026-01-29,0.0628,363599.8763,145.44,0.6329,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-02-05,0.0465,2026-02-05,0.046,494964.9928,247.48,1.0753,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-02-12,0.0456,2026-02-12,0.0468,506090.8507,-607.31,-2.6316,0.0,0.0,disaster_stop,
PYTH-USD,,,base,LONG,2026-02-19,0.0519,2026-02-19,0.0519,441477.2874,-13.24,-0.0578,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-02-26,0.0521,2026-02-27,0.0524,439973.2141,-131.99,-0.5758,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-03-06,0.0477,2026-03-06,0.0476,479865.9636,47.99,0.2096,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-03-13,0.0492,2026-03-13,0.0487,465479.7381,232.74,1.0163,0.0,0.0,signal_decay,
PYTH-USD,,,base,SHORT,2026-03-21,0.0432,2026-03-21,0.0434,531476.576,-106.3,-0.463,0.0,0.0,signal_decay,
