direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2026-02-01,67.29,2026-02-01,67.77,386.61,-185.57,-0.71,signal_decay
LONG,2026-02-01,67.77,2026-02-01,70.46,736.42,1984.51,3.98,signal_decay
SHORT,2026-02-01,70.5,2026-02-02,70.15,662.55,235.14,0.5,max_hold
SHORT,2026-02-02,70.11,2026-02-02,63.43,727.67,4859.61,9.53,signal_decay
LONG,2026-02-02,63.4,2026-02-02,69.2,843.01,4885.58,9.14,signal_decay
SHORT,2026-02-02,69.23,2026-02-02,67.58,807.3,1328.98,2.38,signal_decay
LONG,2026-02-02,67.55,2026-02-02,67.55,551.46,0.0,0.0,signal_decay
LONG,2026-02-02,67.55,2026-02-02,72.74,271.65,1410.85,7.69,signal_decay
SHORT,2026-02-02,72.78,2026-02-02,70.05,786.75,2151.76,3.76,signal_decay
LONG,2026-02-02,70.01,2026-02-03,66.94,800.19,-2459.39,-4.39,disaster_stop
LONG,2026-02-03,66.97,2026-02-03,69.0,852.71,1727.16,3.02,signal_decay
SHORT,2026-02-03,69.03,2026-02-03,64.77,297.52,1266.74,6.17,signal_decay
LONG,2026-02-03,64.35,2026-02-03,60.03,910.69,-3934.17,-6.71,disaster_stop
LONG,2026-02-03,60.06,2026-02-04,60.73,942.98,631.42,1.11,signal_decay
LONG,2026-02-04,60.76,2026-02-04,66.76,314.43,1885.51,9.87,signal_decay
SHORT,2026-02-04,66.79,2026-02-04,68.9,866.81,-1828.96,-3.16,disaster_stop
SHORT,2026-02-04,65.12,2026-02-04,65.15,874.99,-28.52,-0.05,signal_decay
SHORT,2026-02-05,64.29,2026-02-05,66.09,886.07,-1597.58,-2.8,disaster_stop
SHORT,2026-02-05,66.06,2026-02-05,62.04,850.24,3417.09,6.08,signal_decay
LONG,2026-02-05,62.01,2026-02-05,63.24,286.36,351.77,1.98,signal_decay
SHORT,2026-02-05,63.27,2026-02-05,61.15,861.48,1825.82,3.35,signal_decay
LONG,2026-02-05,61.12,2026-02-05,58.99,964.72,-2054.38,-3.48,disaster_stop
LONG,2026-02-05,59.02,2026-02-05,64.9,981.64,5769.62,9.96,signal_decay
SHORT,2026-02-05,64.93,2026-02-05,59.04,936.72,5517.77,9.07,signal_decay
LONG,2026-02-05,59.01,2026-02-05,58.98,465.52,-13.73,-0.05,signal_decay
SHORT,2026-02-05,59.0,2026-02-05,62.4,1077.52,-3664.85,-5.76,disaster_stop
SHORT,2026-02-05,62.37,2026-02-05,57.09,989.92,5228.24,8.47,signal_decay
LONG,2026-02-05,57.06,2026-02-05,60.37,1127.85,3732.96,5.8,signal_decay
SHORT,2026-02-05,60.4,2026-02-05,60.43,1096.39,-33.11,-0.05,signal_decay
LONG,2026-02-05,60.4,2026-02-05,56.52,1096.11,-4251.05,-6.42,disaster_stop
SHORT,2026-02-05,60.41,2026-02-06,62.28,1060.75,-1984.76,-3.1,disaster_stop
SHORT,2026-02-06,62.25,2026-02-06,62.28,683.44,-21.26,-0.05,signal_decay
LONG,2026-02-06,62.25,2026-02-06,66.02,1013.28,3817.02,6.05,signal_decay
SHORT,2026-02-06,66.05,2026-02-06,64.62,983.88,1404.68,2.16,signal_decay
LONG,2026-02-06,64.56,2026-02-06,54.99,771.81,-7384.25,-14.82,disaster_stop
LONG,2026-02-06,66.14,2026-02-06,66.11,454.13,-15.03,-0.05,signal_decay
SHORT,2026-02-06,66.14,2026-02-07,64.38,457.05,803.41,2.66,signal_decay
LONG,2026-02-07,64.35,2026-02-07,54.98,316.78,-2967.47,-14.56,disaster_stop
LONG,2026-02-07,64.98,2026-02-07,64.98,937.3,0.0,0.0,signal_decay
LONG,2026-02-07,55.39,2026-02-07,64.27,1099.58,9761.86,16.03,signal_decay
SHORT,2026-02-07,64.3,2026-02-07,66.02,1023.12,-1762.84,-2.68,disaster_stop
SHORT,2026-02-07,65.99,2026-02-08,66.03,983.56,-42.29,-0.07,signal_decay
LONG,2026-02-11,66.22,2026-02-11,70.23,979.83,3933.91,6.06,signal_decay
SHORT,2026-02-14,72.16,2026-02-14,66.6,609.95,3389.3,7.7,signal_decay
SHORT,2026-02-17,75.82,2026-02-17,70.44,454.31,2446.38,7.1,signal_decay
LONG,2026-02-20,66.0,2026-02-20,64.41,659.82,-1050.56,-2.41,disaster_stop
LONG,2026-02-20,64.44,2026-02-20,69.71,1074.54,5657.59,8.17,signal_decay
SHORT,2026-02-20,69.74,2026-02-21,67.24,1033.44,2579.89,3.58,signal_decay
LONG,2026-02-21,67.21,2026-02-21,68.4,1091.54,1294.35,1.76,signal_decay
SHORT,2026-02-21,68.43,2026-02-22,63.41,1081.54,5427.48,7.33,signal_decay
LONG,2026-02-22,63.38,2026-02-22,68.2,1210.53,5829.79,7.6,signal_decay
SHORT,2026-02-22,68.23,2026-02-23,62.9,1167.2,6221.19,7.81,signal_decay
LONG,2026-02-23,62.9,2026-02-23,64.77,1315.56,2456.94,2.97,signal_decay
SHORT,2026-02-23,64.8,2026-02-24,58.6,1295.95,8035.77,9.57,signal_decay
LONG,2026-02-24,58.76,2026-02-24,65.76,1497.53,10478.4,11.91,signal_decay
SHORT,2026-02-24,65.79,2026-02-25,66.27,1417.15,-684.63,-0.73,signal_decay
LONG,2026-02-25,66.24,2026-02-25,55.3,1152.44,-12605.04,-16.51,disaster_stop
LONG,2026-02-25,55.57,2026-02-27,62.02,1558.21,10048.87,11.61,signal_decay
SHORT,2026-02-27,62.05,2026-02-27,64.28,1476.45,-3295.59,-3.6,disaster_stop
SHORT,2026-02-27,64.25,2026-02-27,65.68,1400.25,-2006.28,-2.23,disaster_stop
SHORT,2026-02-27,65.65,2026-02-27,55.04,1355.11,14381.11,16.17,signal_decay
LONG,2026-02-27,55.01,2026-02-27,65.18,1747.93,17771.89,18.48,signal_decay
SHORT,2026-02-27,65.21,2026-02-28,65.29,1610.79,-133.05,-0.13,signal_decay
LONG,2026-02-28,65.26,2026-02-28,56.52,1365.47,-11931.85,-13.39,disaster_stop
LONG,2026-02-28,56.55,2026-03-01,58.92,1750.79,4150.24,4.19,signal_decay
SHORT,2026-03-01,58.95,2026-03-01,64.8,1714.71,-10035.17,-9.93,disaster_stop
SHORT,2026-03-01,66.06,2026-03-01,67.42,1454.2,-1983.1,-2.06,disaster_stop
SHORT,2026-03-01,67.39,2026-03-01,65.31,1410.79,2930.77,3.08,signal_decay
LONG,2026-03-01,65.28,2026-03-01,65.25,540.14,-17.61,-0.05,signal_decay
SHORT,2026-03-01,65.28,2026-03-01,63.09,569.46,1246.27,3.35,signal_decay
SHORT,2026-03-02,64.91,2026-03-02,64.81,698.45,68.17,0.15,signal_decay
LONG,2026-03-02,64.78,2026-03-03,65.01,1307.48,297.45,0.35,signal_decay
SHORT,2026-03-03,65.04,2026-03-03,65.08,958.12,-40.72,-0.07,signal_decay
SHORT,2026-03-03,65.05,2026-03-04,64.15,582.71,524.44,1.38,signal_decay
LONG,2026-03-04,64.15,2026-03-04,61.05,1077.53,-3340.9,-4.83,disaster_stop
LONG,2026-03-04,61.08,2026-03-04,63.11,1570.19,3184.97,3.32,signal_decay
SHORT,2026-03-04,63.14,2026-03-04,65.68,581.15,-1477.74,-4.03,disaster_stop
SHORT,2026-03-04,65.65,2026-03-05,60.38,1473.89,7767.08,8.03,signal_decay
LONG,2026-03-05,60.35,2026-03-05,65.05,1667.67,7833.9,7.78,signal_decay
SHORT,2026-03-05,65.08,2026-03-05,65.11,1606.65,-52.22,-0.05,signal_decay
LONG,2026-03-05,65.95,2026-03-05,65.95,690.82,0.0,0.0,signal_decay
SHORT,2026-03-05,65.95,2026-03-05,67.87,699.97,-1346.67,-2.92,disaster_stop
SHORT,2026-03-05,67.84,2026-03-06,69.52,1044.53,-1759.72,-2.48,disaster_stop
SHORT,2026-03-06,69.49,2026-03-06,64.09,1481.97,7999.65,7.77,signal_decay
LONG,2026-03-06,64.06,2026-03-06,67.66,1670.02,6005.73,5.61,signal_decay
SHORT,2026-03-06,67.69,2026-03-06,69.17,1624.83,-2412.22,-2.19,disaster_stop
SHORT,2026-03-06,69.14,2026-03-06,65.04,1573.31,6446.62,5.93,signal_decay
LONG,2026-03-06,65.01,2026-03-06,66.12,788.53,872.82,1.7,signal_decay
LONG,2026-03-06,64.0,2026-03-06,63.75,1756.85,-442.55,-0.39,signal_decay
SHORT,2026-03-06,63.78,2026-03-06,63.81,580.45,-18.52,-0.05,signal_decay
SHORT,2026-03-06,63.78,2026-03-06,66.75,1759.29,-5231.08,-4.66,disaster_stop
SHORT,2026-03-06,66.72,2026-03-07,66.76,1642.57,-71.29,-0.07,signal_decay
SHORT,2026-03-10,67.39,2026-03-12,67.72,1625.71,-542.66,-0.5,signal_decay
SHORT,2026-03-13,64.75,2026-03-13,64.78,1687.8,-54.68,-0.05,signal_decay
