symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
QNT-USD,,,base,LONG,2026-01-25,76.4582,2026-01-25,73.8331,326.976,-858.34,-3.4334,0.0,0.0,disaster_stop,
QNT-USD,,,base,LONG,2026-01-25,73.9069,2026-01-25,72.9635,335.3599,-316.38,-1.2765,0.0,0.0,signal_decay,
QNT-USD,,,base,SHORT,2026-01-25,72.9635,2026-01-26,78.5593,338.612,-1894.81,-7.6693,0.0,0.0,disaster_stop,
QNT-USD,,,base,SHORT,2026-01-26,78.4807,2026-01-26,72.3762,308.7717,1884.9,7.7783,0.0,0.0,signal_decay,
QNT-USD,,,base,LONG,2026-01-26,72.3762,2026-01-26,72.014,341.3255,-123.63,-0.5004,0.0,0.0,signal_decay,
QNT-USD,,,base,SHORT,2026-01-26,72.014,2026-01-27,78.4492,342.613,-2204.78,-8.936,0.0,0.0,disaster_stop,
QNT-USD,,,base,SHORT,2026-01-27,78.3708,2026-01-27,72.4162,307.7899,1832.77,7.598,0.0,0.0,signal_decay,
QNT-USD,,,base,LONG,2026-01-27,71.7058,2026-01-27,72.6037,342.7886,307.79,1.2522,0.0,0.0,signal_decay,
QNT-USD,,,base,SHORT,2026-01-27,72.6037,2026-01-27,82.9715,339.6091,-3521.0,-14.28,0.0,0.0,disaster_stop,
QNT-USD,,,base,SHORT,2026-01-27,82.8885,2026-01-28,77.5187,286.8507,1540.33,6.4783,0.0,0.0,signal_decay,
QNT-USD,,,base,LONG,2026-01-28,77.5187,2026-01-29,75.6422,311.6888,-584.88,-2.4207,0.0,0.0,disaster_stop,
QNT-USD,,,base,LONG,2026-01-29,75.7178,2026-01-29,79.26,317.171,1123.48,4.6782,0.0,0.0,signal_decay,
QNT-USD,,,base,LONG,2026-01-29,75.1476,2026-01-29,74.2728,323.3152,-282.84,-1.1641,0.0,0.0,max_hold,
QNT-USD,,,base,SHORT,2026-01-29,74.2728,2026-01-29,70.0,326.1712,1393.66,5.7528,0.0,0.0,signal_decay,
QNT-USD,,,base,SHORT,2026-01-29,73.963,2026-01-30,71.2256,332.2481,909.5,3.701,0.0,0.0,signal_decay,
QNT-USD,,,base,SHORT,2026-01-30,71.1544,2026-01-30,69.4947,348.5581,578.5,2.3325,0.0,0.0,signal_decay,
