symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
QQQ,,,base,SHORT,2026-01-27,628.3718,2026-01-28,635.4603,27.0821,-191.97,-1.1281,0.0,0.0,max_hold,
QQQ,,,base,SHORT,2026-01-28,635.26,2026-01-29,630.2545,73.8334,369.57,0.7879,0.0,0.0,max_hold,
QQQ,,,base,SHORT,2026-01-29,628.295,2026-01-30,626.734,29.49,46.03,0.2484,0.0,0.0,max_hold,
QQQ,,,base,SHORT,2026-01-30,627.11,2026-02-02,623.6935,36.3785,124.29,0.5448,0.0,0.0,max_hold,
QQQ,,,base,SHORT,2026-02-02,624.35,2026-02-03,623.1835,48.9206,57.06,0.1868,0.0,0.0,max_hold,
QQQ,,,base,SHORT,2026-02-03,620.96,2026-02-04,610.5316,34.397,358.71,1.6794,0.0,0.0,max_hold,
QQQ,,,base,SHORT,2026-02-04,609.31,2026-02-05,603.7806,52.2194,288.74,0.9075,0.0,0.0,signal_decay,
QQQ,,,base,SHORT,2026-02-05,598.63,2026-02-05,600.12,20.3108,-30.26,-0.2489,0.0,0.0,signal_decay,
QQQ,,,base,SHORT,2026-02-05,600.96,2026-02-05,599.2199,17.7718,30.93,0.2896,0.0,0.0,signal_decay,
QQQ,,,base,SHORT,2026-02-05,598.3799,2026-02-06,602.4503,21.5607,-87.76,-0.6802,0.0,0.0,signal_decay,
QQQ,,,base,SHORT,2026-02-06,601.88,2026-02-06,606.1009,35.0104,-147.78,-0.7013,0.0,0.0,signal_decay,
QQQ,,,base,LONG,2026-02-06,608.235,2026-02-09,607.1088,19.0913,-21.5,-0.1852,0.0,0.0,signal_decay,
QQQ,,,base,LONG,2026-02-09,615.6401,2026-02-10,614.9978,20.9588,-13.46,-0.1043,0.0,0.0,signal_decay,
QQQ,,,base,LONG,2026-02-10,615.93,2026-02-10,614.5978,20.0298,-26.68,-0.2163,0.0,0.0,signal_decay,
QQQ,,,base,LONG,2026-02-10,614.405,2026-02-11,613.538,17.8234,-15.45,-0.1411,0.0,0.0,signal_decay,
QQQ,,,base,SHORT,2026-02-11,609.49,2026-02-11,611.0517,19.7987,-30.92,-0.2562,0.0,0.0,signal_decay,
QQQ,,,base,SHORT,2026-02-11,611.3431,2026-02-11,612.7693,21.2521,-30.31,-0.2333,0.0,0.0,signal_decay,
QQQ,,,base,LONG,2026-02-11,613.07,2026-02-12,613.7079,33.064,21.09,0.104,0.0,0.0,signal_decay,
QQQ,,,base,SHORT,2026-02-12,612.0,2026-02-12,603.8465,19.2905,157.29,1.3323,0.0,0.0,signal_decay,
QQQ,,,base,LONG,2026-02-12,601.105,2026-02-13,602.8596,22.4419,39.38,0.2919,0.0,0.0,signal_decay,
QQQ,,,base,SHORT,2026-02-13,600.2275,2026-02-13,605.8609,17.9289,-101.0,-0.9385,0.0,0.0,signal_decay,
QQQ,,,base,LONG,2026-02-13,605.49,2026-02-13,602.2397,25.3701,-82.46,-0.5368,0.0,0.0,signal_decay,
QQQ,,,base,LONG,2026-02-20,608.602,2026-02-23,604.0794,21.8695,-98.91,-0.7431,0.0,0.0,signal_decay,
QQQ,,,base,SHORT,2026-03-02,603.49,2026-03-03,596.2594,33.0202,238.76,1.1981,0.0,0.0,max_hold,
QQQ,,,base,SHORT,2026-03-09,595.47,2026-03-09,604.8107,84.6838,-791.01,-1.5686,0.0,0.0,disaster_stop,
QQQ,,,base,SHORT,2026-03-16,599.73,2026-03-16,601.232,43.4726,-65.3,-0.2504,0.0,0.0,signal_decay,
QQQ,,,base,SHORT,2026-03-23,593.07,2026-03-23,589.4984,23.6997,84.65,0.6022,0.0,0.0,signal_decay,
