symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
RAY-USD,,,base,SHORT,2026-01-25,1.0043,2026-01-25,1.0275,24892.9603,-577.52,-2.3101,0.0,0.0,disaster_stop,
RAY-USD,,,base,SHORT,2026-01-25,1.0219,2026-01-25,1.0136,24322.9483,201.88,0.8122,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-01-25,1.0019,2026-01-25,1.0053,24858.8591,-84.52,-0.3394,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-01-25,1.0016,2026-01-25,0.9626,24845.2086,968.96,3.8938,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-01-25,0.9612,2026-01-25,0.9295,26141.4916,828.69,3.298,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-01-25,0.9281,2026-01-26,0.9489,27297.0294,-567.78,-2.2411,0.0,0.0,disaster_stop,
RAY-USD,,,base,SHORT,2026-01-26,0.9447,2026-01-26,0.9663,26667.1202,-576.01,-2.2864,0.0,0.0,disaster_stop,
RAY-USD,,,base,SHORT,2026-01-26,0.9659,2026-01-26,0.9694,25932.7322,-90.76,-0.3624,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-01-26,0.9629,2026-01-26,0.9728,25989.9625,-257.3,-1.0281,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-01-26,0.9701,2026-01-26,0.994,25730.7594,-614.97,-2.4637,0.0,0.0,disaster_stop,
RAY-USD,,,base,SHORT,2026-01-26,0.9835,2026-01-26,0.9823,25223.8622,30.27,0.122,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-01-26,0.9721,2026-01-27,0.9827,25527.4515,-270.59,-1.0904,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-01-27,0.9801,2026-01-27,0.9773,25250.0641,70.7,0.2857,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-01-27,0.9736,2026-01-27,0.9706,25436.7943,76.31,0.3081,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-01-27,0.9658,2026-01-27,0.9627,25661.9802,79.55,0.321,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-01-27,0.9627,2026-01-27,0.9844,25765.2732,-559.11,-2.2541,0.0,0.0,disaster_stop,
RAY-USD,,,base,SHORT,2026-01-27,0.9846,2026-01-27,0.9984,25050.2254,-345.69,-1.4016,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-01-27,0.9959,2026-01-28,1.0017,24679.2134,-143.14,-0.5824,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-01-28,0.9975,2026-01-28,1.0005,24603.7532,-73.81,-0.3008,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-01-28,0.9955,2026-01-28,1.0073,24634.6469,-290.69,-1.1853,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-01-28,1.0184,2026-01-28,1.0484,24009.3468,-720.28,-2.9458,0.0,0.0,disaster_stop,
RAY-USD,,,base,SHORT,2026-02-04,0.6735,2026-02-04,0.6525,36037.1918,756.78,3.118,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-02-11,0.5688,2026-02-11,0.5823,43003.2418,-580.54,-2.3734,0.0,0.0,disaster_stop,
RAY-USD,,,base,SHORT,2026-02-18,0.6586,2026-02-18,0.6379,36919.3865,764.23,3.143,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-02-25,0.6278,2026-02-25,0.6421,39034.9885,-558.2,-2.2778,0.0,0.0,disaster_stop,
RAY-USD,,,base,SHORT,2026-03-04,0.6234,2026-03-04,0.6374,39086.647,-547.21,-2.2457,0.0,0.0,disaster_stop,
RAY-USD,,,base,SHORT,2026-03-11,0.601,2026-03-11,0.6077,40315.8277,-270.12,-1.1148,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-03-18,0.6117,2026-03-18,0.6134,39500.2181,-67.15,-0.2779,0.0,0.0,max_hold,
RAY-USD,,,base,SHORT,2026-03-25,0.6073,2026-03-26,0.6113,39758.7615,-159.04,-0.6587,0.0,0.0,max_hold,
