direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2025-01-03,8.03,2025-01-07,8.14,3734.27,-387.99,-1.29,signal_decay
SHORT,2025-01-15,7.65,2025-01-16,7.45,2268.23,464.31,2.67,signal_decay
SHORT,2025-01-17,7.98,2025-01-19,6.69,3310.48,4254.97,16.11,signal_decay
SHORT,2025-01-25,6.95,2025-01-26,6.76,4502.86,874.91,2.8,signal_decay
LONG,2025-03-25,4.05,2025-04-03,3.28,7793.05,-5965.58,-18.9,disaster_stop
LONG,2025-04-18,3.9,2025-04-20,4.34,7624.51,3309.04,11.11,signal_decay
LONG,2025-04-27,4.27,2025-04-28,4.45,7199.67,1253.46,4.07,signal_decay
LONG,2025-05-03,4.59,2025-05-06,4.3,6778.61,-1968.51,-6.32,signal_decay
LONG,2025-05-14,5.12,2025-05-21,4.77,5972.12,-2070.53,-6.78,signal_decay
LONG,2025-05-23,4.67,2025-06-05,3.55,6409.38,-7168.89,-23.95,disaster_stop
SHORT,2025-06-09,4.05,2025-06-11,3.87,6852.64,1259.52,4.53,signal_decay
SHORT,2025-07-06,3.22,2025-07-14,3.78,8739.88,-4896.96,-17.39,signal_decay
LONG,2025-07-15,3.92,2025-07-21,4.57,6800.7,4401.42,16.49,signal_decay
LONG,2025-07-22,4.6,2025-08-01,3.53,6088.77,-6520.47,-23.28,disaster_stop
LONG,2025-08-04,3.71,2025-08-07,3.79,7030.14,582.1,2.23,signal_decay
LONG,2025-08-08,3.86,2025-08-13,4.17,6787.68,2074.31,7.91,signal_decay
LONG,2025-08-22,3.89,2025-09-03,3.47,6905.13,-2861.49,-10.66,signal_decay
LONG,2025-09-15,3.8,2025-10-09,3.24,6847.97,-3832.81,-14.75,disaster_stop
SHORT,2025-10-26,2.57,2025-10-27,2.5,9663.21,651.3,2.62,signal_decay
SHORT,2025-11-09,2.4,2025-11-11,2.33,10425.87,787.15,3.14,signal_decay
LONG,2026-01-03,1.86,2026-01-04,1.98,12662.16,1633.42,6.95,signal_decay
LONG,2026-01-05,2.22,2026-01-12,2.37,11607.03,1709.72,6.64,profit_lock_trail
LONG,2026-01-13,2.36,2026-01-25,1.87,11117.81,-5493.31,-20.91,disaster_stop
LONG,2026-01-26,1.9,2026-02-01,1.5,12946.44,-5267.91,-21.39,disaster_stop
SHORT,2026-02-20,1.5,2026-02-23,1.38,15332.55,1832.24,7.95,signal_decay
LONG,2026-03-13,1.8,2026-03-15,1.9,13116.92,1264.47,5.36,end_of_backtest
