symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
RENDER-USD,,,base,SHORT,2026-01-25,1.977,2026-01-25,1.9679,12645.4224,115.07,0.4603,0.0,0.0,signal_decay,
RENDER-USD,,,base,LONG,2026-01-25,1.9639,2026-01-25,1.9022,12744.421,-786.33,-3.1417,0.0,0.0,disaster_stop,
RENDER-USD,,,base,LONG,2026-01-25,1.9098,2026-01-25,1.8992,13002.5058,-137.83,-0.555,0.0,0.0,signal_decay,
RENDER-USD,,,base,LONG,2026-01-25,1.8868,2026-01-25,1.8583,13142.7438,-374.57,-1.5105,0.0,0.0,signal_decay,
RENDER-USD,,,base,LONG,2026-01-25,1.8286,2026-01-26,1.9172,13509.8365,1196.97,4.8452,0.0,0.0,signal_decay,
RENDER-USD,,,base,SHORT,2026-01-26,1.9172,2026-01-26,1.9529,13041.5866,-465.58,-1.8621,0.0,0.0,signal_decay,
RENDER-USD,,,base,LONG,2026-01-26,1.9148,2026-01-26,1.9062,12997.1452,-111.78,-0.4491,0.0,0.0,signal_decay,
RENDER-USD,,,base,SHORT,2026-01-26,1.9231,2026-01-27,1.875,12926.5196,621.77,2.5012,0.0,0.0,signal_decay,
RENDER-USD,,,base,LONG,2026-01-27,1.8537,2026-01-27,1.8124,13494.3255,-557.32,-2.228,0.0,0.0,disaster_stop,
RENDER-USD,,,base,LONG,2026-01-27,1.8196,2026-01-27,1.8463,13670.6432,365.01,1.4674,0.0,0.0,signal_decay,
RENDER-USD,,,base,LONG,2026-01-27,1.8206,2026-01-27,1.8124,13713.256,-112.45,-0.4504,0.0,0.0,signal_decay,
RENDER-USD,,,base,SHORT,2026-01-27,1.8613,2026-01-28,1.8777,13398.2924,-219.73,-0.8811,0.0,0.0,signal_decay,
RENDER-USD,,,base,SHORT,2026-01-28,1.8962,2026-01-28,1.9479,13122.7237,-678.44,-2.7265,0.0,0.0,disaster_stop,
RENDER-USD,,,base,SHORT,2026-01-28,1.975,2026-01-28,1.9569,12513.2645,226.49,0.9165,0.0,0.0,signal_decay,
RENDER-USD,,,base,LONG,2026-01-28,1.9569,2026-01-28,1.9561,12657.9386,-10.13,-0.0409,0.0,0.0,signal_decay,
RENDER-USD,,,base,LONG,2026-01-28,1.9399,2026-01-28,1.9431,12767.5594,40.86,0.165,0.0,0.0,signal_decay,
RENDER-USD,,,base,SHORT,2026-01-28,1.9431,2026-01-28,1.9238,12751.7896,246.11,0.9933,0.0,0.0,signal_decay,
RENDER-USD,,,base,SHORT,2026-01-28,1.9451,2026-01-28,1.9188,12770.3099,335.86,1.3521,0.0,0.0,signal_decay,
RENDER-USD,,,base,SHORT,2026-01-28,1.9451,2026-01-29,1.9349,12813.4773,130.7,0.5244,0.0,0.0,signal_decay,
RENDER-USD,,,base,LONG,2026-01-29,1.9248,2026-01-29,1.8713,12965.5907,-693.66,-2.7795,0.0,0.0,disaster_stop,
RENDER-USD,,,base,LONG,2026-01-29,1.8787,2026-01-29,1.8513,13191.4378,-361.45,-1.4585,0.0,0.0,signal_decay,
RENDER-USD,,,base,SHORT,2026-02-05,1.477,2026-02-05,1.4749,16717.9369,35.11,0.1422,0.0,0.0,signal_decay,
RENDER-USD,,,base,SHORT,2026-02-12,1.2894,2026-02-12,1.3046,19157.1039,-291.19,-1.1788,0.0,0.0,signal_decay,
RENDER-USD,,,base,SHORT,2026-02-19,1.4721,2026-02-19,1.504,16730.095,-533.69,-2.167,0.0,0.0,signal_decay,
RENDER-USD,,,base,SHORT,2026-02-26,1.4541,2026-02-26,1.4569,16845.4372,-47.17,-0.1926,0.0,0.0,signal_decay,
RENDER-USD,,,base,LONG,2026-03-05,1.3878,2026-03-05,1.3782,17641.7052,-169.36,-0.6917,0.0,0.0,signal_decay,
RENDER-USD,,,base,SHORT,2026-03-12,1.5219,2026-03-12,1.5611,16059.4115,-629.53,-2.5757,0.0,0.0,disaster_stop,
RENDER-USD,,,base,LONG,2026-03-19,1.7034,2026-03-19,1.6796,14255.8625,-339.29,-1.3972,0.0,0.0,signal_decay,
RENDER-USD,,,base,SHORT,2026-03-26,1.787,2026-03-26,1.7535,13541.4738,453.64,1.8747,0.0,0.0,signal_decay,
