symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
RUNE-USD,,,base,LONG,2026-01-25,0.5794,2026-01-25,0.5771,43148.0842,-99.24,-0.397,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-01-25,0.5639,2026-01-25,0.5491,44290.1044,655.49,2.6246,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-01-25,0.5457,2026-01-25,0.5521,46067.5522,-294.83,-1.1728,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-01-26,0.5626,2026-01-26,0.5609,44552.7109,75.74,0.3022,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-01-27,0.5586,2026-01-27,0.5714,44905.6392,-574.79,-2.2914,0.0,0.0,disaster_stop,
RUNE-USD,,,base,SHORT,2026-01-27,0.5609,2026-01-27,0.5739,44465.3093,-578.05,-2.3177,0.0,0.0,disaster_stop,
RUNE-USD,,,base,SHORT,2026-01-28,0.5605,2026-01-28,0.5682,44239.2146,-340.64,-1.3738,0.0,0.0,max_hold,
RUNE-USD,,,base,SHORT,2026-01-29,0.5191,2026-01-29,0.5212,47603.3891,-99.97,-0.4045,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-01-29,0.5214,2026-01-29,0.5156,47345.4689,274.6,1.1124,0.0,0.0,signal_decay,
RUNE-USD,,,base,LONG,2026-01-29,0.5255,2026-01-29,0.5233,47106.7144,-103.63,-0.4186,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-01-30,0.5079,2026-01-30,0.5137,48688.068,-282.39,-1.142,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-01-30,0.5161,2026-01-30,0.515,47777.702,52.56,0.2131,0.0,0.0,signal_decay,
RUNE-USD,,,base,LONG,2026-01-30,0.5138,2026-01-30,0.5113,48017.1485,-120.04,-0.4866,0.0,0.0,signal_decay,
RUNE-USD,,,base,LONG,2026-01-30,0.5199,2026-01-30,0.5163,47396.038,-170.63,-0.6924,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-01-30,0.5197,2026-01-30,0.5191,47332.1989,28.4,0.1155,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-01-31,0.4779,2026-01-31,0.4871,51487.0131,-473.68,-1.9251,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-01-31,0.4681,2026-01-31,0.4611,52311.9492,366.18,1.4954,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-01-31,0.4622,2026-01-31,0.4629,53177.7788,-37.22,-0.1514,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-02-01,0.4601,2026-02-01,0.4603,53400.2679,-10.68,-0.0435,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-02-01,0.46,2026-02-01,0.4624,53406.0722,-128.17,-0.5217,0.0,0.0,signal_decay,
RUNE-USD,,,base,LONG,2026-02-09,0.4218,2026-02-09,0.4166,58166.7842,-302.47,-1.2328,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-02-16,0.3994,2026-02-16,0.395,61239.6915,269.45,1.1017,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-02-23,0.3925,2026-02-23,0.3915,62487.889,62.49,0.2548,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-03-02,0.4089,2026-03-02,0.4142,60019.8542,-318.11,-1.2962,0.0,0.0,signal_decay,
RUNE-USD,,,base,SHORT,2026-03-09,0.4218,2026-03-10,0.421,57995.7138,46.4,0.1897,0.0,0.0,max_hold,
RUNE-USD,,,base,SHORT,2026-03-17,0.4467,2026-03-17,0.452,54788.8767,-290.38,-1.1865,0.0,0.0,signal_decay,
RUNE-USD,,,base,LONG,2026-03-24,0.4141,2026-03-24,0.4155,58926.8195,82.5,0.3381,0.0,0.0,signal_decay,
