direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2026-02-01,0.12,2026-02-01,0.12,403933.76,-282.75,-0.57,signal_decay
SHORT,2026-02-01,0.12,2026-02-01,0.11,340153.69,4524.04,10.91,signal_decay
LONG,2026-02-01,0.1,2026-02-01,0.11,534023.0,5180.02,9.94,signal_decay
SHORT,2026-02-01,0.11,2026-02-01,0.1,508463.35,4118.55,7.53,signal_decay
LONG,2026-02-01,0.1,2026-02-01,0.1,464013.0,-139.2,-0.3,signal_decay
SHORT,2026-02-01,0.1,2026-02-01,0.1,392790.21,-314.23,-0.81,signal_decay
LONG,2026-02-01,0.1,2026-02-01,0.1,289759.05,0.0,0.0,signal_decay
SHORT,2026-02-02,0.1,2026-02-02,0.1,303011.6,1484.76,4.9,signal_decay
LONG,2026-02-02,0.09,2026-02-02,0.1,604278.42,3686.1,6.43,signal_decay
SHORT,2026-02-02,0.1,2026-02-02,0.11,584275.13,-6310.17,-10.67,disaster_stop
SHORT,2026-02-02,0.11,2026-02-02,0.1,501106.15,5662.5,10.12,signal_decay
LONG,2026-02-02,0.1,2026-02-02,0.11,406296.47,2072.11,5.08,signal_decay
SHORT,2026-02-02,0.11,2026-02-02,0.1,565603.62,2545.22,4.25,signal_decay
LONG,2026-02-02,0.1,2026-02-02,0.1,482116.36,96.42,0.2,signal_decay
SHORT,2026-02-02,0.11,2026-02-02,0.1,580832.7,2207.16,3.61,signal_decay
LONG,2026-02-02,0.1,2026-02-02,0.1,615269.42,2030.39,3.26,signal_decay
SHORT,2026-02-02,0.1,2026-02-03,0.1,603821.18,-120.76,-0.19,signal_decay
LONG,2026-02-03,0.1,2026-02-03,0.1,603821.18,-664.2,-1.05,signal_decay
LONG,2026-02-03,0.1,2026-02-03,0.1,594096.96,-1485.24,-2.45,disaster_stop
LONG,2026-02-03,0.1,2026-02-03,0.1,484330.59,-581.2,-1.21,signal_decay
SHORT,2026-02-03,0.1,2026-02-04,0.09,424845.94,1741.87,4.16,signal_decay
LONG,2026-02-04,0.09,2026-02-04,0.1,666585.44,1599.81,2.55,signal_decay
SHORT,2026-02-04,0.1,2026-02-04,0.09,656256.12,1509.39,2.38,signal_decay
LONG,2026-02-04,0.09,2026-02-05,0.09,236828.63,0.0,0.0,signal_decay
SHORT,2026-02-05,0.09,2026-02-05,0.09,397134.78,1429.69,3.81,signal_decay
LONG,2026-02-05,0.09,2026-02-05,0.09,717385.54,-286.95,-0.44,signal_decay
LONG,2026-02-05,0.09,2026-02-05,0.09,240311.85,216.28,1.0,signal_decay
SHORT,2026-02-05,0.09,2026-02-05,0.09,656396.56,2494.31,4.16,signal_decay
LONG,2026-02-05,0.09,2026-02-05,0.08,755787.06,-5743.98,-8.68,disaster_stop
LONG,2026-02-05,0.08,2026-02-06,0.08,791686.95,-2929.24,-4.62,disaster_stop
LONG,2026-02-06,0.08,2026-02-06,0.07,808762.55,-5337.83,-8.63,disaster_stop
LONG,2026-02-06,0.07,2026-02-06,0.07,844528.08,3547.02,5.99,signal_decay
SHORT,2026-02-06,0.07,2026-02-07,0.08,818455.4,-818.46,-1.34,signal_decay
SHORT,2026-02-07,0.08,2026-02-10,0.08,253211.61,-430.46,-2.26,signal_decay
SHORT,2026-02-10,0.09,2026-02-11,0.09,703385.43,-1617.79,-2.68,disaster_stop
SHORT,2026-02-11,0.2,2026-02-11,0.1,297707.88,29383.77,49.35,signal_decay
SHORT,2026-02-14,0.09,2026-02-14,0.09,852278.54,1363.65,1.84,signal_decay
LONG,2026-02-17,0.09,2026-02-17,0.09,878256.55,4127.81,5.51,signal_decay
SHORT,2026-02-17,0.09,2026-02-17,0.09,852482.69,4518.16,5.87,signal_decay
LONG,2026-02-17,0.09,2026-02-18,0.08,932214.89,-1305.1,-1.65,signal_decay
SHORT,2026-02-18,0.08,2026-02-18,0.09,378681.68,-908.84,-2.86,disaster_stop
SHORT,2026-02-18,0.09,2026-02-19,0.07,833203.74,13081.3,18.26,signal_decay
LONG,2026-02-19,0.07,2026-02-20,0.07,1207873.7,1449.45,1.71,signal_decay
LONG,2026-02-23,0.06,2026-02-24,0.08,1423277.85,23484.08,27.5,signal_decay
SHORT,2026-02-24,0.08,2026-02-24,0.08,1266476.05,-253.3,-0.26,signal_decay
LONG,2026-02-24,0.08,2026-02-25,0.08,843438.11,1433.84,2.21,signal_decay
SHORT,2026-02-25,0.08,2026-02-25,0.09,554477.86,-6376.5,-14.59,disaster_stop
SHORT,2026-02-25,0.09,2026-02-26,0.09,1050452.67,3886.67,4.11,signal_decay
LONG,2026-02-26,0.09,2026-02-26,0.09,1121907.88,-336.57,-0.35,signal_decay
SHORT,2026-02-26,0.09,2026-02-26,0.09,1119951.06,-335.99,-0.35,signal_decay
LONG,2026-02-26,0.09,2026-02-27,0.12,509486.2,16150.71,36.86,signal_decay
SHORT,2026-02-27,0.12,2026-02-27,0.08,882499.2,32917.22,31.58,signal_decay
LONG,2026-02-27,0.08,2026-02-28,0.08,1497292.37,898.38,0.74,signal_decay
SHORT,2026-02-28,0.08,2026-02-28,0.08,922362.22,-645.65,-0.86,signal_decay
LONG,2026-02-28,0.08,2026-02-28,0.08,524864.98,-104.97,-0.24,signal_decay
LONG,2026-02-28,0.08,2026-03-01,0.09,691252.36,6497.77,11.48,signal_decay
SHORT,2026-03-01,0.09,2026-03-02,0.09,1353761.2,5144.29,4.15,signal_decay
LONG,2026-03-02,0.09,2026-03-02,0.08,990816.96,-5251.33,-6.06,disaster_stop
LONG,2026-03-02,0.08,2026-03-04,0.08,1504259.79,-902.56,-0.73,signal_decay
LONG,2026-03-04,0.08,2026-03-04,0.08,1515334.1,4394.47,3.56,signal_decay
SHORT,2026-03-04,0.08,2026-03-04,0.09,539663.58,-161.9,-0.35,signal_decay
LONG,2026-03-04,0.08,2026-03-05,0.09,805270.77,1046.85,1.53,signal_decay
SHORT,2026-03-05,0.09,2026-03-08,0.09,1461638.93,-6431.21,-5.1,disaster_stop
SHORT,2026-03-08,0.09,2026-03-08,0.08,1359776.93,10742.24,8.74,signal_decay
SHORT,2026-03-08,0.08,2026-03-08,0.08,521606.85,2034.27,4.73,signal_decay
LONG,2026-03-08,0.08,2026-03-09,0.08,1690354.07,10818.27,8.37,signal_decay
SHORT,2026-03-09,0.08,2026-03-11,0.09,1621193.98,-8268.09,-6.14,disaster_stop
SHORT,2026-03-11,0.09,2026-03-12,0.08,1485633.39,11290.81,8.65,signal_decay
LONG,2026-03-12,0.08,2026-03-13,0.08,1696545.23,-2035.85,-1.49,signal_decay
SHORT,2026-03-13,0.08,2026-03-13,0.08,1127325.2,-789.13,-0.88,signal_decay
SHORT,2026-03-13,0.09,2026-03-15,0.09,1551439.48,2637.45,1.96,signal_decay
LONG,2026-03-15,0.08,2026-03-15,0.08,1603519.6,-7215.84,-5.3,disaster_stop
LONG,2026-03-15,0.08,2026-03-15,0.09,1644303.91,8714.81,6.58,signal_decay
SHORT,2026-03-15,0.09,2026-03-16,0.09,1588031.33,-476.41,-0.35,end_of_backtest
