symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
SAND-USD,,,base,LONG,2026-01-25,0.1286,2026-01-25,0.1386,194401.2442,1944.01,7.776,0.0,0.0,signal_decay,
SAND-USD,,,base,SHORT,2026-01-25,0.1386,2026-01-26,0.1344,183881.6963,772.3,3.0303,0.0,0.0,signal_decay,
SAND-USD,,,base,LONG,2026-01-26,0.1344,2026-01-27,0.1451,191064.5751,2044.39,7.9613,0.0,0.0,signal_decay,
SAND-USD,,,base,SHORT,2026-01-27,0.1455,2026-01-27,0.1339,180001.214,2088.01,7.9725,0.0,0.0,signal_decay,
SAND-USD,,,base,LONG,2026-01-27,0.1339,2026-01-27,0.1516,199493.5037,3531.04,13.2188,0.0,0.0,signal_decay,
SAND-USD,,,base,SHORT,2026-01-27,0.1217,2026-01-27,0.1226,226745.5949,-204.07,-0.7395,0.0,0.0,signal_decay,
SAND-USD,,,base,LONG,2026-01-27,0.1222,2026-01-27,0.1275,225400.3367,1194.62,4.3372,0.0,0.0,signal_decay,
SAND-USD,,,base,SHORT,2026-01-27,0.1275,2026-01-27,0.1309,218373.1497,-742.47,-2.6667,0.0,0.0,disaster_stop,
SAND-USD,,,base,SHORT,2026-01-27,0.1305,2026-01-28,0.123,211930.7235,1589.48,5.7471,0.0,0.0,signal_decay,
SAND-USD,,,base,LONG,2026-01-28,0.1229,2026-01-29,0.1189,228269.5649,-913.08,-3.2547,0.0,0.0,disaster_stop,
SAND-USD,,,base,LONG,2026-01-29,0.1197,2026-01-29,0.1229,232464.9955,743.89,2.6734,0.0,0.0,signal_decay,
SAND-USD,,,base,SHORT,2026-01-29,0.1225,2026-01-29,0.116,228669.6486,1486.35,5.3061,0.0,0.0,signal_decay,
SAND-USD,,,base,LONG,2026-01-29,0.116,2026-01-29,0.1103,244686.3804,-1394.71,-4.9138,0.0,0.0,disaster_stop,
SAND-USD,,,base,LONG,2026-01-29,0.1106,2026-01-29,0.1103,253480.4886,-76.04,-0.2712,0.0,0.0,signal_decay,
SAND-USD,,,base,SHORT,2026-01-30,0.1123,2026-01-30,0.1185,249474.0071,-1546.74,-5.5209,0.0,0.0,disaster_stop,
SAND-USD,,,base,SHORT,2026-01-30,0.1177,2026-01-30,0.1111,234742.9591,1549.3,5.6075,0.0,0.0,signal_decay,
SAND-USD,,,base,LONG,2026-01-30,0.1111,2026-01-30,0.1105,252174.367,-151.3,-0.5401,0.0,0.0,signal_decay,
SAND-USD,,,base,LONG,2026-01-30,0.1114,2026-01-31,0.1151,251155.7093,929.28,3.3214,0.0,0.0,signal_decay,
SAND-USD,,,base,SHORT,2026-01-31,0.1152,2026-01-31,0.11,244887.7174,1273.42,4.5139,0.0,0.0,signal_decay,
SAND-USD,,,base,LONG,2026-01-31,0.1103,2026-01-31,0.0986,258652.9382,-3026.24,-10.6074,0.0,0.0,disaster_stop,
SAND-USD,,,base,LONG,2026-01-31,0.0992,2026-01-31,0.0984,279968.3391,-223.97,-0.8065,0.0,0.0,signal_decay,
SAND-USD,,,base,SHORT,2026-01-31,0.1188,2026-01-31,0.1227,233306.9492,-909.9,-3.2828,0.0,0.0,disaster_stop,
SAND-USD,,,base,SHORT,2026-01-31,0.1219,2026-02-01,0.1226,225507.7219,-157.86,-0.5742,0.0,0.0,signal_decay,
SAND-USD,,,base,SHORT,2026-02-10,0.0766,2026-02-10,0.0861,358354.1442,-3404.36,-12.4021,0.0,0.0,disaster_stop,
SAND-USD,,,base,SHORT,2026-02-17,0.09,2026-02-17,0.0853,295542.6261,1389.05,5.2222,0.0,0.0,signal_decay,
SAND-USD,,,base,SHORT,2026-02-24,0.0765,2026-02-24,0.0771,352236.5874,-211.34,-0.7843,0.0,0.0,signal_decay,
SAND-USD,,,base,LONG,2026-03-04,0.0833,2026-03-04,0.0813,322848.3007,-645.7,-2.401,0.0,0.0,disaster_stop,
SAND-USD,,,base,LONG,2026-03-12,0.0804,2026-03-13,0.0791,332485.5634,-432.23,-1.6169,0.0,0.0,signal_decay,
SAND-USD,,,base,SHORT,2026-03-21,0.0904,2026-03-21,0.0801,294510.8572,3033.46,11.3938,0.0,0.0,signal_decay,
