direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2026-02-01,0.09,2026-02-01,0.09,577367.21,2309.47,4.62,signal_decay
LONG,2026-02-01,0.08,2026-02-02,0.09,602529.26,2048.6,4.0,signal_decay
LONG,2026-02-02,0.09,2026-02-02,0.09,189992.65,-246.99,-1.47,signal_decay
SHORT,2026-02-02,0.09,2026-02-03,0.09,469847.96,-1268.59,-3.08,disaster_stop
SHORT,2026-02-03,0.09,2026-02-03,0.09,339743.67,-1698.72,-5.64,disaster_stop
SHORT,2026-02-03,0.09,2026-02-03,0.09,311315.1,2148.07,7.4,signal_decay
LONG,2026-02-03,0.09,2026-02-03,0.09,597753.73,-179.33,-0.35,signal_decay
SHORT,2026-02-03,0.09,2026-02-03,0.09,596715.96,-4415.7,-8.56,disaster_stop
SHORT,2026-02-03,0.09,2026-02-03,0.09,527790.48,2902.85,5.88,signal_decay
LONG,2026-02-03,0.09,2026-02-04,0.08,579245.54,-3823.02,-7.53,disaster_stop
LONG,2026-02-04,0.08,2026-02-04,0.09,601332.39,4089.06,8.36,signal_decay
SHORT,2026-02-04,0.09,2026-02-04,0.09,576163.5,-172.85,-0.34,signal_decay
LONG,2026-02-04,0.09,2026-02-05,0.08,593307.22,-1186.61,-2.33,signal_decay
SHORT,2026-02-05,0.08,2026-02-05,0.08,453774.19,1724.34,4.52,signal_decay
LONG,2026-02-05,0.08,2026-02-05,0.08,350636.97,-1542.8,-5.5,disaster_stop
LONG,2026-02-05,0.08,2026-02-05,0.08,322988.13,1453.45,5.94,signal_decay
SHORT,2026-02-05,0.08,2026-02-05,0.08,634417.58,2410.79,4.72,signal_decay
LONG,2026-02-05,0.08,2026-02-05,0.08,246066.68,-49.21,-0.26,signal_decay
LONG,2026-02-05,0.07,2026-02-06,0.07,734900.16,-2425.17,-4.64,disaster_stop
LONG,2026-02-06,0.07,2026-02-06,0.07,750570.83,-1426.08,-2.79,disaster_stop
LONG,2026-02-06,0.07,2026-02-06,0.07,759061.45,5237.52,10.41,signal_decay
LONG,2026-02-09,0.08,2026-02-09,0.07,518007.54,-362.61,-0.93,signal_decay
SHORT,2026-02-12,0.08,2026-02-13,0.08,260654.41,-78.2,-0.39,signal_decay
SHORT,2026-02-16,0.08,2026-02-16,0.08,357448.92,-1143.84,-4.11,disaster_stop
SHORT,2026-02-16,0.08,2026-02-17,0.08,644650.39,2965.39,5.69,signal_decay
LONG,2026-02-19,0.07,2026-02-21,0.08,756649.14,4766.89,8.9,signal_decay
LONG,2026-02-22,0.07,2026-02-22,0.07,800262.25,320.1,0.57,signal_decay
SHORT,2026-02-25,0.08,2026-02-26,0.07,744084.9,1339.35,2.38,signal_decay
LONG,2026-02-26,0.07,2026-02-26,0.07,773443.35,-773.44,-1.36,signal_decay
SHORT,2026-02-26,0.07,2026-02-26,0.07,263324.94,789.97,4.13,signal_decay
LONG,2026-02-26,0.07,2026-02-26,0.07,788537.2,-78.85,-0.14,signal_decay
SHORT,2026-02-26,0.07,2026-02-26,0.07,313234.11,-939.7,-4.31,disaster_stop
LONG,2026-02-26,0.07,2026-02-26,0.07,264281.65,-687.13,-3.59,disaster_stop
LONG,2026-02-26,0.07,2026-02-26,0.07,800050.12,-160.01,-0.29,signal_decay
LONG,2026-03-02,0.07,2026-03-03,0.07,258112.74,671.09,3.85,signal_decay
SHORT,2026-03-05,0.07,2026-03-06,0.07,271005.94,325.21,1.75,signal_decay
LONG,2026-03-06,0.07,2026-03-07,0.07,748287.98,1272.09,2.53,signal_decay
LONG,2026-03-07,0.07,2026-03-07,0.07,869781.98,-260.93,-0.46,signal_decay
LONG,2026-03-07,0.06,2026-03-07,0.06,278760.66,-195.13,-1.08,signal_decay
SHORT,2026-03-08,0.06,2026-03-08,0.07,401174.15,-1363.99,-5.3,disaster_stop
LONG,2026-03-08,0.07,2026-03-08,0.06,827090.34,-1323.34,-2.45,disaster_stop
LONG,2026-03-08,0.06,2026-03-09,0.07,868325.45,1736.65,3.13,signal_decay
SHORT,2026-03-12,0.07,2026-03-12,0.06,855149.04,3591.63,6.37,signal_decay
LONG,2026-03-12,0.06,2026-03-12,0.06,943995.69,2643.19,4.55,signal_decay
SHORT,2026-03-12,0.07,2026-03-13,0.07,901086.8,-180.22,-0.3,signal_decay
SHORT,2026-03-13,0.07,2026-03-13,0.07,442041.49,-1016.7,-3.51,disaster_stop
SHORT,2026-03-13,0.07,2026-03-13,0.07,750376.68,-150.08,-0.3,signal_decay
LONG,2026-03-16,0.07,2026-03-16,0.07,545659.09,-218.26,-0.6,signal_decay
