direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2024-04-12,0.0,2024-04-20,0.0,2308656631.62,-2308.66,-4.0,profit_lock_trail
SHORT,2024-04-21,0.0,2024-07-14,0.0,2565989531.25,20527.91,30.77,profit_lock_trail
SHORT,2024-07-15,0.0,2024-08-23,0.0,4969493916.81,19877.97,21.05,profit_lock_trail
SHORT,2024-08-25,0.0,2024-09-02,0.0,7353113002.35,7353.11,6.67,profit_lock_trail
SHORT,2024-09-03,0.0,2024-09-26,0.0,6932359564.11,-41594.15,-46.15,disaster_stop
SHORT,2024-11-03,0.0,2024-11-10,0.0,2918437425.82,-26265.94,-52.94,disaster_stop
SHORT,2024-12-18,0.0,2025-03-24,0.0,1865929547.43,18659.3,41.67,profit_lock_trail
SHORT,2025-03-25,0.0,2025-04-01,0.0,5587028417.15,5587.03,7.14,profit_lock_trail
SHORT,2025-04-06,0.0,2025-04-22,0.0,5343310983.63,-16029.93,-27.27,disaster_stop
SHORT,2025-05-30,0.0,2025-07-10,0.0,4062930707.56,0.0,0.0,profit_lock_trail
SHORT,2025-07-31,0.0,2025-11-25,0.0,3415911438.51,10247.73,25.0,profit_lock_trail
SHORT,2025-11-26,0.0,2025-12-03,0.0,6612783975.38,0.0,0.0,profit_lock_trail
SHORT,2025-12-05,0.0,2026-02-14,0.0,9757474120.2,9757.47,12.5,profit_lock_trail
SHORT,2026-02-15,0.0,2026-03-04,0.0,10323059139.05,10323.06,14.29,profit_lock_trail
SHORT,2026-03-05,0.0,2026-03-13,0.0,13218545406.72,839.69,1.06,end_of_backtest
