direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2025-12-17,350.62,2025-12-17,338.97,142.6,1661.34,3.32,eod
LONG,2025-12-19,357.83,2025-12-19,356.44,142.05,-196.75,-0.39,eod
LONG,2025-12-23,359.21,2025-12-23,363.18,141.23,560.7,1.11,eod
LONG,2025-12-24,363.2,2025-12-24,364.17,140.45,136.9,0.27,eod
SHORT,2025-12-30,364.88,2025-12-30,363.25,140.0,227.49,0.45,eod
LONG,2026-01-09,384.75,2026-01-09,389.32,133.06,608.09,1.19,eod
SHORT,2026-01-16,401.57,2026-01-16,400.42,128.24,147.48,0.29,eod
LONG,2026-01-20,396.43,2026-01-20,390.29,130.09,-798.77,-1.55,eod
LONG,2026-01-21,397.93,2026-01-21,402.07,128.6,532.4,1.04,eod
LONG,2026-01-26,400.2,2026-01-26,398.83,128.53,-176.73,-0.34,eod
LONG,2026-02-02,403.6,2026-02-02,408.05,127.23,567.46,1.11,eod
SHORT,2026-02-03,399.86,2026-02-03,397.52,129.13,301.53,0.58,eod
LONG,2026-02-05,382.0,2026-02-05,381.44,135.56,-75.92,-0.15,eod
LONG,2026-02-06,395.02,2026-02-06,401.6,131.0,861.98,1.67,eod
LONG,2026-02-09,404.2,2026-02-09,406.63,129.09,313.69,0.6,eod
SHORT,2026-02-12,415.58,2026-02-12,406.1,125.93,1194.48,2.28,eod
SHORT,2026-02-13,405.01,2026-02-13,407.64,130.7,-343.73,-0.65,eod
LONG,2026-02-18,412.73,2026-02-18,412.7,127.83,-3.83,-0.01,eod
LONG,2026-02-20,411.66,2026-02-20,415.07,128.16,437.03,0.83,eod
LONG,2026-02-24,417.8,2026-02-24,419.1,126.8,164.84,0.31,eod
LONG,2026-02-25,427.05,2026-02-25,426.1,124.25,-118.65,-0.22,eod
LONG,2026-02-27,404.27,2026-02-27,406.08,131.1,236.64,0.45,eod
LONG,2026-03-05,400.1,2026-03-05,395.56,132.76,-602.75,-1.13,eod
LONG,2026-03-06,388.41,2026-03-06,380.51,135.98,-1074.27,-2.03,eod
LONG,2026-03-09,376.33,2026-03-09,394.37,138.92,2506.13,4.79,eod
