symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
SOL-USD,crypto,high,base,LONG,2024-03-01,130.1204,2024-03-05,125.581,92.2223,-418.63,-3.4886,9.63,-15.8174,breakeven_ratchet,breakeven
SOL-USD,crypto,high,base,LONG,2024-03-06,130.8728,2024-03-15,182.7817,91.3082,4739.71,39.6636,44.034,-0.1307,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,LONG,2024-03-16,182.0622,2024-03-17,201.9214,68.7596,1365.51,10.9079,12.2103,-1.558,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,LONG,2024-03-21,179.4,2024-03-25,188.8945,70.6934,671.2,5.2924,8.3781,-6.4226,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,SHORT,2024-04-18,141.9403,2024-04-22,157.1883,89.9176,-1371.06,-10.7425,9.2134,-11.577,disaster_stop,safety
SOL-USD,crypto,high,base,SHORT,2024-04-23,154.5466,2024-04-26,139.2434,81.5185,1247.49,9.902,10.1188,-3.2575,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,LONG,2024-05-15,158.345,2024-05-17,169.361,80.5084,886.88,6.957,8.3748,-0.993,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,SHORT,2024-06-11,149.2796,2024-06-16,151.2766,86.1104,-171.96,-1.3378,6.139,-8.1962,breakeven_ratchet,breakeven
SOL-USD,crypto,high,base,SHORT,2024-06-25,136.4226,2024-06-27,149.5978,94.0746,-1239.45,-9.6576,1.0972,-10.5148,disaster_stop,safety
SOL-USD,crypto,high,base,SHORT,2024-06-28,139.5637,2024-07-02,153.8542,88.5336,-1265.19,-10.2394,1.7356,-10.8547,disaster_stop,safety
SOL-USD,crypto,high,base,LONG,2024-07-15,160.0939,2024-07-21,184.3571,78.2874,1899.5,15.1556,15.4762,-4.3975,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,SHORT,2024-08-07,144.4875,2024-08-08,163.0937,88.321,-1643.32,-12.8774,1.7078,-12.8305,disaster_stop,safety
SOL-USD,crypto,high,base,SHORT,2024-08-12,146.3078,2024-08-14,144.0674,85.8743,192.39,1.5313,2.4536,-3.7033,signal_decay,signal_decay
SOL-USD,crypto,high,base,SHORT,2024-08-19,144.1993,2024-08-24,160.8925,87.2901,-1457.15,-11.5765,3.4208,-12.4619,disaster_stop,safety
SOL-USD,crypto,high,base,SHORT,2024-08-27,146.7502,2024-09-01,128.8192,84.5812,1516.63,12.2187,12.6112,-1.3252,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,LONG,2024-09-19,142.9791,2024-09-21,149.3775,88.0849,563.6,4.4751,6.142,-1.1631,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,LONG,2024-09-25,148.1714,2024-09-26,155.4205,85.4547,619.47,4.8924,6.5375,-0.8778,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,LONG,2024-10-01,145.4352,2024-10-16,154.08,87.5735,757.06,5.9441,9.1316,-8.17,profit_lock_trail,profit_lock
SOL-USD,crypto,high,base,LONG,2024-10-17,150.4663,2024-10-25,164.5921,85.2491,1204.21,9.388,18.9604,-0.5086,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,LONG,2024-10-26,170.8767,2024-10-30,174.75,75.9122,294.03,2.2667,7.1178,-0.4004,profit_lock_trail,profit_lock
SOL-USD,crypto,high,base,LONG,2024-10-31,168.5984,2024-11-12,212.0196,77.1473,3349.83,25.7542,33.4601,-7.9674,profit_lock_trail,profit_lock
SOL-USD,crypto,high,base,LONG,2024-11-13,215.3997,2024-11-18,239.5545,62.2512,1503.67,11.2139,15.2243,-4.9079,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,SHORT,2024-12-16,216.1186,2024-12-20,194.4024,62.879,1365.49,10.0483,18.6071,-5.8152,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,SHORT,2024-12-30,190.837,2025-01-02,207.9748,72.0677,-1235.08,-8.9803,1.5498,-9.5525,disaster_stop,safety
SOL-USD,crypto,high,base,SHORT,2025-01-03,217.5296,2025-01-07,202.4325,62.5431,944.22,6.9403,7.0817,-2.4932,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,LONG,2025-01-16,211.4391,2025-01-18,261.6079,64.8805,3254.98,23.7273,27.1035,-0.6952,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,SHORT,2025-02-02,202.9165,2025-02-08,199.7995,69.5305,216.73,1.5361,11.0919,-8.4169,profit_lock_trail,profit_lock
SOL-USD,crypto,high,base,SHORT,2025-02-09,200.2971,2025-02-20,176.2249,70.5696,1698.77,12.0182,19.4669,-4.2589,profit_lock_trail,profit_lock
SOL-USD,crypto,high,base,SHORT,2025-02-21,168.7227,2025-02-27,137.7584,84.9841,2631.47,18.3522,22.5409,-3.4037,profit_lock_trail,profit_lock
SOL-USD,crypto,high,base,SHORT,2025-02-28,147.882,2025-03-02,178.674,99.096,-3051.36,-20.822,6.2194,-20.7101,disaster_stop,safety
SOL-USD,crypto,high,base,SHORT,2025-03-03,141.8791,2025-03-09,126.5619,100.708,1542.56,10.796,11.2373,-7.6827,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,SHORT,2025-03-19,135.4369,2025-03-20,127.6247,106.865,834.85,5.7681,6.3375,-0.2479,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,SHORT,2025-03-21,128.3019,2025-03-24,141.0101,113.5887,-1443.51,-9.9049,0.2879,-12.9236,disaster_stop,safety
SOL-USD,crypto,high,base,SHORT,2025-03-25,143.6733,2025-03-29,124.7122,100.2303,1900.48,13.1974,14.3377,-1.1799,profit_lock+signal_decay,profit_lock
SOL-USD,crypto,high,base,SHORT,2025-04-12,132.1283,2025-04-14,129.4397,110.7142,297.67,2.0348,4.9985,-2.3149,signal_decay,signal_decay
SOL-USD,crypto,high,base,LONG,2025-04-16,131.5811,2025-04-21,136.5677,111.4461,555.74,3.7898,8.421,-1.4045,profit_lock_trail,profit_lock
