symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
SOL-USD,,,base,SHORT,2026-01-25,126.843,2026-01-25,126.116,197.094,143.29,0.5731,0.0,0.0,signal_decay,
SOL-USD,,,base,SHORT,2026-01-25,123.0169,2026-01-25,118.0079,203.5153,1019.41,4.0718,0.0,0.0,max_hold,
SOL-USD,,,base,SHORT,2026-01-25,118.0219,2026-01-26,119.5995,214.288,-338.06,-1.3367,0.0,0.0,max_hold,
SOL-USD,,,base,SHORT,2026-01-26,122.1477,2026-01-26,121.6215,206.358,108.59,0.4308,0.0,0.0,signal_decay,
SOL-USD,,,base,LONG,2026-01-26,124.0539,2026-01-26,123.7261,203.406,-66.68,-0.2642,0.0,0.0,signal_decay,
SOL-USD,,,base,SHORT,2026-01-27,123.926,2026-01-27,124.4743,203.4814,-111.57,-0.4424,0.0,0.0,max_hold,
SOL-USD,,,base,SHORT,2026-01-27,123.876,2026-01-27,123.4333,203.3384,90.02,0.3574,0.0,0.0,signal_decay,
SOL-USD,,,base,SHORT,2026-01-28,126.883,2026-01-28,127.3873,198.6968,-100.2,-0.3975,0.0,0.0,max_hold,
SOL-USD,,,base,SHORT,2026-01-29,124.4854,2026-01-29,123.7536,202.3225,148.06,0.5879,0.0,0.0,max_hold,
SOL-USD,,,base,SHORT,2026-01-30,113.9959,2026-01-30,115.9358,221.2642,-429.23,-1.7017,0.0,0.0,max_hold,
SOL-USD,,,base,SHORT,2026-01-30,118.6113,2026-01-30,117.2371,211.7497,290.99,1.1586,0.0,0.0,signal_decay,
SOL-USD,,,base,LONG,2026-01-31,118.5484,2026-01-31,118.3016,212.4757,-52.44,-0.2082,0.0,0.0,signal_decay,
SOL-USD,,,base,LONG,2026-01-31,118.6585,2026-01-31,118.0019,212.168,-139.31,-0.5534,0.0,0.0,signal_decay,
SOL-USD,,,base,SHORT,2026-01-31,109.4904,2026-01-31,103.8137,229.6157,1303.46,5.1847,0.0,0.0,signal_decay,
SOL-USD,,,base,SHORT,2026-01-31,103.2067,2026-01-31,103.4533,246.7532,-60.85,-0.2389,0.0,0.0,max_hold,
SOL-USD,,,base,SHORT,2026-01-31,104.1058,2026-01-31,106.6565,244.476,-623.58,-2.4501,0.0,0.0,disaster_stop,
SOL-USD,,,base,SHORT,2026-01-31,105.6243,2026-02-01,105.155,239.4853,112.39,0.4443,0.0,0.0,signal_decay,
SOL-USD,,,base,SHORT,2026-02-01,105.5643,2026-02-01,102.112,239.8876,828.16,3.2703,0.0,0.0,max_hold,
SOL-USD,,,base,LONG,2026-02-01,103.2932,2026-02-01,101.5184,247.1664,-438.67,-1.7182,0.0,0.0,signal_decay,
SOL-USD,,,base,LONG,2026-02-02,100.2702,2026-02-02,102.1278,253.5244,470.95,1.8526,0.0,0.0,signal_decay,
SOL-USD,,,base,SHORT,2026-02-02,102.1278,2026-02-02,99.0389,250.0659,772.43,3.0245,0.0,0.0,signal_decay,
SOL-USD,,,base,SHORT,2026-02-02,96.4335,2026-02-02,99.5494,266.8345,-831.43,-3.2311,0.0,0.0,disaster_stop,
SOL-USD,,,base,SHORT,2026-02-02,99.5004,2026-02-02,98.0179,256.5209,380.29,1.4899,0.0,0.0,signal_decay,
SOL-USD,,,base,SHORT,2026-02-09,85.3546,2026-02-09,83.2732,300.1479,624.73,2.4385,0.0,0.0,signal_decay,
SOL-USD,,,base,SHORT,2026-02-09,84.6153,2026-02-09,85.0049,304.6161,-118.68,-0.4604,0.0,0.0,signal_decay,
SOL-USD,,,base,SHORT,2026-02-10,86.4734,2026-02-10,86.8668,297.7275,-117.13,-0.4549,0.0,0.0,signal_decay,
SOL-USD,,,base,SHORT,2026-02-10,85.2646,2026-02-10,85.8057,301.605,-163.2,-0.6346,0.0,0.0,signal_decay,
SOL-USD,,,base,SHORT,2026-02-17,85.7642,2026-02-17,85.3953,299.3724,110.44,0.4301,0.0,0.0,signal_decay,
SOL-USD,,,base,SHORT,2026-02-24,78.8611,2026-02-24,79.109,325.928,-80.8,-0.3144,0.0,0.0,signal_decay,
SOL-USD,,,base,SHORT,2026-03-03,86.873,2026-03-04,87.2371,295.6366,-107.64,-0.4191,0.0,0.0,signal_decay,
SOL-USD,,,base,LONG,2026-03-11,86.9368,2026-03-11,84.7152,295.1102,-655.62,-2.5554,0.0,0.0,disaster_stop,
SOL-USD,,,base,SHORT,2026-03-18,89.2706,2026-03-18,90.2301,285.5591,-273.99,-1.0748,0.0,0.0,max_hold,
SOL-USD,,,base,SHORT,2026-03-25,91.6183,2026-03-25,91.8618,277.494,-67.57,-0.2658,0.0,0.0,signal_decay,
