direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2025-12-19,300.61,2025-12-19,300.21,166.33,-65.7,-0.13,eod
LONG,2026-01-02,314.28,2026-01-02,313.85,158.99,-68.36,-0.14,eod
LONG,2026-01-06,327.4,2026-01-06,328.71,152.51,199.46,0.4,eod
SHORT,2026-01-16,342.5,2026-01-16,342.46,146.08,5.84,0.01,eod
LONG,2026-01-21,345.17,2026-01-21,348.14,144.96,430.53,0.86,eod
LONG,2026-02-02,348.28,2026-02-02,352.95,144.28,673.8,1.34,eod
SHORT,2026-02-03,346.01,2026-02-03,345.61,146.21,57.75,0.11,eod
SHORT,2026-02-04,340.2,2026-02-04,330.39,148.79,1459.58,2.88,eod
SHORT,2026-02-10,351.81,2026-02-10,351.46,145.95,50.35,0.1,eod
SHORT,2026-02-12,361.47,2026-02-12,351.42,142.12,1428.29,2.78,eod
SHORT,2026-02-13,351.44,2026-02-13,354.57,148.21,-463.89,-0.89,eod
LONG,2026-03-11,343.52,2026-03-11,342.01,150.95,-227.18,-0.44,eod
LONG,2026-03-13,337.03,2026-03-13,331.31,153.52,-878.12,-1.7,eod
