symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
SOXX,,,base,LONG,2026-01-26,342.81,2026-01-27,347.3384,145.8534,660.48,1.321,0.0,0.0,max_hold,
SOXX,,,base,LONG,2026-01-27,347.04,2026-01-28,360.5138,145.0272,1954.07,3.8825,0.0,0.0,max_hold,
SOXX,,,base,LONG,2026-01-28,361.775,2026-01-29,361.1336,141.821,-90.96,-0.1773,0.0,0.0,max_hold,
SOXX,,,base,LONG,2026-01-29,362.59,2026-01-29,355.8254,141.3767,-956.36,-1.8656,0.0,0.0,disaster_stop,
SOXX,,,base,LONG,2026-01-29,354.4,2026-01-29,348.9,143.2946,-788.12,-1.5519,0.0,0.0,disaster_stop,
SOXX,,,base,LONG,2026-01-29,349.44,2026-01-30,355.6955,144.2009,902.05,1.7901,0.0,0.0,max_hold,
SOXX,,,base,LONG,2026-01-30,355.56,2026-01-30,350.0874,142.9873,-782.51,-1.5391,0.0,0.0,disaster_stop,
SOXX,,,base,LONG,2026-01-30,350.28,2026-01-30,344.7993,144.0257,-789.36,-1.5647,0.0,0.0,disaster_stop,
SOXX,,,base,LONG,2026-01-30,344.4,2026-02-02,352.4666,145.3387,1172.39,2.3422,0.0,0.0,max_hold,
SOXX,,,base,LONG,2026-02-02,352.45,2026-02-03,345.8839,143.6823,-943.43,-1.863,0.0,0.0,disaster_stop,
SOXX,,,base,LONG,2026-02-03,346.67,2026-02-03,341.1206,144.7172,-803.1,-1.6008,0.0,0.0,disaster_stop,
SOXX,,,base,LONG,2026-02-03,341.91,2026-02-04,334.6228,145.5575,-1060.71,-2.1313,0.0,0.0,disaster_stop,
SOXX,,,base,LONG,2026-02-04,335.73,2026-02-04,329.4047,146.6572,-927.65,-1.884,0.0,0.0,disaster_stop,
SOXX,,,base,LONG,2026-02-04,328.89,2026-02-04,323.5067,148.297,-798.33,-1.6368,0.0,0.0,disaster_stop,
SOXX,,,base,LONG,2026-02-04,324.49,2026-02-05,332.2237,149.0777,1152.92,2.3833,0.0,0.0,max_hold,
SOXX,,,base,LONG,2026-02-05,332.45,2026-02-06,347.2284,147.2423,2176.0,4.4453,0.0,0.0,max_hold,
SOXX,,,base,LONG,2026-02-06,347.82,2026-02-09,353.1463,143.8638,766.26,1.5313,0.0,0.0,max_hold,
SOXX,,,base,LONG,2026-02-09,353.64,2026-02-10,354.5858,142.5795,134.85,0.2674,0.0,0.0,max_hold,
SOXX,,,base,LONG,2026-02-10,354.21,2026-02-11,357.9347,142.5404,530.92,1.0516,0.0,0.0,max_hold,
SOXX,,,base,LONG,2026-02-11,358.505,2026-02-12,351.8568,141.5732,-941.21,-1.8544,0.0,0.0,disaster_stop,
SOXX,,,base,LONG,2026-02-12,352.35,2026-02-13,354.4559,142.7107,300.53,0.5977,0.0,0.0,max_hold,
SOXX,,,base,LONG,2026-02-19,355.03,2026-02-20,359.704,142.0566,663.97,1.3165,0.0,0.0,max_hold,
SOXX,,,base,LONG,2026-02-26,354.82,2026-02-27,349.2427,143.0764,-797.98,-1.5719,0.0,0.0,disaster_stop,
SOXX,,,base,LONG,2026-03-05,339.6,2026-03-05,334.1729,148.3138,-804.91,-1.5981,0.0,0.0,disaster_stop,
SOXX,,,base,LONG,2026-03-12,332.08,2026-03-13,332.6935,150.4605,92.31,0.1847,0.0,0.0,max_hold,
SOXX,,,base,LONG,2026-03-19,336.81,2026-03-20,333.9231,148.4845,-428.66,-0.8571,0.0,0.0,max_hold,
SOXX,,,base,LONG,2026-03-20,334.11,2026-03-20,328.7049,149.0429,-805.59,-1.6178,0.0,0.0,disaster_stop,
