direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2025-01-01,1.41,2025-01-03,1.79,17047.88,-6483.31,-27.01,disaster_stop
SHORT,2025-01-09,1.44,2025-01-17,1.74,14771.02,-4324.96,-20.29,disaster_stop
SHORT,2025-01-19,1.34,2025-02-12,0.96,12596.7,4779.19,28.22,profit_lock_trail
SHORT,2025-02-13,0.93,2025-03-02,0.89,24180.36,976.89,4.33,signal_decay
SHORT,2025-03-15,0.65,2025-04-12,0.59,34939.4,2155.76,9.46,profit_lock_trail
SHORT,2025-04-19,0.59,2025-05-08,0.76,39661.09,-6891.39,-29.57,disaster_stop
LONG,2025-05-15,0.74,2025-05-17,0.69,21114.31,-1078.94,-6.87,signal_decay
SHORT,2025-05-30,0.64,2025-06-10,0.78,33519.24,-4702.75,-21.98,disaster_stop
SHORT,2025-06-12,0.66,2025-06-13,0.64,25305.79,541.54,3.24,signal_decay
SHORT,2025-06-14,0.62,2025-07-15,0.74,33041.62,-4173.49,-20.47,disaster_stop
SHORT,2025-08-19,0.75,2025-10-12,0.57,26025.57,4606.4,23.75,profit_lock_trail
SHORT,2025-10-13,0.61,2025-11-10,0.57,33745.78,1194.6,5.83,profit_lock_trail
SHORT,2025-11-11,0.49,2025-11-12,0.48,28504.47,210.93,1.5,signal_decay
SHORT,2025-11-20,0.44,2025-12-10,0.33,47513.14,4955.62,23.79,signal_decay
SHORT,2025-12-13,0.33,2025-12-20,0.31,67724.06,1259.67,5.72,profit_lock_trail
SHORT,2025-12-23,0.29,2026-01-05,0.35,77440.8,-4607.73,-20.64,disaster_stop
SHORT,2026-01-11,0.32,2026-01-18,0.33,66772.59,-807.95,-3.81,signal_decay
LONG,2026-01-18,0.33,2026-01-20,0.3,41816.74,-1221.05,-8.85,signal_decay
SHORT,2026-01-20,0.3,2026-02-06,0.21,68950.35,5929.73,28.6,profit_lock_trail
SHORT,2026-02-07,0.21,2026-02-14,0.22,104118.91,-760.07,-3.43,signal_decay
SHORT,2026-02-15,0.21,2026-03-03,0.2,105593.89,432.93,1.97,signal_decay
SHORT,2026-03-04,0.21,2026-03-16,0.22,105889.65,-1217.73,-5.52,end_of_backtest
