symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
SYRUP-USD,,,base,LONG,2026-01-25,0.3374,2026-01-25,0.3322,74096.0285,-389.0,-1.556,0.0,0.0,signal_decay,
SYRUP-USD,,,base,LONG,2026-01-25,0.3326,2026-01-25,0.3302,74872.9674,-179.7,-0.7216,0.0,0.0,signal_decay,
SYRUP-USD,,,base,SHORT,2026-01-25,0.3103,2026-01-25,0.3098,80109.008,40.05,0.1611,0.0,0.0,signal_decay,
SYRUP-USD,,,base,SHORT,2026-01-26,0.3227,2026-01-26,0.3234,77068.9522,-56.26,-0.2262,0.0,0.0,signal_decay,
SYRUP-USD,,,base,LONG,2026-01-26,0.3267,2026-01-26,0.328,76075.218,98.9,0.3979,0.0,0.0,signal_decay,
SYRUP-USD,,,base,LONG,2026-01-26,0.336,2026-01-26,0.337,74043.1493,74.04,0.2976,0.0,0.0,signal_decay,
SYRUP-USD,,,base,SHORT,2026-01-26,0.3416,2026-01-27,0.3407,72883.5157,65.6,0.2635,0.0,0.0,signal_decay,
SYRUP-USD,,,base,LONG,2026-01-27,0.3422,2026-01-27,0.3342,72803.6463,-582.43,-2.3378,0.0,0.0,disaster_stop,
SYRUP-USD,,,base,LONG,2026-01-27,0.3378,2026-01-27,0.3391,73325.2426,96.79,0.3908,0.0,0.0,signal_decay,
SYRUP-USD,,,base,SHORT,2026-01-27,0.3352,2026-01-27,0.3365,73961.8072,-96.15,-0.3878,0.0,0.0,signal_decay,
SYRUP-USD,,,base,SHORT,2026-01-28,0.3446,2026-01-28,0.3464,71874.5218,-129.37,-0.5223,0.0,0.0,signal_decay,
SYRUP-USD,,,base,SHORT,2026-01-28,0.3552,2026-01-28,0.352,69638.5604,222.84,0.9009,0.0,0.0,signal_decay,
SYRUP-USD,,,base,SHORT,2026-01-28,0.3487,2026-01-28,0.3529,71096.4368,-298.61,-1.2045,0.0,0.0,signal_decay,
SYRUP-USD,,,base,SHORT,2026-01-28,0.3547,2026-01-29,0.3537,69683.3275,69.68,0.2819,0.0,0.0,signal_decay,
SYRUP-USD,,,base,LONG,2026-01-29,0.353,2026-01-29,0.3541,70076.2043,79.89,0.323,0.0,0.0,signal_decay,
SYRUP-USD,,,base,LONG,2026-01-29,0.357,2026-01-29,0.3568,69339.1283,-11.79,-0.0476,0.0,0.0,signal_decay,
SYRUP-USD,,,base,SHORT,2026-01-29,0.3391,2026-01-29,0.343,72990.6278,-284.66,-1.1501,0.0,0.0,signal_decay,
SYRUP-USD,,,base,LONG,2026-01-30,0.3443,2026-01-30,0.3333,71681.5452,-788.5,-3.1949,0.0,0.0,disaster_stop,
SYRUP-USD,,,base,LONG,2026-01-30,0.3374,2026-01-30,0.3333,72563.224,-297.51,-1.2152,0.0,0.0,signal_decay,
SYRUP-USD,,,base,SHORT,2026-01-30,0.3364,2026-01-30,0.339,72557.8314,-188.65,-0.7729,0.0,0.0,signal_decay,
SYRUP-USD,,,base,SHORT,2026-02-06,0.2543,2026-02-06,0.2614,95797.4514,-680.16,-2.792,0.0,0.0,disaster_stop,
SYRUP-USD,,,base,LONG,2026-02-13,0.2687,2026-02-13,0.2681,90030.7086,-54.02,-0.2233,0.0,0.0,signal_decay,
SYRUP-USD,,,base,LONG,2026-02-20,0.226,2026-02-20,0.2243,106981.1805,-178.66,-0.7389,0.0,0.0,max_hold,
SYRUP-USD,,,base,LONG,2026-02-27,0.2376,2026-02-27,0.2348,101570.2111,-284.4,-1.1785,0.0,0.0,signal_decay,
SYRUP-USD,,,base,SHORT,2026-03-06,0.2312,2026-03-06,0.2264,104074.321,499.56,2.0761,0.0,0.0,signal_decay,
SYRUP-USD,,,base,LONG,2026-03-13,0.2611,2026-03-13,0.2516,92634.5163,-880.03,-3.6385,0.0,0.0,disaster_stop,
SYRUP-USD,,,base,LONG,2026-03-20,0.2417,2026-03-20,0.2357,99159.5582,-594.96,-2.4824,0.0,0.0,disaster_stop,
