symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
TIA-USD,,,base,LONG,2026-01-25,0.4425,2026-01-25,0.4391,56497.1751,-192.09,-0.7684,0.0,0.0,signal_decay,
TIA-USD,,,base,SHORT,2026-01-25,0.4391,2026-01-25,0.4545,56825.2731,-875.11,-3.5072,0.0,0.0,disaster_stop,
TIA-USD,,,base,SHORT,2026-01-25,0.4536,2026-01-25,0.4361,54526.4552,954.21,3.858,0.0,0.0,signal_decay,
TIA-USD,,,base,LONG,2026-01-25,0.4361,2026-01-25,0.4232,57261.5302,-738.67,-2.958,0.0,0.0,disaster_stop,
TIA-USD,,,base,SHORT,2026-01-25,0.4232,2026-01-25,0.426,58570.6165,-164.0,-0.6616,0.0,0.0,signal_decay,
TIA-USD,,,base,LONG,2026-01-25,0.426,2026-01-26,0.4281,58089.4025,121.99,0.493,0.0,0.0,signal_decay,
TIA-USD,,,base,LONG,2026-01-26,0.4579,2026-01-26,0.4309,54109.1557,-1460.95,-5.8965,0.0,0.0,disaster_stop,
TIA-USD,,,base,LONG,2026-01-26,0.4327,2026-01-27,0.4245,56416.3291,-462.61,-1.8951,0.0,0.0,signal_decay,
TIA-USD,,,base,LONG,2026-01-27,0.4254,2026-01-27,0.4593,57112.5814,1936.12,7.969,0.0,0.0,signal_decay,
TIA-USD,,,base,SHORT,2026-01-27,0.4602,2026-01-27,0.4341,53845.5482,1405.37,5.6714,0.0,0.0,signal_decay,
TIA-USD,,,base,LONG,2026-01-27,0.4341,2026-01-28,0.4723,57892.3369,2211.49,8.7998,0.0,0.0,signal_decay,
TIA-USD,,,base,LONG,2026-01-28,0.4458,2026-01-28,0.4455,57613.1343,-17.28,-0.0673,0.0,0.0,signal_decay,
TIA-USD,,,base,SHORT,2026-01-28,0.4628,2026-01-28,0.4651,55487.4985,-127.62,-0.497,0.0,0.0,signal_decay,
TIA-USD,,,base,LONG,2026-01-28,0.4651,2026-01-29,0.4613,55144.5044,-209.55,-0.817,0.0,0.0,signal_decay,
TIA-USD,,,base,LONG,2026-01-29,0.4631,2026-01-29,0.417,55269.5351,-2547.93,-9.9547,0.0,0.0,disaster_stop,
TIA-USD,,,base,SHORT,2026-01-29,0.4458,2026-01-29,0.4398,55985.5099,335.91,1.3459,0.0,0.0,signal_decay,
TIA-USD,,,base,SHORT,2026-01-29,0.4389,2026-01-30,0.4033,57057.0029,2031.23,8.1112,0.0,0.0,signal_decay,
TIA-USD,,,base,LONG,2026-01-30,0.4008,2026-01-30,0.3992,63747.8191,-102.0,-0.3992,0.0,0.0,signal_decay,
TIA-USD,,,base,SHORT,2026-01-30,0.3992,2026-01-30,0.3975,63939.4458,108.7,0.4259,0.0,0.0,signal_decay,
TIA-USD,,,base,LONG,2026-01-30,0.4268,2026-01-31,0.4188,59868.3248,-478.95,-1.8744,0.0,0.0,signal_decay,
TIA-USD,,,base,LONG,2026-02-07,0.3435,2026-02-07,0.3337,74038.0332,-725.57,-2.853,0.0,0.0,disaster_stop,
TIA-USD,,,base,SHORT,2026-02-14,0.3945,2026-02-14,0.3927,64006.7711,115.21,0.4563,0.0,0.0,signal_decay,
TIA-USD,,,base,SHORT,2026-02-21,0.3387,2026-02-21,0.3395,74636.7708,-59.71,-0.2362,0.0,0.0,signal_decay,
TIA-USD,,,base,LONG,2026-03-01,0.3327,2026-03-01,0.3362,75937.9228,265.78,1.052,0.0,0.0,signal_decay,
TIA-USD,,,base,LONG,2026-03-08,0.3106,2026-03-10,0.3565,81555.0309,3743.38,14.7778,0.0,0.0,signal_decay,
TIA-USD,,,base,SHORT,2026-03-16,0.3623,2026-03-16,0.367,72500.2389,-340.75,-1.2973,0.0,0.0,signal_decay,
TIA-USD,,,base,LONG,2026-03-23,0.3184,2026-03-23,0.336,82228.7964,1447.23,5.5276,0.0,0.0,signal_decay,
