symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
TRAC-USD,,,base,LONG,2026-01-25,0.3881,2026-01-25,0.3684,64416.3875,-1269.0,-5.076,0.0,0.0,disaster_stop,
TRAC-USD,,,base,SHORT,2026-01-25,0.3684,2026-01-25,0.365,66999.8624,227.8,0.9229,0.0,0.0,signal_decay,
TRAC-USD,,,base,LONG,2026-01-25,0.3733,2026-01-26,0.3945,66272.9686,1404.99,5.6791,0.0,0.0,signal_decay,
TRAC-USD,,,base,LONG,2026-01-26,0.3881,2026-01-26,0.3937,64650.7238,362.04,1.4429,0.0,0.0,signal_decay,
TRAC-USD,,,base,SHORT,2026-01-27,0.3799,2026-01-27,0.3763,66284.4352,238.62,0.9476,0.0,0.0,signal_decay,
TRAC-USD,,,base,LONG,2026-01-27,0.3763,2026-01-28,0.3826,67077.1005,422.59,1.6742,0.0,0.0,signal_decay,
TRAC-USD,,,base,SHORT,2026-01-28,0.3826,2026-01-29,0.3706,66248.7176,794.98,3.1364,0.0,0.0,signal_decay,
TRAC-USD,,,base,LONG,2026-01-29,0.3706,2026-01-29,0.3628,68930.1282,-537.65,-2.1047,0.0,0.0,signal_decay,
TRAC-USD,,,base,SHORT,2026-01-29,0.3628,2026-01-29,0.3595,70041.598,231.14,0.9096,0.0,0.0,signal_decay,
TRAC-USD,,,base,SHORT,2026-01-30,0.353,2026-01-30,0.3487,72149.7906,310.24,1.2181,0.0,0.0,signal_decay,
TRAC-USD,,,base,LONG,2026-01-30,0.3487,2026-01-30,0.36,73261.936,827.86,3.2406,0.0,0.0,signal_decay,
TRAC-USD,,,base,SHORT,2026-01-30,0.36,2026-01-30,0.3677,71537.2279,-550.84,-2.1389,0.0,0.0,signal_decay,
TRAC-USD,,,base,LONG,2026-01-30,0.3677,2026-01-31,0.3573,69664.653,-724.51,-2.8284,0.0,0.0,disaster_stop,
TRAC-USD,,,base,LONG,2026-01-31,0.3595,2026-01-31,0.3519,70749.8325,-537.7,-2.114,0.0,0.0,signal_decay,
TRAC-USD,,,base,LONG,2026-01-31,0.3541,2026-01-31,0.3414,71449.139,-907.4,-3.5866,0.0,0.0,disaster_stop,
