symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
URNM,,,base,LONG,2026-01-26,79.17,2026-01-26,77.5928,631.5524,-996.08,-1.9922,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-01-26,77.4647,2026-01-26,76.0334,639.026,-914.64,-1.8477,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-01-26,75.97,2026-01-26,74.715,645.579,-810.2,-1.652,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-01-26,74.655,2026-01-26,73.4843,651.5242,-762.74,-1.5681,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-01-26,73.26,2026-01-27,75.3936,658.7246,1405.45,2.9124,0.0,0.0,signal_decay,
URNM,,,base,LONG,2026-01-27,76.47,2026-01-28,80.8317,640.2628,2792.63,5.7038,0.0,0.0,max_hold,
URNM,,,base,LONG,2026-01-28,80.635,2026-01-28,81.3965,624.5081,475.56,0.9444,0.0,0.0,signal_decay,
URNM,,,base,LONG,2026-01-28,82.1896,2026-01-29,80.4418,615.5888,-1075.92,-2.1265,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-01-29,79.73,2026-01-29,78.3526,627.8318,-864.78,-1.7276,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-01-29,77.88,2026-01-29,76.6482,637.1937,-784.89,-1.5817,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-01-29,77.0,2026-01-30,77.3249,639.3791,207.73,0.4219,0.0,0.0,max_hold,
URNM,,,base,LONG,2026-01-30,77.24,2026-01-30,76.0534,638.7372,-757.92,-1.5362,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-01-30,75.8601,2026-01-30,74.344,645.3603,-978.43,-1.9985,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-01-30,74.35,2026-01-30,73.0344,651.8882,-857.62,-1.7695,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-01-30,73.18,2026-02-02,71.5949,553.5586,-877.45,-2.166,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-02-02,72.225,2026-02-03,75.4736,659.0564,2141.01,4.4979,0.0,0.0,max_hold,
URNM,,,base,LONG,2026-02-03,75.765,2026-02-03,75.7535,642.3923,-7.39,-0.0152,0.0,0.0,signal_decay,
URNM,,,base,LONG,2026-02-03,76.35,2026-02-03,74.8838,637.4219,-934.59,-1.9204,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-02-03,75.195,2026-02-03,74.0341,640.9983,-744.13,-1.5439,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-02-03,73.97,2026-02-04,72.8345,473.4368,-537.59,-1.5351,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-02-04,72.69,2026-02-04,71.46,654.2716,-804.76,-1.6921,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-02-11,71.0901,2026-02-11,69.7856,663.3361,-865.32,-1.835,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-02-18,71.18,2026-02-19,70.0255,656.4199,-757.84,-1.6219,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-02-25,74.3501,2026-02-25,74.88,623.3354,330.31,0.7127,0.0,0.0,signal_decay,
URNM,,,base,LONG,2026-03-04,69.86,2026-03-05,68.656,665.763,-801.58,-1.7234,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-03-11,67.86,2026-03-12,66.6167,679.4785,-844.8,-1.8322,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-03-18,63.26,2026-03-19,59.2493,722.2102,-2896.57,-6.34,0.0,0.0,disaster_stop,
URNM,,,base,LONG,2026-03-25,62.84,2026-03-25,62.963,703.99,86.59,0.1957,0.0,0.0,signal_decay,
