direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2022-12-13,65.72,2022-12-13,65.88,1445.53,231.28,0.24,eod
LONG,2022-12-27,69.6,2022-12-27,69.53,1368.1,-95.77,-0.1,eod
SHORT,2023-01-10,65.98,2023-01-10,65.9,1441.78,115.34,0.12,eod
SHORT,2023-01-13,69.06,2023-01-13,70.05,1379.17,-1372.27,-1.44,eod
LONG,2023-01-17,70.91,2023-01-17,70.87,1324.7,-52.99,-0.06,eod
SHORT,2023-01-24,71.15,2023-01-24,70.22,1319.53,1220.56,1.3,eod
SHORT,2023-02-08,68.21,2023-02-08,68.69,1393.4,-668.83,-0.7,eod
LONG,2023-02-22,66.42,2023-02-22,64.92,1421.39,-2132.08,-2.26,eod
LONG,2023-03-01,67.19,2023-03-01,68.06,1374.95,1196.21,1.29,eod
LONG,2023-03-14,65.11,2023-03-14,62.95,1436.26,-3106.64,-3.32,eod
LONG,2023-03-16,59.07,2023-03-16,60.06,1533.23,1517.9,1.68,eod
LONG,2023-03-21,60.87,2023-03-21,61.23,1511.58,544.17,0.59,eod
LONG,2023-03-23,62.56,2023-03-23,60.97,1479.02,-2351.49,-2.54,eod
SHORT,2023-03-30,64.64,2023-03-30,65.32,1396.86,-949.87,-1.05,eod
SHORT,2023-04-17,71.65,2023-04-17,70.85,1247.6,997.96,1.12,eod
LONG,2023-04-20,68.01,2023-04-20,67.67,1328.32,-451.63,-0.5,eod
SHORT,2023-04-28,65.6,2023-04-28,67.5,1370.58,-2604.09,-2.9,eod
LONG,2023-05-09,64.04,2023-05-09,64.87,1365.33,1133.23,1.3,eod
LONG,2023-05-11,63.27,2023-05-11,63.24,1398.96,-41.97,-0.05,eod
SHORT,2023-05-17,63.44,2023-05-17,64.61,1394.59,-1631.67,-1.84,eod
SHORT,2023-06-16,63.44,2023-06-16,64.35,1370.15,-1246.84,-1.43,eod
SHORT,2023-07-03,63.42,2023-07-03,63.11,1351.91,419.09,0.49,eod
SHORT,2023-07-20,68.28,2023-07-20,68.04,1261.51,302.76,0.35,eod
SHORT,2023-08-02,72.35,2023-08-02,71.48,1194.52,1039.24,1.2,eod
SHORT,2023-08-16,72.74,2023-08-16,71.39,1201.69,1622.28,1.86,eod
SHORT,2023-08-18,72.16,2023-08-18,72.84,1232.71,-838.24,-0.94,eod
SHORT,2023-08-29,72.13,2023-08-29,73.3,1222.2,-1431.19,-1.62,eod
LONG,2023-09-06,78.06,2023-09-06,78.5,1111.92,489.24,0.56,eod
SHORT,2023-09-08,78.04,2023-09-08,78.28,1118.16,-268.36,-0.31,eod
SHORT,2023-09-18,81.41,2023-09-18,81.47,1068.74,-64.12,-0.07,eod
SHORT,2023-09-29,81.39,2023-09-29,80.85,1068.25,576.86,0.66,eod
SHORT,2023-10-11,75.99,2023-10-11,75.69,1151.38,345.41,0.39,eod
SHORT,2023-10-25,76.91,2023-10-25,78.43,1141.87,-1735.64,-1.98,eod
SHORT,2023-11-08,71.19,2023-11-08,70.21,1210.46,1186.25,1.38,eod
LONG,2023-11-09,70.81,2023-11-09,70.24,1232.87,-702.73,-0.8,eod
SHORT,2023-11-28,70.35,2023-11-28,71.25,1231.44,-1108.3,-1.28,eod
SHORT,2023-12-15,66.66,2023-12-15,67.14,1283.81,-616.23,-0.72,eod
SHORT,2023-12-27,69.91,2023-12-27,68.93,1215.76,1191.44,1.4,eod
