symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
VBR,,,base,LONG,2026-01-26,224.53,2026-01-27,223.8741,87.3644,-57.3,-0.2921,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-01-27,223.86,2026-01-27,223.8716,148.8144,1.73,0.0052,0.0,0.0,signal_decay,
VBR,,,base,LONG,2026-01-27,224.09,2026-01-28,223.175,49.754,-45.52,-0.4083,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-01-28,223.0,2026-01-29,223.5117,223.9886,114.61,0.2295,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-01-29,223.71,2026-01-30,223.0119,223.5338,-156.05,-0.3121,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-01-30,223.1,2026-02-02,224.8613,199.8391,351.98,0.7895,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-02-03,225.035,2026-02-04,227.4304,201.8937,483.62,1.0645,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-02-04,227.405,2026-02-05,228.1801,221.3959,171.6,0.3408,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-02-05,228.04,2026-02-06,230.1194,221.1556,459.87,0.9119,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-02-06,230.335,2026-02-06,231.7089,219.9504,302.19,0.5965,0.0,0.0,signal_decay,
VBR,,,base,LONG,2026-02-06,231.79,2026-02-09,232.132,45.6384,15.61,0.1476,0.0,0.0,signal_decay,
VBR,,,base,LONG,2026-02-09,232.245,2026-02-10,232.7835,45.3704,24.43,0.2319,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-02-10,232.96,2026-02-11,232.5286,69.0149,-29.77,-0.1852,0.0,0.0,signal_decay,
VBR,,,base,LONG,2026-02-11,232.2418,2026-02-12,228.59,127.1079,-464.17,-1.5724,0.0,0.0,disaster_stop,
VBR,,,base,LONG,2026-02-12,228.98,2026-02-13,232.0001,220.9206,667.2,1.3189,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-02-13,232.14,2026-02-17,230.4593,219.3504,-368.66,-0.724,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-02-17,230.55,2026-02-18,232.7085,220.0637,475.01,0.9362,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-02-18,232.8199,2026-02-19,230.9242,64.9497,-123.13,-0.8142,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-02-19,230.8363,2026-02-20,230.7892,220.5529,-10.39,-0.0204,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-02-20,230.785,2026-02-23,227.2204,220.5794,-786.28,-1.5446,0.0,0.0,disaster_stop,
VBR,,,base,LONG,2026-02-23,227.54,2026-02-24,230.0295,221.9974,552.66,1.0941,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-02-24,230.165,2026-02-25,229.8695,66.2926,-19.59,-0.1284,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-02-25,230.095,2026-02-26,229.8145,62.106,-17.42,-0.1219,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-02-26,229.77,2026-02-27,229.1348,142.1471,-90.29,-0.2765,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-02-27,229.19,2026-03-02,230.1714,221.3271,217.21,0.4282,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-03-02,230.13,2026-03-03,224.9612,220.895,-1141.76,-2.246,0.0,0.0,disaster_stop,
VBR,,,base,LONG,2026-03-03,224.95,2026-03-04,226.8406,223.4438,422.44,0.8405,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-03-04,226.5,2026-03-05,226.1733,222.8473,-72.8,-0.1442,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-03-05,226.82,2026-03-05,223.3218,222.3724,-777.9,-1.5423,0.0,0.0,disaster_stop,
VBR,,,base,LONG,2026-03-12,217.05,2026-03-13,215.4795,230.59,-362.14,-0.7236,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-03-19,215.08,2026-03-20,214.095,231.8602,-228.38,-0.458,0.0,0.0,max_hold,
VBR,,,base,LONG,2026-03-26,219.57,2026-03-26,217.5138,226.5988,-465.93,-0.9365,0.0,0.0,end_of_backtest,
