direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2026-02-01,0.01,2026-02-01,0.01,3914217.03,352.28,1.08,signal_decay
SHORT,2026-02-01,0.01,2026-02-01,0.01,1851278.41,-111.08,-0.71,signal_decay
LONG,2026-02-01,0.01,2026-02-01,0.01,1850090.67,-74.0,-0.47,signal_decay
LONG,2026-02-01,0.01,2026-02-01,0.01,3687969.81,811.35,2.66,signal_decay
SHORT,2026-02-01,0.01,2026-02-01,0.01,5248204.43,104.96,0.23,signal_decay
SHORT,2026-02-01,0.01,2026-02-01,0.01,2708039.09,0.0,0.0,signal_decay
LONG,2026-02-01,0.01,2026-02-01,0.01,3812639.58,0.0,0.0,signal_decay
SHORT,2026-02-01,0.01,2026-02-01,0.01,2300591.31,92.02,0.47,signal_decay
LONG,2026-02-01,0.01,2026-02-01,0.01,1879071.55,394.61,2.5,signal_decay
SHORT,2026-02-01,0.01,2026-02-01,0.01,3800700.35,722.13,2.21,signal_decay
LONG,2026-02-01,0.01,2026-02-01,0.01,5065656.47,253.28,0.6,signal_decay
SHORT,2026-02-01,0.01,2026-02-01,0.01,5982821.54,1017.08,1.98,signal_decay
LONG,2026-02-01,0.01,2026-02-01,0.01,2270858.57,136.25,0.72,signal_decay
SHORT,2026-02-01,0.01,2026-02-01,0.01,2154902.3,258.59,1.43,signal_decay
LONG,2026-02-01,0.01,2026-02-01,0.01,1975091.94,-138.26,-0.85,signal_decay
SHORT,2026-02-01,0.01,2026-02-01,0.01,3279525.94,32.8,0.12,signal_decay
LONG,2026-02-01,0.01,2026-02-01,0.01,3219839.64,193.19,0.73,signal_decay
SHORT,2026-02-01,0.01,2026-02-01,0.01,2049533.09,-143.47,-0.84,signal_decay
SHORT,2026-02-01,0.01,2026-02-01,0.01,2156885.45,-150.98,-0.84,signal_decay
LONG,2026-02-01,0.01,2026-02-01,0.01,2337729.04,-654.56,-3.34,disaster_stop
LONG,2026-02-01,0.01,2026-02-01,0.01,4951616.47,1386.45,3.46,signal_decay
SHORT,2026-02-01,0.01,2026-02-01,0.01,6234048.27,1745.53,3.34,signal_decay
LONG,2026-02-01,0.01,2026-02-01,0.01,5638035.29,1691.41,3.7,signal_decay
SHORT,2026-02-01,0.01,2026-02-01,0.01,4861523.88,1361.23,3.34,signal_decay
LONG,2026-02-01,0.01,2026-02-01,0.01,3348460.73,971.05,3.64,signal_decay
SHORT,2026-02-01,0.01,2026-02-02,0.01,6673842.22,1067.81,1.94,signal_decay
LONG,2026-02-02,0.01,2026-02-02,0.01,3398741.45,679.75,2.47,signal_decay
SHORT,2026-02-02,0.01,2026-02-02,0.01,2521813.72,100.87,0.48,signal_decay
LONG,2026-02-02,0.01,2026-02-02,0.01,3789352.41,1023.13,3.28,signal_decay
SHORT,2026-02-02,0.01,2026-02-02,0.01,6638699.19,796.64,1.41,signal_decay
LONG,2026-02-02,0.01,2026-02-02,0.01,4430440.28,-1816.48,-4.99,disaster_stop
SHORT,2026-02-02,0.01,2026-02-02,0.01,3238799.27,0.0,0.0,signal_decay
SHORT,2026-02-02,0.01,2026-02-02,0.01,2476367.49,420.98,2.06,signal_decay
LONG,2026-02-02,0.01,2026-02-02,0.01,4655673.11,558.68,1.49,signal_decay
SHORT,2026-02-02,0.01,2026-02-02,0.01,2093367.67,20.93,0.12,signal_decay
LONG,2026-02-02,0.01,2026-02-02,0.01,2761023.13,138.05,0.61,signal_decay
