symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
VET-USD,,,base,SHORT,2026-01-25,0.0103,2026-01-25,0.0102,2427184.466,242.72,0.9709,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-01-25,0.0104,2026-01-25,0.0104,2409680.7319,0.0,0.0,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-01-25,0.0101,2026-01-25,0.0099,2481255.4071,496.25,1.9802,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-01-25,0.0099,2026-01-25,0.0098,2543913.3719,254.39,1.0101,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-01-25,0.0098,2026-01-25,0.0099,2576361.2466,257.64,1.0204,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-01-26,0.0101,2026-01-26,0.01,2506212.7968,250.62,0.9901,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-01-26,0.01,2026-01-26,0.0102,2537540.4567,507.51,2.0,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-01-26,0.0102,2026-01-26,0.0101,2500223.6853,250.02,0.9804,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-01-26,0.0101,2026-01-26,0.0102,2531167.0478,253.12,0.9901,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-01-26,0.0099,2026-01-26,0.0102,2588693.5716,776.61,3.0303,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-01-26,0.0102,2026-01-27,0.01,2531590.0369,455.69,1.7647,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-01-27,0.0102,2026-01-27,0.0103,2542758.8165,-152.57,-0.5882,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-01-27,0.0101,2026-01-27,0.0102,2564158.2719,256.42,0.9901,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-01-27,0.01,2026-01-27,0.0102,2596210.2503,623.09,2.4,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-01-27,0.0102,2026-01-27,0.0103,2560575.9919,-256.06,-0.9804,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-01-27,0.0101,2026-01-27,0.01,2579590.1701,-257.96,-0.9901,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-01-27,0.0101,2026-01-27,0.0103,2568119.6604,462.26,1.7787,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-01-27,0.0101,2026-01-28,0.0104,2584647.1632,775.39,2.9703,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-01-28,0.0102,2026-01-28,0.0101,2578312.2437,-232.05,-0.8824,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-01-28,0.0103,2026-01-28,0.0101,2547647.8505,382.15,1.4563,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-01-28,0.0102,2026-01-28,0.0101,2581991.1426,-258.2,-0.9804,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-01-28,0.0102,2026-01-28,0.0102,2575662.7329,0.0,0.0,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-01-28,0.0102,2026-01-28,0.0102,2575662.7329,0.0,0.0,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-01-28,0.0102,2026-01-28,0.0103,2575662.7329,257.57,0.9804,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-01-29,0.0102,2026-01-29,0.01,2581975.6318,-516.4,-1.9608,0.0,0.0,disaster_stop,
VET-USD,,,base,SHORT,2026-01-29,0.01,2026-01-29,0.0099,2620705.2663,262.07,1.0,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-01-29,0.0099,2026-01-29,0.0101,2653794.9792,530.76,2.0202,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-01-29,0.0098,2026-01-29,0.0095,2694414.2901,-916.1,-3.4694,0.0,0.0,disaster_stop,
VET-USD,,,base,LONG,2026-01-29,0.0094,2026-01-29,0.0094,2784705.8328,0.0,0.0,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-01-29,0.0094,2026-01-29,0.0097,2784705.8328,-835.41,-3.1915,0.0,0.0,disaster_stop,
VET-USD,,,base,SHORT,2026-01-29,0.0095,2026-01-29,0.0092,2733408.6201,683.35,2.6316,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-02-05,0.0075,2026-02-05,0.0074,3503782.8324,210.23,0.8043,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-02-12,0.0077,2026-02-12,0.0078,3401399.5678,340.14,1.2987,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-02-12,0.0079,2026-02-12,0.0078,3334493.8657,266.76,1.0152,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-02-12,0.0078,2026-02-12,0.0079,3377243.787,337.72,1.2821,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-02-13,0.0078,2026-02-13,0.0079,3388068.2864,338.81,1.2821,0.0,0.0,signal_decay,
VET-USD,,,base,LONG,2026-02-13,0.0079,2026-02-13,0.0082,3355903.0811,1006.77,3.7975,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-02-13,0.0082,2026-02-13,0.0083,3263820.3746,-326.38,-1.2195,0.0,0.0,signal_decay,
VET-USD,,,base,SHORT,2026-02-13,0.0082,2026-02-13,0.0081,3253869.7027,325.39,1.2195,0.0,0.0,signal_decay,
