symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
VGK,,,base,LONG,2026-01-26,87.56,2026-01-26,87.5294,181.8554,-5.56,-0.0349,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-01-26,87.52,2026-01-27,88.514,115.7629,115.07,1.1357,0.0,0.0,signal_decay,
VGK,,,base,SHORT,2026-01-27,88.665,2026-01-27,88.611,129.9534,7.02,0.0609,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-01-27,88.755,2026-01-28,87.8391,116.0392,-106.28,-1.0319,0.0,0.0,max_hold,
VGK,,,base,LONG,2026-01-28,87.8166,2026-01-29,87.9992,200.6121,36.63,0.2079,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-01-29,88.2,2026-01-30,87.4394,118.0055,-89.75,-0.8624,0.0,0.0,max_hold,
VGK,,,base,LONG,2026-01-30,87.445,2026-02-02,87.9292,215.0807,104.14,0.5537,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-02,88.0,2026-02-03,88.0492,156.0719,7.68,0.0559,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-03,88.06,2026-02-04,88.419,121.4064,43.59,0.4077,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-04,88.23,2026-02-04,87.9892,114.5108,-27.57,-0.2729,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-04,88.19,2026-02-05,86.7746,136.2955,-192.91,-1.6049,0.0,0.0,disaster_stop,
VGK,,,base,LONG,2026-02-05,86.78,2026-02-05,87.36,575.5476,333.82,0.6684,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-05,87.07,2026-02-06,87.9492,139.6983,122.82,1.0098,0.0,0.0,signal_decay,
VGK,,,base,SHORT,2026-02-06,88.105,2026-02-06,88.04,133.0482,8.65,0.0738,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-06,88.345,2026-02-09,89.1538,116.3407,94.1,0.9155,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-09,89.515,2026-02-10,89.41,114.4285,-12.01,-0.1173,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-10,89.315,2026-02-10,89.3437,123.9841,3.56,0.0321,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-10,89.39,2026-02-11,89.2987,123.2616,-11.25,-0.1021,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-11,89.435,2026-02-11,89.3487,112.5475,-9.71,-0.0965,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-12,89.675,2026-02-13,88.469,188.8352,-227.74,-1.3449,0.0,0.0,max_hold,
VGK,,,base,LONG,2026-02-13,88.325,2026-02-13,88.614,205.145,59.29,0.3272,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-13,88.795,2026-02-17,88.7039,125.4469,-11.43,-0.1026,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-17,89.18,2026-02-18,89.7736,144.1248,85.55,0.6656,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-18,89.76,2026-02-19,88.9539,126.5003,-101.97,-0.8981,0.0,0.0,max_hold,
VGK,,,base,LONG,2026-02-19,88.94,2026-02-19,88.9589,181.1431,3.42,0.0212,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-19,88.815,2026-02-20,89.7836,129.9243,125.84,1.0906,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-23,89.55,2026-02-23,89.5886,113.126,4.37,0.0431,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-23,89.5,2026-02-24,89.7586,112.9912,29.22,0.2889,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-24,89.705,2026-02-24,89.8036,137.7293,13.58,0.1099,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-24,89.735,2026-02-25,90.4783,120.2708,89.4,0.8283,0.0,0.0,max_hold,
VGK,,,base,LONG,2026-02-26,90.475,2026-02-26,90.2284,145.5082,-35.88,-0.2726,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-27,90.32,2026-02-27,90.5383,148.0947,32.33,0.2417,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-27,90.295,2026-02-27,90.2384,113.0905,-6.4,-0.0627,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-02-27,90.2,2026-03-02,88.1591,142.6567,-291.15,-2.2626,0.0,0.0,disaster_stop,
VGK,,,base,LONG,2026-03-02,88.18,2026-03-03,84.4704,568.1018,-2107.43,-4.2068,0.0,0.0,disaster_stop,
VGK,,,base,LONG,2026-03-03,84.6,2026-03-03,85.0602,579.6868,266.77,0.544,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-03-03,85.82,2026-03-04,86.3148,201.2333,99.57,0.5766,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-03-04,86.245,2026-03-04,86.5147,123.217,33.23,0.3127,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-03-04,86.61,2026-03-05,85.2202,114.012,-158.45,-1.6047,0.0,0.0,disaster_stop,
VGK,,,base,LONG,2026-03-05,85.175,2026-03-06,83.2309,577.1889,-1122.11,-2.2825,0.0,0.0,disaster_stop,
VGK,,,base,LONG,2026-03-06,83.02,2026-03-06,84.1106,585.4132,638.45,1.3137,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-03-06,84.015,2026-03-09,82.6811,151.7459,-202.41,-1.5877,0.0,0.0,disaster_stop,
VGK,,,base,LONG,2026-03-09,82.67,2026-03-10,85.1252,590.5289,1449.87,2.9699,0.0,0.0,max_hold,
VGK,,,base,LONG,2026-03-10,85.055,2026-03-10,85.5351,224.3291,107.7,0.5645,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-03-10,85.55,2026-03-11,84.1305,117.379,-166.62,-1.6593,0.0,0.0,disaster_stop,
VGK,,,base,LONG,2026-03-11,84.275,2026-03-11,84.5957,506.4757,162.43,0.3805,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-03-11,84.35,2026-03-11,84.4504,169.9424,17.06,0.119,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-03-11,84.26,2026-03-11,84.3505,127.8883,11.57,0.1074,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-03-11,84.35,2026-03-12,83.05,148.2166,-192.68,-1.5412,0.0,0.0,disaster_stop,
VGK,,,base,LONG,2026-03-12,83.08,2026-03-13,83.4358,561.7413,199.87,0.4283,0.0,0.0,max_hold,
VGK,,,base,LONG,2026-03-13,83.3,2026-03-16,83.1406,134.544,-21.45,-0.1914,0.0,0.0,max_hold,
VGK,,,base,SHORT,2026-03-16,83.39,2026-03-16,83.2541,133.931,18.2,0.163,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-03-16,83.08,2026-03-16,83.2009,136.3492,16.48,0.1455,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-03-17,84.26,2026-03-17,84.1505,209.3663,-22.93,-0.13,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-03-17,84.16,2026-03-18,83.4058,128.2595,-96.73,-0.8962,0.0,0.0,max_hold,
VGK,,,base,LONG,2026-03-18,83.325,2026-03-18,83.2409,172.1641,-14.48,-0.1009,0.0,0.0,signal_decay,
VGK,,,base,LONG,2026-03-18,83.13,2026-03-19,80.8617,213.1532,-483.49,-2.7286,0.0,0.0,disaster_stop,
VGK,,,base,LONG,2026-03-19,80.97,2026-03-20,81.0416,609.0086,43.6,0.0884,0.0,0.0,max_hold,
VGK,,,base,LONG,2026-03-20,81.275,2026-03-20,79.957,606.9914,-800.02,-1.6217,0.0,0.0,disaster_stop,
