symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
VIRTUAL-USD,crypto,ultra,base,LONG,2026-01-25,0.766,2026-01-29,0.7413,4705.6118,-116.15,-3.2223,16.133,-3.8591,breakeven_ratchet,breakeven
VIRTUAL-USD,crypto,ultra,base,LONG,2026-01-30,0.7422,2026-01-31,0.6469,5968.3123,-568.78,-12.8402,0.0179,-18.5494,disaster_stop,safety
VIRTUAL-USD,crypto,ultra,base,LONG,2026-02-01,0.6135,2026-02-05,0.5189,7284.724,-689.13,-15.4197,9.7964,-16.0337,disaster_stop,safety
VIRTUAL-USD,crypto,ultra,base,LONG,2026-02-06,0.5964,2026-02-15,0.6309,7441.5948,256.74,5.7847,16.4851,-10.5429,profit_lock_trail,profit_lock
VIRTUAL-USD,crypto,ultra,base,LONG,2026-02-16,0.6553,2026-02-23,0.587,6790.3559,-463.78,-10.4227,1.5933,-11.3836,disaster_stop,safety
VIRTUAL-USD,crypto,ultra,base,LONG,2026-02-24,0.608,2026-02-26,0.6716,7284.2928,463.28,10.4605,18.841,-1.1319,profit_lock_trail,profit_lock
VIRTUAL-USD,crypto,ultra,base,LONG,2026-02-27,0.6827,2026-03-03,0.7422,6517.7936,387.81,8.7154,16.2281,-7.8907,profit_lock_trail,profit_lock
VIRTUAL-USD,crypto,ultra,base,LONG,2026-03-04,0.7517,2026-03-07,0.6669,5942.7286,-503.69,-11.2754,0.4289,-11.7427,disaster_stop,safety
VIRTUAL-USD,crypto,ultra,base,LONG,2026-03-08,0.6296,2026-03-18,0.7386,7059.2172,769.45,17.3126,30.803,-0.178,profit_lock_trail,profit_lock
VIRTUAL-USD,crypto,ultra,base,LONG,2026-03-19,0.7081,2026-03-26,0.6837,6325.5311,-154.34,-3.4458,6.4792,-8.7435,end_of_backtest,time
