symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
VIRTUAL-USD,,,base,LONG,2026-01-25,0.7533,2026-01-25,0.7617,33187.3092,278.77,1.1151,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-01-25,0.7617,2026-01-26,0.7531,32912.8178,283.05,1.1291,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-01-26,0.7531,2026-01-26,0.7872,33382.6264,1138.35,4.528,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-01-26,0.8271,2026-01-26,0.8255,30739.9865,-49.18,-0.1934,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-01-26,0.8255,2026-01-27,0.7308,30784.6721,2915.31,11.4718,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-01-27,0.7308,2026-01-27,0.7109,35771.1739,-711.85,-2.723,0.0,0.0,disaster_stop,
VIRTUAL-USD,,,base,LONG,2026-01-27,0.7123,2026-01-28,0.84,36450.3893,4654.71,17.9278,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-01-28,0.84,2026-01-28,0.8361,32294.3941,125.95,0.4643,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-01-28,0.8361,2026-01-29,0.7208,32482.6911,-3745.25,-13.7902,0.0,0.0,disaster_stop,
VIRTUAL-USD,,,base,LONG,2026-01-29,0.7222,2026-01-29,0.7214,36309.1449,-29.05,-0.1108,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-01-29,0.7214,2026-01-29,0.7256,36339.3438,-152.63,-0.5822,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-01-29,0.7232,2026-01-30,0.7766,36196.1371,1932.87,7.3838,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-01-30,0.7307,2026-01-30,0.746,36485.9241,558.23,2.0939,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-01-30,0.746,2026-01-30,0.7228,35924.6963,833.45,3.1099,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-01-30,0.7228,2026-01-30,0.7214,37366.0579,-52.31,-0.1937,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-01-30,0.7782,2026-01-31,0.7766,34689.1654,-55.5,-0.2056,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-01-31,0.7766,2026-01-31,0.722,34742.767,1896.96,7.0306,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-01-31,0.722,2026-01-31,0.7766,38026.969,2076.27,7.5623,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-01-31,0.7217,2026-01-31,0.7107,38762.006,-426.38,-1.5242,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-01-31,0.7079,2026-01-31,0.6006,39367.0635,4224.09,15.1575,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-01-31,0.6006,2026-01-31,0.345,48158.4511,-12309.3,-42.5574,0.0,0.0,disaster_stop,
VIRTUAL-USD,,,base,LONG,2026-01-31,0.3456,2026-02-01,0.5582,74787.7335,15899.87,61.5162,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-02-01,0.5582,2026-02-01,0.6523,53424.5947,-5027.25,-16.8578,0.0,0.0,disaster_stop,
VIRTUAL-USD,,,base,LONG,2026-02-01,0.6523,2026-02-01,0.7642,43790.8863,4900.2,17.1547,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-02-01,0.7642,2026-02-01,0.693,38981.7393,2775.5,9.3169,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-02-01,0.6523,2026-02-01,0.4446,46732.6693,-9706.38,-31.8412,0.0,0.0,disaster_stop,
VIRTUAL-USD,,,base,LONG,2026-02-01,0.4454,2026-02-02,0.638,62993.099,12132.47,43.242,0.0,0.0,max_hold,
VIRTUAL-USD,,,base,LONG,2026-02-02,0.6392,2026-02-02,0.638,48639.3054,-58.37,-0.1877,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-02-02,0.5556,2026-02-03,0.6182,55931.6995,3501.32,11.2671,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-02-03,0.6364,2026-02-03,0.6182,50205.8192,-913.75,-2.8598,0.0,0.0,disaster_stop,
VIRTUAL-USD,,,base,SHORT,2026-02-03,0.6182,2026-02-03,0.6028,51314.3754,790.24,2.4911,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-02-03,0.6028,2026-02-03,0.6016,52953.0644,-63.54,-0.1991,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-02-03,0.6016,2026-02-03,0.6365,53032.2827,-1850.83,-5.8012,0.0,0.0,disaster_stop,
VIRTUAL-USD,,,base,LONG,2026-02-03,0.6365,2026-02-03,0.6576,49397.5092,1042.29,3.315,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-02-03,0.6365,2026-02-03,0.6527,49806.8915,806.87,2.5452,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-02-03,0.6722,2026-02-04,0.6527,47461.7738,-925.5,-2.9009,0.0,0.0,disaster_stop,
VIRTUAL-USD,,,base,LONG,2026-02-04,0.6541,2026-02-04,0.7083,48421.3855,2624.44,8.2862,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-02-04,0.6708,2026-02-04,0.6907,48194.0042,-959.06,-2.9666,0.0,0.0,disaster_stop,
VIRTUAL-USD,,,base,LONG,2026-02-05,0.6541,2026-02-05,0.6527,49057.9007,-68.68,-0.214,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-02-05,0.6527,2026-02-05,0.6,49136.8202,2589.51,8.0742,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-02-05,0.6006,2026-02-05,0.5894,54477.1565,-610.14,-1.8648,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-02-05,0.5894,2026-02-05,0.6191,55253.553,-1641.03,-5.039,0.0,0.0,disaster_stop,
VIRTUAL-USD,,,base,LONG,2026-02-05,0.6191,2026-02-05,0.6179,51940.214,-62.33,-0.1938,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-02-13,0.6415,2026-02-13,0.6403,50102.2673,-60.12,-0.1871,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,LONG,2026-02-20,0.6607,2026-02-20,0.7045,48623.5413,2129.71,6.6293,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-02-27,0.772,2026-02-27,0.6406,42303.1108,5558.63,17.0207,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-03-06,0.7668,2026-03-06,0.7684,44402.2675,-71.04,-0.2087,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-03-13,0.7661,2026-03-13,0.7684,44419.6552,-102.17,-0.3002,0.0,0.0,signal_decay,
VIRTUAL-USD,,,base,SHORT,2026-03-20,0.7202,2026-03-21,0.8101,47215.1576,-4244.64,-12.4826,0.0,0.0,disaster_stop,
